index;time_steps_with_congestion;perc_of_congestion;solarvation_solar_farm_revenue;name;wombat_battery_revenue;wombat_battery_cycles;jan_earning;feb_earning;mar_earning;apr_earning;may_earning;june_earning;july_earning;aug_earning;sep_earning;oct_earning;nov_earning;dec_earning
0;29640;5.64;1572110.99;Solarvation only discharging;;;;;;;;;;;;;;
1;40421;7.69;1572110.99;Disregard congestion (Rhino Strategy 1);1143900.50;186.29;130500.87;107168.84;142598.55;109183.75;155693.75;104721.36;114247.94;139900.91;42786.29;61004.36;19284.03;16843.24
2;53423;10.17;1572110.99;Disregard congestion GIGA Baseline;2013845.38;362.86;134871.67;116031.66;145639.01;133452.01;169644.8;202400.65;189592.95;216236.82;201019.26;202532.15;178769.14;123688.06
3;0;0;1572110.99;Only solve congestion;113778.59;41.25;0.00;2626.06;0.23;7393.81;25450.34;22709.67;31802.70;11115.82;10432.11;2246.32;1.52;0.00
4;0;0;1572110.99;Yearly times (with base money strat);265929.05;118.79;8933.13;8811.59;31063.05;35778.22;33732.25;59726.94;27623.87;26580.90;7583.99;11892.21;3436.14;10799.56
5;39;0.01;1572110.99;Yearly times GIGA Baseline;468847.34;236.67;6516.91;5796.2;33622.37;34692.71;42113.85;79804.65;44885.82;48985.33;47129.71;40431.83;40725.59;44175.17
6;0;0;1572110.99;Monthly times (with base money strat);525471.45;145.72;124241.32;82263.13;64753.8;45023.92;30266.66;60337.99;27561.53;23222.88;8941.02;21958.4;20071.13;16862.47
7;0;0;1572110.99;Monthly times GIGA Baseline;1070172.05;305.72;127407.68;83928.33;66094.07;50022.41;38975.25;77247.98;53966.51;66700.40;97736.78;108392.03;177481.86;122251.55
8;0;0;1572110.99;Smart monthly timed (with base money strat);714940.68;150.56;124241.32;98521.31;113432.73;45844.69;29993.38;59759.58;30303.59;67972.78;43277.74;64692.77;20071.13;16862.47
9;0;0;1572110.99;Smart sizing GIGA Baseline;1284941.53;308.26;127407.68;106705.74;112169.32;50087.45;38658.21;80588.04;60736.50;103996.84;139020.69;165870.45;177481.86;122251.55
10;0;0;1572110.99;Wombat max smart monthly timed (with base money strat);693479.50;148.49;124241.32;98542.6;114543.17;31678.11;26153.76;58762.0;26456.09;67767.51;42989.78;65444.37;20071.13;16862.47
11;0;0;1572110.99;Wombat max smart monthly timed GIGA Baseline;1219890.33;305.71;127407.68;106424.41;111637.63;32565.26;33925.66;67200.13;40685.22;96657.3;135379.70;168306.74;177481.86;122251.55
12;0;0;1572110.99;Average smart monthly timed (with base money strat);707322.86;149.95;124241.32;98542.6;113432.73;38918.61;30266.66;61110.32;27122.01;68242.22;43101.23;65444.37;20071.13;16862.47
13;0;0;1572110.99;AVG generation considered GIGA Baseline;1261033.37;307.31;127407.68;106424.41;112169.32;42228.67;38975.25;73310.27;49233.09;105512.17;137765.15;168309.74;177481.86;122251.55
