run_1, run_2, run_3, run__4
141907.73, 142653.56, 143017.53, 143034.72
97295.69, 100625.91, 89532.55, 89518.21
75440.95, 74063.59, 71651.89, 71091.44
54675.62, 61076.99, 53048.05, 59103.80
43429.69, 45896.54, 43799.40, 42918.18
94625.60, 94760.16, 83476.89, 83075.04
65522.44, 65372.22, 56091.68, 56210.86
77444.91, 77817.06, 71567.60, 67900.60
108886.34, 104658.53, 99579.75, 103976.38
150385.41, 147254.81, 138645.49, 140815.90
238599.21, 236009.11, 240635.54, 240458.7
241087.81, 241739.69, 240284.04, 241054.72
