run_1, run_2, run_3, run_4
141907.73, 142653.56, 143017.53, 143034.72
111959.62, 111997.04, 110955.99, 110902.15
121520.85, 122054.03, 123379.12, 122454.01
53673.32, 62216.56, 55064.39, 58701.10
43407.20, 45173.79, 43220.67, 43294.11
86821.98, 86743.54, 88184.20, 87841.90
61958.36, 60932.79, 61870.49, 61789.37
114136.32, 116547.84, 114151.92, 115785.35
154745.13, 153712.52, 154850.34, 154583.42
233855.71, 226058.48, 231017.27, 231189.38
239444.49, 236971.92, 241586.71, 241191.85
241087.81, 241739.69, 240284.04, 241054.72
