generation, best_individual, average_fitness
1, 64895.72, 57186.63333333333
2, 64895.72, 59087.28399999999
3, 64895.72, 60623.253000000004
4, 66142.9, 61883.739666666654
5, 66142.9, 62364.832333333325
6, 66142.9, 62988.40000000001
1, 69365.01, 59055.68866666666
2, 69365.01, 61638.68200000001
3, 69785.11, 63649.65666666667
4, 69785.11, 65069.61666666667
5, 69785.11, 66215.39333333334
6, 69785.11, 66872.69133333332
7, 69785.11, 67334.632
1, 67586.48, 56656.691666666666
2, 67586.48, 58070.28366666667
3, 67586.48, 59465.10099999999
4, 67586.48, 60816.26266666666
5, 67586.48, 62023.861
6, 67586.48, 62798.97133333332
7, 67586.48, 63706.95666666665
8, 67586.48, 64217.12466666665
9, 67586.48, 64688.73766666667
1, 67238.03, 56189.564666666665
2, 67238.03, 58412.83766666668
3, 67238.03, 60275.49300000001
4, 67238.03, 61922.648
5, 67238.03, 63113.64399999999
6, 68173.24, 64239.98633333333
7, 68502.44, 65101.26266666666
8, 68502.44, 65348.159999999996
9, 68502.44, 65571.62766666667
1, 71436.41, 58615.51199999999
2, 71436.41, 60628.86299999998
3, 71436.41, 62281.62466666665
4, 71436.41, 64415.29899999999
5, 71436.41, 66215.69333333331
6, 71436.41, 67387.40466666665
7, 71436.41, 68018.45699999998
8, 71631.42, 68594.96633333333
