generation, best_individual, average_fitness
1, 66402.99, 57867.83766666667
2, 66762.7, 59530.083000000006
3, 67471.32, 60881.82366666667
4, 67471.32, 62505.23733333333
5, 69464.6, 63692.489000000016
6, 69464.6, 64650.975666666665
7, 69464.6, 65631.84133333333
8, 69464.6, 66647.27266666666
9, 70024.29, 67541.74033333334
10, 70024.29, 68132.26566666669
11, 70044.32, 68646.61466666668
1, 69864.35, 57106.18033333334
2, 69864.35, 57944.25133333333
3, 69864.35, 58817.62333333333
4, 69864.35, 59899.157666666666
5, 69864.35, 61014.88300000001
6, 69864.35, 62042.45266666667
7, 69864.35, 62762.39899999999
8, 70438.91, 63678.58899999999
9, 70438.91, 64459.55466666666
10, 70438.91, 65248.394
11, 72377.16, 66096.015
12, 72377.16, 67080.03166666666
13, 72377.16, 68076.48566666666
14, 72377.16, 69315.33133333332
15, 72377.16, 69902.98066666667
16, 72377.16, 70328.10266666667
1, 68770.55, 58189.16
2, 68770.55, 60908.214666666674
3, 70283.35, 63765.22100000002
4, 70283.35, 65086.40566666668
5, 71093.25, 66411.39700000001
6, 71093.25, 67494.71566666669
7, 71093.25, 68491.57000000002
8, 71093.25, 68986.29966666669
9, 71093.25, 69256.03533333335
1, 61010.73, 56124.57433333334
2, 61855.17, 57554.575
3, 61855.17, 58790.432
4, 62090.57, 59533.10866666667
5, 62090.57, 59836.05766666667
6, 62090.57, 60262.21699999999
1, 71429.41, 57608.65833333334
2, 71429.41, 59485.797
3, 71429.41, 61441.213333333326
4, 71429.41, 63537.22566666666
5, 71429.41, 65384.12566666667
6, 71429.41, 67424.99566666665
7, 71936.07, 69328.20533333333
8, 71936.07, 70788.32466666665
9, 71936.07, 71049.763
