generation, best_individual, average_fitness
1, 61931.85, 30712.081149999984
2, 62390.42, 34577.231799999994
3, 63540.64, 38436.53294999999
4, 63540.64, 44242.82675
5, 63540.64, 48972.52419999998
6, 63540.64, 52168.58319999997
7, 64594.12, 54334.384099999974
8, 64692.46, 55833.44620000001
9, 64692.46, 56978.79989999999
10, 64692.46, 57944.85860000001
11, 64692.46, 58889.14059999998
12, 64692.46, 59565.130799999984
13, 65389.71, 60179.25869999996
14, 65389.71, 60798.66029999997
15, 65389.71, 61172.36969999997
16, 65389.71, 61557.52719999998
1, 62499.06, 32933.489100000006
2, 65262.43, 40894.88385000002
3, 65262.43, 47315.51605000001
4, 65262.43, 53373.797799999986
5, 65262.43, 56257.35859999999
6, 65262.43, 57797.7229
7, 65262.43, 58822.26779999999
8, 65262.43, 59704.580399999984
9, 65262.43, 60319.01409999999
10, 65262.43, 60737.0821
11, 65731.19, 61230.994400000025
1, 58283.0, 29479.865550000002
2, 61469.38, 36337.405300000006
3, 63288.5, 41822.77650000001
4, 63288.5, 46480.334850000014
5, 63288.5, 50717.806700000016
6, 63813.22, 52909.18690000002
7, 64417.49, 54815.29760000003
8, 64417.49, 56343.338400000015
9, 64417.49, 57204.03480000003
10, 64417.49, 57822.25160000002
11, 64417.49, 58524.233400000005
12, 64417.49, 59240.68230000001
13, 64840.92, 60072.13540000001
14, 64840.92, 60750.52890000001
15, 64840.92, 61316.19210000003
16, 64840.92, 61705.97950000002
1, 59865.08, 28984.745599999995
2, 61283.64, 36061.20505
3, 63177.34, 40377.88600000001
4, 63177.34, 44376.304200000006
5, 63177.34, 47647.2135
6, 63514.52, 50383.9663
7, 64239.21, 53012.9419
8, 64239.21, 54953.80329999999
9, 64239.21, 56279.511499999986
10, 64239.21, 57593.537699999986
11, 64239.21, 58876.5913
12, 64239.21, 60345.7945
13, 64239.21, 61130.41259999999
14, 64943.69, 61574.82959999998
15, 64943.69, 61894.14039999999
1, 57928.06, 30059.60835
2, 59282.94, 37828.65855
3, 65315.35, 42259.249899999995
4, 65315.35, 47481.254799999995
5, 65315.35, 50943.8365
6, 65315.35, 53422.3012
7, 65315.35, 55490.844
8, 65315.35, 56669.08609999998
9, 65315.35, 57854.6646
10, 65315.35, 58710.661599999985
11, 65315.35, 59311.62229999999
12, 65315.35, 60036.67739999997
13, 65315.35, 60636.93309999999
14, 65315.35, 61019.66039999999
