generation, best_individual, average_fitness
1, 67092.37, 58008.40799999999
2, 67225.49, 60449.55066666666
3, 71640.44, 62610.885666666654
4, 71640.44, 64739.567333333325
5, 71640.44, 65605.31866666667
6, 71640.44, 66376.818
7, 71640.44, 67197.14733333333
8, 71640.44, 67870.51733333332
9, 71838.34, 68460.00033333332
1, 67399.71, 58542.556999999986
2, 70914.06, 60822.652333333324
3, 70914.06, 62455.21366666666
4, 70914.06, 64159.34400000001
5, 70914.06, 65090.258000000016
6, 71542.15, 66643.566
7, 71542.15, 67219.46933333334
8, 71542.15, 68065.36433333332
9, 71542.15, 68539.44433333332
1, 66315.67, 56263.236666666664
2, 67663.52, 57977.95933333333
3, 67663.52, 59310.80733333333
4, 67663.52, 60847.52466666664
5, 69457.6, 62838.29366666666
6, 69457.6, 63909.628000000004
7, 69703.11, 65015.96766666667
8, 70648.06, 66108.938
9, 71101.06, 67112.25866666666
10, 71101.06, 68029.01
11, 71101.06, 68757.38133333334
12, 72677.37, 69636.90433333332
13, 72677.37, 70172.572
14, 72677.37, 70690.97099999999
1, 68978.51, 56441.628
2, 68978.51, 57570.39499999999
3, 68978.51, 59487.40866666668
4, 68978.51, 61036.68033333333
5, 68978.51, 62571.94499999999
6, 70290.01, 64507.837666666666
7, 70805.53, 66372.61133333333
8, 70805.53, 66947.75133333333
9, 70805.53, 67569.03166666666
1, 69779.42, 57380.971333333335
2, 71100.55, 59414.134333333335
3, 71100.55, 60845.80366666668
4, 71100.55, 62124.80266666667
5, 71100.55, 63257.874
6, 71100.55, 64988.822
7, 71100.55, 66159.32533333333
8, 71100.55, 67500.62866666666
9, 71100.55, 68606.56300000001
10, 71206.8, 69727.60866666667
11, 71206.8, 70271.37333333332
12, 71206.8, 70506.51233333332
