generation, best_individual, average_fitness
1, 63593.12, 56282.452000000005
2, 63593.12, 57764.34866666667
3, 63593.12, 59112.81400000001
4, 63593.12, 60227.23966666668
5, 64774.4, 61062.31966666668
6, 64774.4, 61849.01633333335
7, 64914.44, 62404.10600000001
8, 64914.44, 62830.76
1, 68815.44, 58447.912
2, 70180.89, 60333.24366666667
3, 70180.89, 62720.270666666656
4, 70634.98, 64442.87233333333
5, 70634.98, 65690.90100000001
6, 70634.98, 66609.56366666668
7, 71250.2, 67613.51166666667
8, 71250.2, 68691.932
9, 71250.2, 70215.34866666669
10, 71250.2, 70409.05933333334
1, 70710.14, 55793.98466666665
2, 70710.14, 57101.90033333332
3, 70710.14, 58436.88933333333
4, 70710.14, 60412.44766666667
5, 70710.14, 62484.355333333355
6, 70710.14, 64341.322000000015
7, 70710.14, 65605.979
8, 70710.14, 66137.94
9, 70710.14, 66441.98266666666
1, 69390.03, 56909.84866666669
2, 69390.03, 58894.93066666668
3, 69390.03, 61161.735000000015
4, 69390.03, 62712.38633333334
5, 69390.03, 63482.93766666667
6, 69476.16, 64205.25433333333
7, 69870.84, 64756.827
8, 69870.84, 65147.290333333345
1, 70514.58, 56416.05833333334
2, 70514.58, 58076.763333333336
3, 70514.58, 59449.88333333334
4, 70514.58, 60491.42866666667
5, 70514.58, 61125.544333333346
6, 70514.58, 61765.64733333334
7, 70514.58, 62396.152333333346
8, 70514.58, 62918.010666666676
9, 70514.58, 63247.18133333335
