generation, best_individual, average_fitness
1, 68373.31, 56062.84933333333
2, 68774.2, 58477.94433333333
3, 68774.2, 60469.256
4, 68774.2, 61801.19266666667
5, 69174.31, 63007.69933333333
6, 69174.31, 64395.69866666667
7, 69174.31, 65890.546
8, 69174.31, 66773.38900000001
9, 69174.31, 67131.41866666668
10, 69174.31, 67444.00666666667
1, 62974.41, 56154.91333333334
2, 63864.24, 58574.64366666667
3, 63864.24, 60111.674666666666
4, 63864.24, 60857.88766666667
5, 63864.24, 61293.37333333334
6, 63864.24, 61746.419
1, 69688.07, 60254.811666666654
2, 69688.07, 62127.98433333333
3, 69688.07, 64346.797999999995
4, 69688.07, 66122.87233333332
5, 69688.07, 67191.79566666666
6, 71301.55, 67802.02766666666
7, 71301.55, 68006.281
1, 63658.37, 55476.77133333334
2, 63658.37, 56360.72766666666
3, 63658.37, 57287.214
4, 63658.37, 58175.778333333335
5, 63658.37, 58968.018
6, 63658.37, 59639.78833333332
7, 63658.37, 60209.084666666655
8, 63658.37, 60669.22633333333
1, 66485.07, 56610.50066666665
2, 66485.07, 58197.17333333333
3, 66506.06, 59897.417
4, 66506.06, 60757.826666666675
5, 66607.7, 61796.53000000001
6, 66607.7, 62562.45433333335
7, 66607.7, 63306.75733333335
8, 66607.7, 63642.89566666666
9, 67267.28, 63971.476
