generation, best_individual, average_fitness
1, 71834.81, 57419.847333333346
2, 71834.81, 59491.10166666669
3, 71834.81, 61129.03700000002
4, 71834.81, 62744.11866666668
5, 71834.81, 63585.49600000002
6, 71834.81, 64171.76366666668
7, 71834.81, 64751.88433333335
1, 67737.02, 57540.727999999996
2, 67737.02, 59727.765999999996
3, 67737.02, 61813.81000000001
4, 68134.19, 63582.86166666667
5, 68134.19, 64637.11733333333
6, 68134.19, 65949.18499999998
7, 68435.37, 67003.50233333331
8, 68540.57, 67356.32266666666
1, 70545.29, 58070.79733333332
2, 70545.29, 60574.36666666666
3, 70545.29, 62667.07966666666
4, 71209.2, 64755.15800000001
5, 71209.2, 66735.09766666667
6, 71209.2, 68643.527
7, 71209.2, 69547.45966666668
8, 71209.2, 69813.93166666669
1, 65686.55, 56034.86133333333
2, 65686.55, 57595.50633333333
3, 65686.55, 59077.930666666674
4, 69181.18, 60592.05233333333
5, 69181.18, 62224.06933333333
6, 69181.18, 63349.87366666666
7, 69181.18, 64823.524
8, 69181.18, 65272.05033333334
9, 69181.18, 65463.758000000016
1, 67066.68, 57105.26866666667
2, 67066.68, 59084.209
3, 67066.68, 60272.75099999998
4, 67066.68, 61123.73800000001
5, 67066.68, 61582.41633333335
6, 67066.68, 62015.59166666667
