generation, best_individual, average_fitness
1, 68333.16, 58656.35233333334
2, 68333.16, 61038.06066666667
3, 69546.88, 63410.695333333344
4, 69547.09, 64849.11566666668
5, 69547.09, 65727.37566666667
6, 69547.09, 66550.28233333334
7, 70393.06, 67405.006
8, 70393.06, 67957.11766666667
9, 70393.06, 68313.11799999999
1, 64879.3, 56658.69866666666
2, 65964.99, 58325.558666666664
3, 65964.99, 59734.721
4, 65964.99, 61232.584
5, 65964.99, 62402.38133333334
6, 65964.99, 63309.41400000001
7, 65964.99, 63928.71833333336
8, 65964.99, 64442.08833333335
1, 64641.75, 57148.93600000001
2, 64641.75, 58571.15733333333
3, 64641.75, 59942.718333333316
4, 65185.12, 61218.97499999999
5, 65185.12, 62056.766666666656
6, 65185.12, 62436.92899999999
7, 65185.12, 62857.504333333316
1, 61685.61, 56968.47166666666
2, 61685.61, 58570.02399999999
3, 64344.18, 59944.22966666666
4, 67671.81, 61277.32166666667
5, 67671.81, 61814.04833333333
6, 67671.81, 62485.79533333333
7, 68688.24, 62918.648
1, 66185.29, 58045.92633333335
2, 66185.29, 59777.77233333334
3, 66185.29, 61243.477999999996
4, 67348.93, 62755.47833333335
5, 67625.02, 63595.56866666667
6, 68489.78, 64135.79766666666
7, 68489.78, 64752.21566666667
