generation, best_individual, average_fitness
1, 66557.88, 55412.07400000001
2, 66557.88, 57156.89000000001
3, 66557.88, 58233.170999999995
4, 66557.88, 59924.46466666667
5, 68026.48, 61397.336
6, 69242.86, 62770.02900000001
7, 69242.86, 63930.26200000002
8, 69242.86, 64754.158
9, 71504.68, 65742.08333333334
10, 71504.68, 66566.21866666667
11, 71504.68, 67085.61666666665
12, 71504.68, 67889.674
13, 71504.68, 68328.57566666666
1, 69773.25, 59383.92066666667
2, 69773.25, 61682.08133333333
3, 70409.51, 63251.508000000016
4, 70409.51, 64448.00766666667
5, 70658.94, 65967.441
6, 70897.6, 67307.83666666668
7, 72245.46, 68164.03366666667
8, 72245.46, 69046.21333333333
9, 72245.46, 69567.76733333332
10, 72245.46, 70257.59766666667
1, 65285.84, 55388.61333333332
2, 65285.84, 57140.096999999994
3, 65285.84, 58840.372666666655
4, 65285.84, 60228.107333333326
5, 65285.84, 61605.808
6, 65412.24, 62387.21466666667
7, 65412.24, 62887.983
8, 67060.51, 63424.42533333333
1, 70457.05, 57390.975000000006
2, 70457.05, 59968.937333333335
3, 70457.05, 62437.52466666665
4, 70838.37, 64168.01933333332
5, 70838.37, 64929.87233333333
6, 70838.37, 65552.172
7, 72284.65, 66359.75533333333
8, 72284.65, 66653.887
1, 65641.18, 56751.236666666664
2, 70530.76, 58785.157
3, 70530.76, 60368.149000000005
4, 70530.76, 62165.885333333325
5, 70530.76, 63542.51866666666
6, 70530.76, 65059.833000000006
7, 70530.76, 66222.158
8, 70530.76, 67273.66433333333
9, 70530.76, 68269.12333333334
10, 72528.4, 68964.22133333333
11, 72528.4, 69293.042
12, 72528.4, 69614.66233333333
