generation, best_individual, average_fitness
1, 89266.42, 68596.29033333334
2, 89266.42, 74127.22799999999
3, 89266.42, 77389.67666666668
4, 89266.42, 79478.271
5, 89266.42, 81449.31933333332
6, 89266.42, 83513.45733333332
7, 89266.42, 85391.23333333334
8, 89266.42, 86728.52100000002
9, 89266.42, 88279.60666666669
10, 89266.42, 88650.63433333338
1, 93333.14, 60826.496333333336
2, 93333.14, 67613.27366666666
3, 93333.14, 72826.50566666666
4, 93333.14, 76866.78800000002
5, 93333.14, 79424.31366666667
6, 93333.14, 81839.20266666665
7, 93333.14, 83630.57566666667
8, 93333.14, 85237.27233333331
9, 93333.14, 86162.05233333334
10, 93333.14, 86584.75799999999
11, 93333.14, 86922.72866666666
1, 87457.3, 66619.032
2, 87457.3, 73561.75966666666
3, 87785.62, 78173.84966666668
4, 87785.62, 81669.17866666666
5, 87785.62, 82963.63433333332
6, 87785.62, 83902.07100000001
7, 87785.62, 84598.73500000002
8, 88590.41, 85480.45633333335
9, 88590.41, 86105.81266666666
1, 90264.59, 69453.34466666667
2, 90264.59, 74145.96566666667
3, 90264.59, 77430.7663333333
4, 90264.59, 80595.24666666666
5, 90264.59, 83379.39200000002
6, 90264.59, 85441.41233333336
7, 90264.59, 86756.95
8, 90264.59, 87538.68699999999
9, 90264.59, 88044.79133333333
1, 87321.85, 69188.58933333334
2, 87321.85, 73183.33
3, 87321.85, 76008.97099999999
4, 87321.85, 79090.30199999998
5, 87321.85, 80317.27466666668
6, 87321.85, 81544.441
7, 87321.85, 82642.77600000003
8, 87321.85, 83368.20633333335
9, 87321.85, 83959.03233333334
