generation, best_individual, average_fitness
1, 104826.54, 90806.71800000002
2, 104826.54, 93763.8426666667
3, 104972.53, 96334.40400000001
4, 107915.3, 98938.506
5, 107915.3, 101686.04666666665
6, 107915.3, 104027.297
7, 107915.3, 105491.08499999999
8, 110724.12, 106143.92066666669
1, 100980.35, 89186.15800000001
2, 101027.76, 92031.47266666664
3, 102691.9, 95199.16266666663
4, 105600.55, 97848.31866666667
5, 105600.55, 100507.29566666669
6, 105961.55, 102179.24466666665
7, 106769.66, 103308.45699999997
8, 106862.82, 104296.52066666665
9, 107845.97, 105108.53199999999
1, 100258.44, 92594.633
2, 105743.6, 96104.542
3, 107673.03, 98611.34799999998
4, 107673.03, 100848.29266666669
5, 107673.03, 102272.697
6, 107673.03, 103570.75166666669
7, 107673.03, 104614.04233333333
8, 107673.03, 105361.72866666668
1, 100952.1, 88397.53533333333
2, 100952.1, 90553.59800000003
3, 104174.28, 92650.37033333334
4, 104174.28, 94786.189
5, 104636.23, 96746.81333333332
6, 106278.16, 98542.697
7, 106289.07, 100999.68966666666
8, 106289.07, 102989.164
9, 106529.03, 104559.31099999999
10, 106666.43, 105212.40066666665
1, 99806.57, 90651.068
2, 99806.57, 92624.64533333333
3, 100585.63, 94563.66766666665
4, 106857.24, 96577.96333333333
5, 106857.24, 97926.213
6, 106857.24, 98787.936
7, 106857.24, 100281.44633333334
8, 106986.18, 101842.2206666667
9, 107912.35, 103052.20833333336
10, 107912.35, 104166.89200000002
11, 107912.35, 104987.08533333335
