generation, best_individual, average_fitness
1, 125069.46, 100561.02666666666
2, 125069.46, 105088.2553333333
3, 125069.46, 109123.74866666668
4, 125069.46, 111151.66033333333
5, 125069.46, 113242.46500000003
6, 125069.46, 115697.60466666668
7, 125069.46, 117312.49433333335
8, 125069.46, 119279.51466666667
9, 125069.46, 121463.00700000001
10, 125069.46, 122696.35599999999
11, 125069.46, 123428.60599999994
1, 130692.46, 104720.72933333334
2, 131315.6, 111012.09033333333
3, 131573.28, 116228.49166666665
4, 132478.45, 121442.24133333335
5, 132691.54, 124905.93166666666
6, 132719.73, 128398.7256666667
7, 134520.23, 131207.38533333337
8, 135366.08, 132493.74033333335
9, 136941.69, 133169.16433333332
1, 123053.35, 108583.65966666667
2, 123053.35, 111958.25833333332
3, 133303.39, 115898.89133333335
4, 133303.39, 118996.87566666669
5, 133303.39, 121114.18466666668
6, 133303.39, 123324.26400000001
7, 133866.59, 125096.39333333333
8, 133866.59, 127165.87133333333
9, 133866.59, 128975.68766666666
10, 134267.51, 130452.76433333333
11, 134725.04, 131476.50400000002
1, 131014.61, 105955.42499999999
2, 131014.61, 110161.21933333334
3, 131014.61, 114526.47233333331
4, 131014.61, 117907.84033333334
5, 131014.61, 121817.68766666665
6, 133602.7, 125969.44266666665
7, 137173.64, 128885.76333333334
8, 137173.64, 130705.47266666671
9, 137173.64, 132137.43533333336
10, 137173.64, 133025.78566666666
11, 137173.64, 133832.568
1, 132119.09, 109319.48366666665
2, 132119.09, 114342.51166666667
3, 132995.26, 118859.89933333335
4, 132995.26, 122988.493
5, 132995.26, 125446.12533333333
6, 132995.26, 127530.63900000002
7, 132995.26, 129579.83733333334
8, 132995.26, 131091.43533333333
9, 132998.0, 131711.27866666668
