generation, best_individual, average_fitness
1, 60584.12, 50304.653000000006
2, 60584.12, 51863.875333333344
3, 60848.2, 53439.266666666656
4, 60848.2, 54922.83666666666
5, 60848.2, 56731.818666666666
6, 60848.2, 58291.499666666656
7, 61553.49, 59702.03266666666
8, 61635.09, 60459.99533333332
9, 61714.31, 60808.906333333325
1, 58800.64, 51310.81733333332
2, 59081.89, 53015.57099999999
3, 59280.94, 54149.903
4, 59810.76, 55205.749666666656
5, 59810.76, 56223.61566666666
6, 59810.76, 57177.72999999998
7, 59810.76, 58137.17133333333
8, 59810.76, 58886.962666666666
9, 59810.76, 59460.242999999995
1, 57747.06, 50588.55799999999
2, 57962.8, 52109.65333333333
3, 58974.0, 53841.526999999995
4, 58974.0, 55027.24833333333
5, 59240.0, 56280.518000000004
6, 59240.0, 57132.558666666686
7, 59240.0, 57836.93533333334
8, 59281.71, 58454.199
9, 59789.31, 58890.59366666667
1, 58134.89, 50789.275666666676
2, 58134.89, 52189.48933333333
3, 58134.89, 53826.973666666665
4, 59646.42, 55563.174
5, 61864.43, 56901.16333333332
6, 62974.52, 58172.24166666666
7, 62974.52, 59046.34766666666
8, 62974.52, 59955.50766666666
9, 62974.52, 60871.35866666667
10, 62974.52, 61970.63733333334
11, 62974.52, 62388.598333333335
12, 63256.12, 62704.278
1, 55840.89, 50871.71366666666
2, 56466.12, 51905.614666666654
3, 56466.12, 52680.77999999999
4, 56675.86, 53436.481999999996
5, 58414.84, 54173.039666666664
6, 58414.84, 54926.62166666667
7, 58414.84, 55653.48333333335
8, 59842.14, 56628.350666666665
9, 59842.14, 57263.30700000001
10, 60490.8, 57942.636333333336
11, 60490.8, 58322.72233333334
12, 60527.63, 58899.13533333333
