generation, best_individual, average_fitness
1, 111302.55, 98181.65266666668
2, 111347.69, 101728.51633333336
3, 111625.88, 104880.24299999999
4, 111708.01, 107488.27499999998
5, 111968.38, 109819.95833333331
6, 111968.38, 110810.15566666664
7, 112037.1, 111266.49166666665
1, 109728.83, 94187.38299999999
2, 109728.83, 97904.59133333334
3, 109728.83, 101504.39733333333
4, 109728.83, 103593.12366666665
5, 109728.83, 104983.36133333332
6, 109728.83, 105501.17699999998
7, 109728.83, 106259.22166666666
1, 107516.99, 95698.25666666668
2, 108071.9, 98504.57033333335
3, 109002.49, 101428.69333333334
4, 109002.49, 102666.35233333333
5, 109002.49, 104237.23733333332
6, 109331.49, 105910.63733333332
7, 109331.49, 107463.16666666667
8, 109925.07, 108303.266
9, 109926.29, 108733.29366666668
1, 102524.64, 94359.417
2, 103619.26, 96222.75933333334
3, 105777.18, 98560.99899999998
4, 105821.11, 100291.97433333332
5, 106771.68, 101959.70533333332
6, 108351.55, 103598.61633333334
7, 109112.17, 104588.41633333334
8, 109112.17, 105510.15666666666
1, 110234.44, 95038.94499999999
2, 110234.44, 99508.83399999999
3, 111165.92, 102842.02
4, 112128.5, 106112.28966666666
5, 113331.56, 107494.63233333333
6, 113331.56, 108693.14833333333
7, 113331.56, 109792.31966666668
8, 113991.9, 110681.82333333335
9, 113991.9, 111554.25966666666
