generation, best_individual, average_fitness
1, 113019.49, 95912.99233333331
2, 113575.14, 102000.96666666669
3, 115230.3, 106864.81566666668
4, 116129.27, 109656.52433333335
5, 116129.27, 111520.0626666667
6, 116742.92, 112598.73633333335
7, 116742.92, 113570.51199999997
1, 105625.23, 87906.65233333335
2, 105625.23, 93024.14
3, 105625.23, 96431.12966666667
4, 105945.43, 98698.36
5, 105945.43, 100466.93
6, 105945.43, 102392.37733333332
7, 105945.43, 104559.99633333334
8, 106006.22, 105166.91333333333
1, 116682.28, 92126.77033333332
2, 116682.28, 97973.48633333333
3, 116682.28, 101487.51866666666
4, 116682.28, 104301.00099999999
5, 116682.28, 106822.86366666666
6, 116682.28, 109523.87266666666
7, 116682.28, 112414.70700000001
8, 116682.28, 113645.5936666667
9, 116682.28, 114806.46033333335
1, 114493.35, 89948.62633333333
2, 114493.35, 95226.01533333333
3, 114493.35, 101172.33633333333
4, 114734.3, 106663.54566666666
5, 114734.3, 108962.88766666666
6, 114941.24, 110287.486
7, 114941.24, 111721.86000000002
8, 116127.48, 112959.26499999998
9, 116409.21, 113970.84499999999
10, 116409.21, 114572.88333333332
1, 106391.67, 83829.97633333334
2, 106391.67, 89888.92099999999
3, 106391.67, 94060.46933333334
4, 106391.67, 97438.56366666668
5, 107113.7, 101023.13866666667
6, 107113.7, 102680.21666666666
7, 111289.9, 103628.93033333334
8, 111289.9, 104513.813
