generation, best_individual, average_fitness
1, 133007.52, 120816.39433333333
2, 137760.74, 123779.91700000003
3, 137760.74, 124397.86200000001
4, 137760.74, 125221.81700000002
1, 141748.54, 119918.94766666669
2, 141748.54, 120587.09400000001
3, 141748.54, 121198.19766666667
1, 140149.59, 121795.871
2, 140149.59, 123358.21999999999
3, 140149.59, 124193.57099999998
4, 140149.59, 124889.90833333331
1, 135404.54, 118801.17666666668
2, 135404.54, 120135.54866666667
3, 135404.54, 120391.83733333334
4, 135404.54, 120634.909
