generation, best_individual, average_fitness
1, 94237.03, 57328.72133333332
2, 94237.03, 59025.20866666666
3, 94237.03, 59280.64666666665
4, 94237.03, 59718.65533333333
1, 85460.85, 63009.37899999999
2, 85460.85, 63834.60699999999
3, 114081.63, 66250.26433333333
4, 114081.63, 67411.49266666666
5, 114081.63, 67770.284
6, 114081.63, 68042.59233333333
1, 84927.32, 62687.67800000002
2, 88697.57, 64568.17966666667
3, 88697.57, 66018.79366666668
4, 88697.57, 66517.87266666669
5, 88697.57, 66903.39633333335
1, 91317.25, 61628.44866666667
2, 91317.25, 62054.42333333334
3, 91317.25, 63286.72033333334
4, 91317.25, 64338.42666666667
5, 91317.25, 64683.44933333334
1, 87515.0, 57691.10133333334
2, 87515.0, 59239.67766666668
3, 87515.0, 60105.15566666667
4, 87515.0, 62231.88966666667
5, 87515.0, 62749.35866666667
6, 87515.0, 64067.94933333333
7, 87515.0, 65021.80933333333
8, 87515.0, 65117.134
