generation, best_individual, average_fitness
1, 145966.83, 126348.95700000002
2, 145966.83, 127437.85000000002
3, 145966.83, 128018.84933333335
1, 145372.65, 125574.59299999996
2, 145372.65, 126532.43066666664
3, 145372.65, 127664.32433333332
1, 149259.64, 124741.96566666667
2, 149259.64, 125794.11733333334
3, 149259.64, 125980.39766666667
1, 143152.23, 124670.63599999998
2, 143152.23, 125137.68799999998
3, 143152.23, 126078.43566666666
1, 154063.71, 126615.58433333335
2, 154063.71, 127146.33633333335
3, 154063.71, 128668.33333333334
4, 154063.71, 130300.34966666668
5, 154063.71, 130978.54466666667
