generation, best_individual, average_fitness
1, 60021.65, 25390.818199999994
2, 63314.11, 28447.74025
3, 63314.11, 30283.163400000005
4, 63314.11, 31691.535949999994
5, 63314.11, 33000.607449999996
6, 63314.11, 34668.4523
7, 63314.11, 36039.85699999999
8, 63314.11, 37066.21184999999
9, 63314.11, 37838.59859999998
10, 63869.38, 39895.85989999998
11, 63869.38, 40847.655449999984
12, 63869.38, 41538.64449999999
13, 63869.38, 42354.833049999994
14, 63869.38, 43226.809349999996
15, 63869.38, 43616.28369999999
16, 63869.38, 44407.3022
17, 63869.38, 44800.996699999996
1, 62508.31, 28964.718150000004
2, 62508.31, 32221.917
3, 62508.31, 34270.16924999999
4, 62508.31, 35384.283599999995
5, 62508.31, 37089.02965
6, 62508.31, 39607.27964999998
7, 62508.31, 40472.36004999999
8, 62508.31, 42581.32604999999
9, 62508.31, 43621.98919999999
10, 62508.31, 44669.23069999999
11, 62508.31, 45518.12879999999
12, 62508.31, 46168.991099999985
13, 62508.31, 47105.39799999999
14, 62508.31, 47599.3901
15, 62508.31, 48294.947400000005
16, 62508.31, 49475.17319999999
17, 62508.31, 49796.2901
18, 62508.31, 50161.4562
1, 53319.72, 25259.292799999992
2, 53319.72, 29021.750549999997
3, 57928.83, 31315.44595000001
4, 59127.96, 33116.77425000001
5, 59127.96, 34354.88455
6, 59127.96, 35625.474799999996
7, 59596.52, 36560.96469999999
8, 59596.52, 37807.98730000001
9, 59596.52, 38609.49405
10, 59596.52, 39130.01375
11, 59596.52, 39986.1953
12, 59596.52, 40444.39315
13, 59596.52, 41072.01645
14, 59596.52, 41637.154650000004
15, 59596.52, 41954.26575
16, 59596.52, 42532.752
17, 59596.52, 42766.14084999999
1, 63303.14, 28140.547050000005
2, 63303.14, 31070.549199999998
3, 63303.14, 33307.87135000001
4, 63303.14, 34544.459650000004
5, 63303.14, 35340.25995
6, 63303.14, 36557.58119999999
7, 63303.14, 37081.576499999996
8, 63303.14, 37927.29445
9, 63303.14, 38693.52755
10, 63303.14, 39359.94805
11, 63303.14, 39984.63094999999
12, 63303.14, 41911.23604999999
13, 63303.14, 42797.68999999999
14, 63303.14, 44672.59895000001
15, 63303.14, 45213.81705000001
16, 63303.14, 45908.819650000005
17, 63303.14, 47158.192700000014
18, 63303.14, 47612.469500000014
19, 63303.14, 48186.714800000016
20, 63303.14, 48336.390100000004
1, 50944.21, 24637.686450000005
2, 58330.53, 28943.041449999997
3, 58330.53, 30998.393649999995
4, 58330.53, 32203.482049999995
5, 58330.53, 33527.5384
6, 58330.53, 35246.81135
7, 59682.07, 37725.7964
8, 59682.07, 38886.65535
9, 59682.07, 39882.833650000015
10, 59682.07, 41624.654250000014
11, 59682.07, 42727.22860000001
12, 62825.63, 43397.93025000001
13, 62825.63, 43822.38320000002
14, 62825.63, 44394.936350000025
15, 63756.65, 45348.891900000024
16, 63756.65, 46013.29420000002
17, 63756.65, 46696.32360000003
18, 63756.65, 46833.386300000035
1, 56445.47, 25317.150800000007
2, 57705.03, 30154.3194
3, 60868.88, 32037.88125
4, 60868.88, 33319.9077
5, 60868.88, 34855.345250000006
6, 60868.88, 36465.3921
7, 61624.05, 38069.541600000004
8, 61624.05, 39191.18315
9, 61624.05, 40723.23235
10, 61624.05, 41964.50335
11, 61624.05, 44703.45485
12, 61624.05, 46272.90000000001
13, 61624.05, 46578.348900000005
14, 61624.05, 47786.57640000001
15, 61624.05, 48137.263200000016
