generation, best_individual, average_fitness
1, 99380.69, 52336.25615
2, 99380.69, 61148.95469999999
3, 107331.54, 67022.59419999998
4, 107331.54, 71722.47354999997
5, 107331.54, 77117.35409999998
6, 107331.54, 79471.35759999999
7, 107331.54, 80093.39929999998
8, 107331.54, 82099.03379999998
9, 107331.54, 82736.29229999997
1, 105174.41, 50069.9935
2, 105174.41, 60168.60045
3, 105174.41, 65402.99054999998
4, 108344.42, 70452.58199999998
5, 108344.42, 73556.36174999998
6, 108344.42, 75898.56024999998
7, 108344.42, 77246.27129999998
8, 108344.42, 78823.66799999998
9, 108344.42, 80277.37469999999
10, 108344.42, 80629.00679999997
11, 108344.42, 81310.07119999998
1, 107629.19, 47872.83495000004
2, 107629.19, 54808.336749999995
3, 107629.19, 60449.018049999984
4, 107629.19, 65695.05445
5, 107629.19, 70823.269
6, 107629.19, 72844.10619999998
7, 107629.19, 73925.8403
8, 107629.19, 75247.96149999999
9, 107629.19, 76137.5319
10, 107629.19, 76852.77999999998
11, 107629.19, 77581.21419999999
1, 106612.78, 49604.70324999999
2, 106612.78, 61405.60804999999
3, 106612.78, 68380.47560000002
4, 106612.78, 71690.96510000003
5, 106612.78, 74094.45950000003
6, 106612.78, 75214.31660000003
7, 106612.78, 76066.53630000002
8, 106612.78, 77365.64120000003
9, 106612.78, 79222.14230000002
10, 106612.78, 80606.93660000003
11, 106612.78, 81828.79180000002
12, 106612.78, 82159.58810000002
13, 106612.78, 82904.99140000003
1, 96179.08, 51348.39365000001
2, 103013.92, 61087.000750000036
3, 111157.11, 70794.05085000004
4, 111157.11, 80438.73940000003
5, 111157.11, 82530.26490000002
6, 111157.11, 84192.94010000004
7, 111157.11, 85138.87170000002
8, 111157.11, 85805.84390000002
9, 111157.11, 86816.51280000001
10, 111157.11, 87643.40040000001
1, 99264.74, 51585.437000000005
2, 101238.88, 60767.3742
3, 101238.88, 66796.0676
4, 101238.88, 70683.16249999999
5, 101238.88, 73731.02109999998
6, 108329.11, 74703.0523
7, 108329.11, 75824.48989999999
8, 108329.11, 77659.6352
9, 108329.11, 78603.7201
10, 108329.11, 80088.333
11, 108329.11, 81094.41879999998
12, 108329.11, 81464.58189999999
13, 108329.11, 81736.61679999999
