generation, best_individual, average_fitness
1, 60085.15, 26691.465500000002
2, 60085.15, 28971.85180000001
3, 60085.15, 30524.96705
4, 60085.15, 31053.59935
5, 60085.15, 31760.655600000002
6, 60085.15, 32793.54465
7, 60085.15, 33192.91715
8, 60085.15, 33439.62535
9, 60085.15, 33807.034700000004
10, 60085.15, 34056.143000000004
1, 56294.45, 25360.035850000004
2, 56294.45, 27996.79860000001
3, 56294.45, 30026.243950000004
4, 56294.45, 31344.738100000002
5, 60716.38, 32656.851100000003
6, 60716.38, 33463.387500000004
7, 60716.38, 33943.4788
8, 60716.38, 34939.18230000001
9, 60716.38, 35544.376150000004
10, 60716.38, 36436.48745
11, 60716.38, 36820.959350000005
12, 60716.38, 37286.239250000006
13, 60716.38, 37655.621900000006
14, 60716.38, 37866.59865
1, 54423.34, 23989.16195
2, 54423.34, 25001.05395000001
3, 54423.34, 25855.434700000005
4, 54423.34, 27056.85095000001
5, 54423.34, 28282.704250000006
6, 54423.34, 29297.52345000001
7, 54423.34, 29961.042750000008
8, 54423.34, 30860.145500000006
9, 54423.34, 31196.58000000001
10, 54423.34, 31754.920600000005
11, 54423.34, 32015.493450000005
12, 55564.66, 32841.49820000001
13, 57113.49, 33688.266250000015
14, 57113.49, 34315.62210000001
15, 57113.49, 35008.39995000001
16, 57113.49, 35435.00690000001
17, 57306.89, 36216.64570000001
18, 58979.19, 37149.33945000001
19, 58979.19, 38141.9441
20, 58979.19, 39459.931500000006
21, 58979.19, 40233.5385
22, 58979.19, 40403.3781
1, 55867.08, 22974.10410000001
2, 56565.02, 24651.12610000001
3, 56565.02, 25970.948500000006
4, 56565.02, 27418.771300000004
5, 57371.36, 29197.847500000003
6, 57371.36, 30376.41795000001
7, 57371.36, 31057.862750000008
8, 57371.36, 31427.55375000001
9, 59130.56, 32237.426750000013
10, 59130.56, 33308.98875000001
11, 59130.56, 33681.35245000001
12, 59130.56, 34025.97400000002
13, 59130.56, 34213.862900000015
14, 59130.56, 34445.37030000002
