generation, best_individual, average_fitness
1, 62405.22, 23251.70275
2, 62405.22, 24971.246050000005
3, 62405.22, 25998.062350000007
4, 62405.22, 26788.590900000003
5, 62405.22, 27521.3512
6, 62405.22, 28652.643650000005
7, 62405.22, 30088.4843
8, 62405.22, 31315.81955
9, 62405.22, 31925.9986
10, 62405.22, 32150.3206
11, 62405.22, 32625.9361
12, 62405.22, 33189.396
13, 62405.22, 33807.1868
14, 62405.22, 34205.5743
15, 62405.22, 34504.9531
1, 56663.24, 24881.190499999993
2, 56663.24, 26716.37434999999
3, 56663.24, 27791.34734999999
4, 56663.24, 29120.02024999999
5, 56663.24, 29893.378449999982
6, 56663.24, 31097.360799999988
7, 56663.24, 32228.089099999983
8, 56663.24, 34071.26355
9, 56663.24, 34575.484749999996
10, 56663.24, 35019.461050000005
11, 56663.24, 35406.961050000005
12, 56663.24, 35734.9066
13, 56663.24, 36019.9731
1, 54982.12, 25159.764200000005
2, 54982.12, 26407.137450000006
3, 54982.12, 27933.77530000001
4, 54982.12, 29058.116600000005
5, 54982.12, 29511.135200000004
6, 54982.12, 30764.6506
7, 54982.12, 32075.032850000003
8, 54982.12, 33155.55225
9, 54982.12, 34200.849050000004
10, 54982.12, 34718.5295
11, 54982.12, 35182.110199999996
12, 58761.69, 36210.4952
13, 58761.69, 36899.401
14, 62607.08, 37566.56615
15, 62607.08, 37850.56940000001
16, 62607.08, 38015.16015
1, 56306.83, 23474.322949999994
2, 56306.83, 25004.71865
3, 56306.83, 26069.159350000005
4, 56306.83, 27407.812950000003
5, 56306.83, 28838.254850000005
6, 56306.83, 30664.446150000007
7, 56306.83, 31785.4047
8, 56306.83, 32195.7165
9, 57890.19, 33038.91785
10, 57890.19, 33673.24565
11, 57890.19, 34158.92820000001
12, 57890.19, 34962.90765000001
13, 57890.19, 35186.63500000001
14, 57890.19, 35382.46775
