generation, best_individual, average_fitness
1, 99599.55, 37986.900149999994
2, 99599.55, 41781.464049999995
3, 99599.55, 43600.332449999994
4, 99599.55, 47195.180599999985
5, 99599.55, 50506.45305
6, 99599.55, 54240.495999999985
7, 99599.55, 57099.27044999998
8, 99599.55, 60042.147399999994
9, 99599.55, 62958.56039999998
10, 99599.55, 65049.483449999985
11, 99599.55, 67656.58029999999
12, 99599.55, 68552.2756
13, 99599.55, 69412.39519999997
14, 99599.55, 69738.33549999999
15, 99599.55, 70198.87279999998
1, 100646.65, 39000.4356
2, 100646.65, 44674.46609999998
3, 100646.65, 47413.405149999984
4, 100646.65, 53162.29599999998
5, 100646.65, 56540.09999999999
6, 100646.65, 60327.12089999999
7, 100646.65, 63838.183099999995
8, 100646.65, 65094.3207
9, 100646.65, 66235.24769999999
10, 100646.65, 67600.03769999999
11, 100646.65, 67926.99529999998
12, 100646.65, 68355.96739999998
1, 90890.04, 41695.69065
2, 90890.04, 46620.302650000005
3, 90890.04, 49284.60674999999
4, 90890.04, 50888.166799999985
5, 105015.38, 53908.61444999999
6, 105015.38, 58781.6528
7, 105015.38, 60880.2482
8, 105015.38, 63179.06700000001
9, 105015.38, 65367.27840000002
10, 105015.38, 66282.13645000002
11, 105015.38, 68742.9266
12, 105015.38, 69781.12770000001
13, 105015.38, 71206.6278
14, 105015.38, 71461.29010000001
15, 105015.38, 71714.2213
1, 104352.24, 38064.23160000001
2, 104352.24, 41193.12820000001
3, 104352.24, 45368.77999999999
4, 104352.24, 48714.499749999995
5, 104352.24, 50354.38504999999
6, 104879.84, 52785.74209999999
7, 104879.84, 54551.590349999984
8, 104879.84, 57012.50529999999
9, 104879.84, 60319.25879999999
10, 104879.84, 63254.4375
11, 104879.84, 64791.6865
12, 104879.84, 65913.59639999998
13, 104879.84, 66503.76269999999
14, 104879.84, 67054.8373
