generation, best_individual, average_fitness
1, 50971.55, 24594.72296875
2, 50971.55, 29026.1678125
3, 50971.55, 29650.315781250003
4, 50971.55, 30399.779375000002
5, 50971.55, 31559.982812500006
6, 50971.55, 31727.664843750004
7, 50971.55, 32407.909374999996
8, 53690.24, 33927.8859375
9, 53690.24, 34520.95562500001
10, 62738.96, 38324.85125000001
11, 62738.96, 39795.34312500001
12, 62738.96, 40525.74125000002
13, 62738.96, 42609.39500000002
14, 62738.96, 43590.14093750002
15, 62738.96, 43975.43343750002
