generation, best_individual, average_fitness
1, 135354.39, 33792.280600000006
2, 135354.39, 44834.24089999999
3, 137242.5, 56980.9896
4, 137242.5, 68310.87810000002
5, 188170.13, 78620.11380000002
6, 188170.13, 89029.37479999999
7, 188170.13, 98264.61310000006
8, 188170.13, 107543.35810000004
9, 193687.85, 118076.80780000005
10, 193687.85, 125931.14450000005
11, 193687.85, 134053.09899999996
12, 193687.85, 140029.36199999996
13, 197578.96, 146484.91
14, 205231.78, 152949.491
15, 205231.78, 160483.13150000002
16, 213722.9, 167643.02059999996
17, 213722.9, 174398.30029999997
18, 213722.9, 180629.97599999997
19, 213722.9, 185542.07999999996
20, 213722.9, 189270.24009999994
1, 117158.51, 33539.075399999994
2, 132967.66, 46745.416099999995
3, 132967.66, 59699.76620000001
4, 175061.87, 73617.89160000002
5, 175061.87, 87658.09819999998
6, 175061.87, 98761.6649
7, 175061.87, 110956.04319999999
8, 175061.87, 121142.65609999998
9, 181536.85, 131005.18039999995
10, 194610.29, 138459.60909999994
11, 209590.7, 147080.95679999999
12, 209590.7, 155903.44559999998
13, 209590.7, 164790.04559999995
14, 218495.68, 171526.6011
15, 218495.68, 178956.9027
16, 218495.68, 185264.48719999995
17, 218495.68, 191879.15099999998
18, 218495.68, 197626.6641
19, 218495.68, 200909.53790000002
20, 218495.68, 203927.56519999995
1, 84640.41, 32061.187099999996
2, 96367.99, 41721.964100000005
3, 103755.12, 51630.129299999986
4, 123223.58, 61792.536199999995
5, 123244.81, 72112.31669999997
6, 146246.49, 81622.38049999997
7, 151021.59, 91571.70240000001
8, 151477.02, 99547.85910000005
9, 161168.25, 108027.13240000006
10, 169806.14, 115487.42440000005
11, 173146.75, 124287.00160000002
12, 191847.22, 132702.195
13, 191847.22, 139280.03879999998
14, 191847.22, 147320.86139999997
15, 191847.22, 154187.94889999996
16, 191847.22, 159518.1217
17, 197364.57, 164186.63090000002
18, 201949.54, 170859.48540000006
19, 201949.54, 175663.20330000002
20, 205939.59, 180220.95909999998
1, 141502.11, 31542.09990000001
2, 141502.11, 42835.7568
3, 141502.11, 53937.912200000006
4, 141502.11, 63315.948300000004
5, 141502.11, 75389.2534
6, 141509.16, 85919.8197
7, 145158.8, 97447.81210000001
8, 145158.8, 107393.32949999998
9, 155257.34, 115835.31599999996
10, 162165.38, 124041.0232
11, 162972.56, 131270.3794000001
12, 175516.95, 139006.74390000003
13, 175516.95, 146538.72810000007
14, 175516.95, 153906.93530000004
15, 176576.82, 158505.4536
16, 187413.38, 162250.17090000006
17, 198317.53, 166352.21880000003
18, 205332.21, 169769.6568
19, 205332.21, 173793.6
20, 205332.21, 177351.13549999995
1, 121479.33, 35742.90609999999
2, 122763.55, 47526.5475
3, 158250.42, 58437.15860000001
4, 158250.42, 69007.06880000002
5, 158539.37, 80274.2929
6, 158539.37, 89472.65129999998
7, 158539.37, 100027.6666
8, 166483.39, 111436.62129999996
9, 166543.08, 122545.62149999998
10, 171738.58, 133154.0306
11, 192553.32, 142440.5584
12, 194154.3, 151287.9089
13, 198982.82, 158911.10610000006
14, 201993.7, 164587.31910000005
15, 201993.7, 169552.76110000012
16, 201993.7, 174847.35100000002
17, 201993.7, 179686.25030000004
18, 214821.09, 185011.27499999997
19, 214821.09, 188389.12849999993
20, 214821.09, 192133.91089999996
