generation, best_individual, average_fitness
1, 57068.4, 27010.121649999997
2, 57222.14, 34833.55035
3, 58902.61, 42266.61955000001
4, 61217.19, 49865.9253
5, 61217.19, 53056.90729999999
6, 63476.09, 54580.64500000002
7, 63476.09, 55817.668200000015
8, 63664.4, 57075.768600000025
9, 63664.4, 57805.58300000003
10, 63664.4, 58597.4454
11, 63664.4, 59166.74110000001
12, 63664.4, 59788.99430000001
13, 63664.4, 60236.29770000002
1, 58647.06, 27995.08055
2, 58647.06, 36492.58915
3, 59988.64, 43165.950649999984
4, 59988.64, 49274.7972
5, 62036.46, 51656.372200000005
6, 63047.34, 53500.8292
7, 63047.34, 54994.15630000001
8, 63047.34, 56122.43810000001
9, 63047.34, 57118.22679999999
10, 63047.34, 57957.8246
11, 63654.22, 58738.348000000005
12, 63654.22, 59428.07470000003
13, 63654.22, 60045.8242
14, 64222.09, 60437.218599999986
15, 64738.55, 60962.92919999997
1, 60939.59, 30302.108049999995
2, 60939.59, 37461.10639999999
3, 61707.31, 44834.98199999998
4, 62236.18, 50568.88469999999
5, 62236.18, 52905.9795
6, 62886.46, 54665.96510000002
7, 62886.46, 56104.28390000002
8, 62886.46, 57237.5399
9, 63449.4, 58288.7041
10, 63449.4, 58959.04940000001
11, 66288.94, 59539.76320000002
12, 66288.94, 59941.10710000001
1, 59662.47, 24948.268549999993
2, 59662.47, 31344.675000000003
3, 59662.47, 38476.32215000001
4, 60925.44, 45183.61290000001
5, 61416.03, 50982.33740000002
6, 64139.04, 53707.34799999999
7, 64139.04, 55476.041900000004
8, 64496.26, 56896.50420000002
9, 64496.26, 58216.516400000015
10, 64496.26, 59512.6672
11, 64600.1, 60291.2149
12, 64765.37, 60797.362700000005
13, 64765.37, 61195.1042
1, 57621.67, 28411.329099999995
2, 61129.5, 37560.85534999999
3, 61129.5, 45215.0616
4, 62158.77, 50903.03779999998
5, 62158.77, 52847.762199999976
6, 62158.77, 54586.28519999998
7, 62158.77, 55684.746
8, 62158.77, 56942.33000000001
9, 63329.15, 58142.957899999965
10, 63329.15, 59022.70259999996
11, 63329.15, 59779.52899999999
12, 63735.58, 60428.223600000005
13, 63735.58, 60977.58190000001
14, 63735.58, 61294.323899999996
