generation, best_individual, average_fitness
1, 47957.2, 35326.263499999994
2, 50107.83, 40554.997299999995
3, 50107.83, 43066.0566
4, 54023.84, 44887.38660000001
5, 54023.84, 46123.52340000002
6, 54023.84, 46927.130500000014
7, 56005.34, 48116.0235
8, 56005.34, 49004.97620000002
9, 56005.34, 49596.096100000024
10, 56005.34, 50270.59200000001
11, 56764.24, 51101.49450000002
12, 56764.24, 51723.904600000016
13, 56984.01, 52076.82850000002
14, 56984.01, 52414.70360000002
1, 49035.88, 33867.22740000002
2, 50437.06, 38753.3185
3, 53972.83, 41549.7272
4, 53972.83, 43745.828400000006
5, 53972.83, 44946.5623
6, 53972.83, 46262.50389999999
7, 54374.81, 47930.28510000001
8, 54374.81, 48978.22330000001
9, 55084.76, 50003.24769999999
10, 55084.76, 50674.849500000004
11, 55084.76, 51205.46880000001
12, 55084.76, 51703.7233
13, 55084.76, 52069.60179999999
1, 54267.95, 35473.924699999996
2, 54599.41, 41349.5129
3, 54599.41, 43990.129
4, 54599.41, 45233.207200000004
5, 54599.41, 46332.2423
6, 54599.41, 47216.400700000006
7, 54599.41, 47885.82960000001
8, 54740.57, 48799.2354
9, 54740.57, 49540.6547
10, 55394.0, 50331.38019999999
11, 55394.0, 50897.28
12, 55394.0, 51416.44040000001
13, 55738.3, 51924.98279999999
14, 56327.34, 52207.18189999999
1, 51764.23, 36728.969600000004
2, 52477.03, 41344.21850000001
3, 52477.03, 43810.80350000002
4, 52814.24, 45460.53530000001
5, 53252.3, 46752.14640000001
6, 53252.3, 47771.31250000002
7, 53903.39, 48675.14000000001
8, 54149.8, 49217.68140000001
9, 55066.17, 49945.087400000004
10, 55675.61, 50436.3417
11, 55675.61, 50901.847799999996
1, 53147.91, 35067.8582
2, 53147.91, 39951.29880000001
3, 53147.91, 42741.87580000001
4, 53147.91, 44358.548400000014
5, 53147.91, 45639.58830000001
6, 53147.91, 46731.53750000002
7, 53147.91, 47649.7024
8, 53949.53, 48776.77000000002
9, 53949.53, 49584.024500000014
10, 56073.97, 50280.224700000006
11, 56073.97, 50849.486099999995
12, 56073.97, 51397.50770000002
13, 56073.97, 51666.812600000034
14, 56073.97, 51947.82730000003
