generation, best_individual, average_fitness
1, 167606.78, 38718.428199999995
2, 167606.78, 58540.79989999998
3, 171714.69, 76081.61019999998
4, 193355.69, 100069.7903
5, 193355.69, 119932.00689999998
6, 193355.69, 137826.43469999998
7, 193355.69, 147236.9094
8, 195182.41, 154644.65299999993
9, 204413.68, 163204.20379999996
10, 212210.49, 171517.7922
11, 212210.49, 178462.99499999997
12, 212210.49, 183153.50989999995
13, 212210.49, 186209.16639999993
14, 216738.85, 190342.15739999994
15, 216738.85, 194188.87319999997
16, 219708.3, 197627.42849999998
17, 220291.88, 201055.20059999992
18, 220291.88, 204038.94769999996
19, 221505.05, 206477.61370000005
20, 221505.05, 209017.30640000003
1, 133490.27, 35538.995899999994
2, 142477.15, 45476.586299999995
3, 171144.94, 63529.409600000006
4, 171144.94, 80201.25929999999
5, 171144.94, 98350.28079999996
6, 174414.15, 117037.8172
7, 214051.26, 130347.51320000002
8, 214051.26, 139618.05159999998
9, 214051.26, 150137.44249999998
10, 214051.26, 160232.26229999997
11, 214051.26, 168000.6694
12, 215897.37, 175289.20640000005
13, 215897.37, 181495.08510000003
14, 219033.16, 186884.85469999994
15, 222366.24, 191833.1763
16, 222366.24, 197052.2558000001
17, 222366.24, 200152.7555000001
18, 222366.24, 203347.6246
19, 227774.77, 206472.12279999998
20, 228649.91, 208761.70169999998
1, 149781.39, 28839.9814
2, 163872.36, 41172.110100000005
3, 179431.98, 54204.86000000001
4, 179431.98, 69757.92820000001
5, 179431.98, 85398.6784
6, 179431.98, 105484.36300000004
7, 179431.98, 121645.76770000005
8, 180926.98, 137122.8611
9, 210189.22, 149607.9907
10, 210189.22, 157797.34340000004
11, 210189.22, 165205.31420000002
12, 210189.22, 171046.5014
13, 213133.58, 176929.19429999992
14, 213133.58, 181422.7032999999
15, 213133.58, 185920.8451999999
16, 213133.58, 189286.14129999987
17, 216518.75, 192726.30779999995
18, 226982.75, 196555.4574999999
19, 226982.75, 200640.15749999988
20, 229077.51, 204739.34620000006
1, 214554.25, 34561.9424
2, 214554.25, 52006.72580000002
3, 214554.25, 72957.09610000002
4, 214554.25, 94937.34779999997
5, 214554.25, 121725.42189999991
6, 214554.25, 139580.1351999999
7, 214554.25, 150801.91399999996
8, 214554.25, 162802.96489999993
9, 214554.25, 170399.16169999997
10, 214554.25, 179501.2356
11, 219203.26, 189694.17429999998
12, 224460.67, 196831.52600000004
13, 224460.67, 202435.5729
14, 224460.67, 206424.00280000013
15, 224460.67, 209385.9904000001
16, 224460.67, 210916.81670000017
17, 229612.99, 212547.70090000023
1, 188156.23, 39719.1155
2, 194342.37, 56455.299699999996
3, 199347.31, 73197.6078
4, 199347.31, 95512.96879999999
5, 199347.31, 118241.0836
6, 218379.91, 138853.07339999994
7, 218379.91, 155125.57170000003
8, 218379.91, 168751.32960000006
9, 218379.91, 179663.59200000006
10, 218379.91, 186467.31090000007
11, 218379.91, 191582.087
12, 218379.91, 194408.74690000003
13, 226185.77, 197492.28589999993
14, 226185.77, 200622.89029999994
15, 226185.77, 203803.53399999996
16, 226803.99, 207459.51969999992
17, 228242.73, 210707.50839999988
18, 228962.72, 214002.2257999999
19, 229195.18, 216349.00289999988
20, 229195.18, 218102.17969999998
