generation, best_individual, average_fitness
1, 155298.17, 72627.3583
2, 155298.17, 89068.67190000002
3, 161647.49, 103337.09469999999
4, 171703.54, 118753.5179
5, 171703.54, 128471.6283
6, 171703.54, 137764.44580000002
7, 172200.15, 145125.78339999996
8, 172200.15, 150414.65899999996
9, 174350.26, 155292.3917
10, 178068.31, 159933.72670000003
11, 183409.59, 163949.26070000004
12, 183409.59, 166194.69450000007
13, 183821.22, 168536.5921
14, 183821.22, 170296.48990000002
15, 185595.44, 171505.7727
16, 185595.44, 172898.5355
1, 154516.1, 63672.656399999985
2, 154516.1, 78172.45509999999
3, 170150.04, 95141.4021
4, 170150.04, 111433.2778
5, 170150.04, 129710.36919999999
6, 170150.04, 144540.78749999998
7, 172142.43, 153382.1565999999
8, 178139.1, 159550.85089999993
9, 178139.1, 163355.97599999997
10, 179574.34, 165984.6325
11, 179722.22, 168111.65209999995
12, 182093.84, 170347.20179999995
13, 186423.53, 172335.83270000003
14, 186703.66, 174150.13509999998
15, 188040.98, 175887.85540000003
16, 188040.98, 177203.38470000002
1, 148805.06, 65245.254900000014
2, 150636.83, 82440.66210000002
3, 150636.83, 97951.83170000002
4, 151221.72, 112367.25870000006
5, 163156.7, 126226.09660000006
6, 165533.99, 136475.71970000007
7, 167149.38, 143800.3045000001
8, 176662.04, 149427.21719999996
9, 176662.04, 153293.2406
10, 177152.85, 156218.595
11, 181356.51, 159409.09329999998
12, 181356.51, 163250.60829999996
13, 181356.51, 166169.1267
14, 181356.51, 167953.2802
15, 181764.58, 170025.69559999998
16, 188665.12, 172279.44980000003
17, 188665.12, 173639.61930000002
18, 188665.12, 175161.43019999994
1, 156228.01, 69741.685
2, 173550.14, 88208.474
3, 177586.05, 104870.17180000005
4, 177586.05, 122205.66670000007
5, 177586.05, 133555.28670000008
6, 177586.05, 144758.15340000007
7, 179430.91, 151855.54080000008
8, 182948.58, 158038.43839999998
9, 182948.58, 162033.509
10, 182948.58, 165314.86240000007
11, 182948.58, 168929.98700000002
12, 182948.58, 171322.6004
13, 182948.58, 173088.20409999997
14, 182948.58, 174511.0531
15, 182948.58, 175653.07910000003
1, 143385.24, 65769.2154
2, 164647.9, 84247.49160000001
3, 164647.9, 95853.25169999998
4, 164647.9, 111992.70919999998
5, 174117.07, 124194.38930000001
6, 174117.07, 133048.21320000003
7, 174117.07, 142520.4423
8, 174117.07, 148760.25040000002
9, 176763.01, 153999.6498
10, 178860.5, 159441.81449999998
11, 181803.78, 163339.65180000002
12, 184088.46, 166580.20849999995
13, 184088.46, 168590.4441999999
14, 184088.46, 170547.39919999996
15, 185520.97, 172339.19189999986
16, 187254.37, 174193.1567999999
17, 189287.2, 175962.28899999996
18, 189482.36, 177786.849
19, 192333.17, 179431.59919999997
20, 192333.17, 181540.53309999994
