generation, best_individual, average_fitness
1, 62310.58, 28213.2291
2, 62310.58, 32221.4547
3, 62310.58, 34039.833849999995
4, 62310.58, 35751.6275
5, 62310.58, 37419.02575
6, 62310.58, 38987.59055
7, 62310.58, 40727.68945000001
8, 62310.58, 41852.348000000005
9, 62310.58, 44047.83825
10, 62310.58, 45886.4144
11, 62310.58, 47762.8854
12, 63216.13, 49310.5235
13, 63216.13, 50230.184199999996
14, 64505.11, 50817.7685
15, 64505.11, 51784.29029999999
16, 64505.11, 53058.662699999986
17, 64505.11, 54004.164
18, 64505.11, 54815.10749999999
19, 64505.11, 55712.2376
20, 64505.11, 56095.140900000006
1, 60019.88, 28596.902999999995
2, 63870.63, 32603.49734999999
3, 63870.63, 34899.545699999995
4, 63870.63, 36228.36344999999
5, 64416.9, 38598.58835
1, 60000.05, 27253.257500000003
2, 60000.05, 29703.36415000001
3, 60000.05, 31206.951400000005
4, 60000.05, 32455.918300000005
5, 60000.05, 35358.55730000001
6, 60240.73, 38907.034550000004
7, 60240.73, 40658.97195000001
8, 60240.73, 42398.463350000005
9, 62841.07, 43826.97790000001
10, 62841.07, 44501.624250000015
11, 62841.07, 45849.355050000006
12, 63523.38, 47318.8294
13, 63523.38, 47661.436900000015
14, 63523.38, 48096.4057
1, 54765.77, 25206.41770000001
2, 58495.77, 29820.08840000001
3, 59160.74, 32147.820100000015
4, 59160.74, 33502.04355000002
5, 59160.74, 35852.77965000002
6, 60885.81, 37183.33725000001
7, 60885.81, 38208.740650000014
8, 62116.69, 39455.74465
9, 62116.69, 40508.47285
10, 62116.69, 41485.621100000004
11, 62116.69, 41807.3087
12, 62116.69, 42816.32930000001
13, 62116.69, 43364.79095000002
14, 62116.69, 43740.555600000014
