generation, best_individual, average_fitness
1, 94530.82, 46889.433450000004
2, 104925.5, 58621.32864999998
3, 104925.5, 65707.70834999999
4, 104925.5, 71850.25464999997
5, 104925.5, 75314.56799999998
6, 104925.5, 76795.14129999996
7, 104925.5, 78052.77159999998
8, 104925.5, 79371.26759999998
9, 104925.5, 79695.34299999998
10, 104925.5, 80878.26769999998
11, 104925.5, 81949.49449999997
12, 104925.5, 82617.91429999997
1, 107014.42, 52434.36674999999
2, 107227.41, 63203.32405
3, 107227.41, 69040.62165
4, 107227.41, 74186.67565
5, 107227.41, 77200.1397
6, 107227.41, 79286.2176
7, 107227.41, 80883.94979999999
8, 107227.41, 81634.3875
9, 107227.41, 82566.01180000001
10, 107227.41, 83719.9053
11, 107227.41, 84187.86189999999
