generation, best_individual, average_fitness
1, 173414.33, 31118.060200000004
2, 203563.26, 41554.49409999999
3, 203563.26, 53958.8855
4, 203563.26, 65402.348200000015
5, 203563.26, 73661.1434
6, 206706.18, 82382.7075
7, 206706.18, 90009.7211
8, 206706.18, 93258.12159999998
9, 206706.18, 99515.6341
10, 206706.18, 105680.10619999995
11, 206706.18, 115356.39469999999
12, 206706.18, 120991.0221
13, 206706.18, 125433.88320000003
14, 206706.18, 129582.46720000004
15, 206706.18, 135175.81920000006
16, 206706.18, 140315.64160000003
17, 206706.18, 144307.80650000006
18, 218858.47, 149087.5778
19, 218858.47, 152731.1686
20, 218858.47, 156290.94490000003
21, 218858.47, 159273.23260000002
22, 218858.47, 161154.09910000002
23, 218858.47, 164144.97480000003
24, 218858.47, 166459.29680000004
25, 218858.47, 167266.1063
26, 218858.47, 169006.02070000005
27, 218858.47, 171317.84060000003
28, 218858.47, 172363.24740000002
1, 183126.06, 38473.2991
2, 195906.63, 46758.11539999999
3, 195906.63, 57113.93989999998
4, 195906.63, 63719.61159999999
5, 195906.63, 71356.65049999999
6, 195906.63, 74403.76759999999
7, 195906.63, 85684.20529999999
8, 195906.63, 89969.51990000001
9, 195906.63, 101214.52530000001
10, 195906.63, 109741.27620000002
11, 195906.63, 116379.41460000005
12, 195906.63, 122765.77240000002
13, 195906.63, 128155.13130000005
14, 195906.63, 130612.91260000001
15, 195906.63, 135323.28540000002
16, 195906.63, 140322.83130000002
17, 205468.47, 143915.93770000004
18, 205468.47, 146158.4145
19, 205468.47, 150729.7409
20, 205468.47, 152507.48330000002
21, 205468.47, 154267.19360000006
22, 205468.47, 157675.99010000002
23, 205468.47, 160083.584
24, 205468.47, 161694.1951
25, 209394.67, 164632.21609999996
26, 209394.67, 165729.73630000002
