generation, best_individual, average_fitness
1, 64082.24, 58388.05799999999
2, 64653.38, 60742.425
3, 65093.3, 62232.32999999999
4, 66120.57, 63095.63566666666
5, 66406.83, 64031.325999999994
6, 66744.7, 64543.84133333334
7, 66744.7, 64928.860666666675
1, 70803.07, 55741.41266666666
2, 70803.07, 57829.056666666664
3, 70803.07, 59447.954333333335
4, 70803.07, 61565.79799999999
5, 70803.07, 63676.142666666645
6, 70803.07, 65541.132
7, 70803.07, 67910.87033333333
8, 70803.07, 69746.89033333333
9, 70803.07, 70581.89933333333
1, 72097.27, 56748.946
2, 72278.88, 59297.513999999996
3, 72278.88, 61617.564333333336
4, 72278.88, 63754.44933333333
5, 72278.88, 65754.07399999998
6, 72278.88, 67256.975
7, 72278.88, 68924.7323333333
8, 72278.88, 70887.58499999999
9, 72278.88, 72044.76166666666
10, 72278.88, 72222.34299999998
1, 71263.5, 59527.80533333334
2, 71263.5, 62811.843333333345
3, 71263.5, 65354.46666666668
4, 71263.5, 67659.934
5, 71327.95, 69010.12766666668
6, 71327.95, 70026.10733333332
7, 71623.73, 70874.13000000002
1, 66132.3, 56250.45066666665
2, 66132.3, 58562.82966666666
3, 66132.3, 59912.45933333333
4, 66132.3, 61018.69033333333
5, 66132.3, 61917.695666666674
6, 66132.3, 62656.195000000014
7, 66132.3, 63308.64733333335
8, 66132.3, 63982.59266666667
9, 66132.3, 64580.59299999999
10, 66132.3, 65198.43700000001
