generation, best_individual, average_fitness
1, 93568.65, 88352.97700000003
2, 93568.65, 89875.87000000002
3, 93568.65, 91011.02733333335
4, 93568.65, 91492.54900000001
1, 93028.39, 88324.16166666667
2, 93452.85, 89971.98533333334
3, 93452.85, 90979.24233333331
4, 93452.85, 91528.21699999999
1, 94736.82, 89995.305
2, 94736.82, 91052.27133333332
3, 94736.82, 92217.6073333333
4, 95245.89, 93044.34466666666
5, 96779.5, 93718.18333333333
1, 94265.57, 87806.497
2, 94265.57, 89251.67200000002
3, 94265.57, 90071.37033333334
4, 94485.06, 91058.095
5, 94485.06, 91984.82633333333
1, 94297.23, 88242.71166666667
2, 95671.4, 90627.50499999999
3, 95671.4, 92114.30666666667
4, 95671.4, 93242.59599999999
5, 95787.55, 94200.215
6, 95945.58, 94725.2006666667
