generation, best_individual, average_fitness
1, 91399.82, 82121.803
2, 91723.53, 83740.421
3, 91723.53, 84961.53299999998
4, 91723.53, 85931.96399999999
5, 91910.16, 87014.89633333332
6, 91910.16, 88170.06000000001
7, 92334.34, 89408.75399999999
8, 92334.34, 90475.731
9, 92334.34, 91402.66733333333
1, 93502.17, 82879.15166666667
2, 93502.17, 84682.80933333331
3, 93502.17, 85994.37299999998
4, 93502.17, 87184.24766666666
5, 93502.17, 88396.42200000002
6, 93502.17, 88956.15400000002
7, 93502.17, 89473.758
1, 85920.72, 81856.92966666668
2, 89769.95, 83078.93233333336
3, 89769.95, 84054.40100000003
4, 89769.95, 85037.24533333334
5, 89769.95, 85719.60266666669
6, 89769.95, 86361.42433333334
1, 87918.29, 80960.68900000001
2, 87918.29, 81873.84566666668
3, 87918.29, 82621.77333333335
4, 87918.29, 83572.49899999998
5, 87918.29, 84498.08433333335
6, 87918.29, 85367.81533333335
7, 87918.29, 85981.47800000003
1, 88680.68, 82304.43933333334
2, 88680.68, 83716.98900000002
3, 90274.22, 85315.80800000002
4, 90274.22, 86629.34566666666
5, 90274.22, 87676.45633333335
6, 90687.96, 88207.06866666669
