generation, best_individual, average_fitness
1, 48476.99, 44082.63266666668
2, 48476.99, 44938.698333333334
3, 48951.87, 45853.85466666667
4, 49567.7, 46483.088666666656
5, 50519.1, 47593.30566666667
6, 51009.33, 48366.56000000001
7, 51940.06, 49158.52233333335
8, 52062.92, 49881.285
9, 52406.76, 50356.88599999999
10, 52406.76, 50755.34166666666
1, 49560.31, 43988.327333333335
2, 49660.09, 45189.582666666676
3, 50059.55, 46444.47500000001
4, 51042.85, 47475.551333333344
5, 51042.85, 48502.46033333334
6, 51042.85, 49229.506666666675
7, 51042.85, 49730.00500000002
8, 51411.12, 50049.89800000001
1, 49256.87, 44866.29366666666
2, 49256.87, 46160.07466666667
3, 50752.4, 47209.51500000001
4, 51711.13, 47934.75466666667
5, 51711.13, 48698.24733333333
6, 51939.69, 49324.25999999999
7, 52144.48, 50042.385999999984
8, 52217.63, 50653.67966666666
9, 52217.63, 51165.356333333315
10, 52217.63, 51602.68966666665
1, 49064.68, 44134.55366666666
2, 49419.16, 45341.24533333332
3, 49419.16, 46580.812
4, 49903.36, 47574.948666666656
5, 51483.98, 48092.26866666666
6, 51483.98, 48409.01999999999
7, 51483.98, 48798.63366666666
1, 48303.86, 44746.45666666667
2, 48989.65, 45653.450666666664
3, 48989.65, 46546.93999999999
4, 48989.65, 47182.853666666655
5, 51581.04, 47988.401999999995
6, 51581.04, 48752.057000000015
7, 51581.04, 49405.20466666668
8, 52239.0, 50066.682666666675
9, 52434.74, 50819.98966666667
10, 52567.52, 51331.24800000001
11, 52567.52, 51631.645000000004
