generation, best_individual, average_fitness
1, 148705.75, 110416.92766666667
2, 148705.75, 122411.57666666668
3, 148705.75, 129524.5546666667
4, 148705.75, 135101.42100000003
5, 149868.2, 139997.05700000003
6, 149868.2, 144132.58933333337
7, 149868.2, 145385.6636666667
8, 149868.2, 146623.91933333332
1, 148734.91, 97283.73299999998
2, 148734.91, 107266.75133333333
3, 148734.91, 115247.243
4, 148734.91, 120022.81899999999
5, 148734.91, 124779.27100000002
6, 148734.91, 129979.90300000002
7, 148734.91, 136040.77200000003
8, 148734.91, 141329.14500000002
9, 148734.91, 142600.66266666667
10, 148734.91, 143588.38166666668
1, 164543.68, 107332.82933333334
2, 164543.68, 120210.97700000001
3, 164543.68, 129715.80300000001
4, 164543.68, 136700.63566666667
5, 164543.68, 143300.72633333332
6, 164543.68, 150907.13966666666
7, 164543.68, 158071.6686666667
8, 164543.68, 162237.5163333333
9, 164543.68, 162656.92633333334
1, 159792.44, 117840.35233333333
2, 159792.44, 126269.7593333333
3, 159792.44, 132534.87033333333
4, 160876.69, 138164.65133333334
5, 161650.51, 143375.7046666667
6, 161679.47, 148711.38999999998
7, 161832.02, 153864.51533333331
8, 162808.48, 158652.67666666667
9, 162808.48, 159195.22
1, 131602.92, 109089.31966666666
2, 131602.92, 116860.81333333331
3, 133660.38, 121903.96933333333
4, 146435.05, 126121.43666666666
5, 146435.05, 128433.32400000001
6, 146435.05, 130510.302
7, 146435.05, 133146.6493333333
8, 146435.05, 134796.54
9, 146435.05, 136158.3593333333
10, 146435.05, 137651.03133333332
11, 146435.05, 139254.747
12, 146435.05, 140707.51466666663
13, 146435.05, 141633.04566666664
14, 146435.05, 142003.48466666666
