generation, best_individual, average_fitness
1, 140259.3, 114938.36833333333
2, 140259.3, 120045.52766666665
3, 140259.3, 122278.9693333333
4, 140259.3, 124142.40133333328
5, 140259.3, 125691.26566666664
6, 140259.3, 126769.72099999995
7, 140259.3, 128705.57299999999
8, 140259.3, 130277.48433333328
9, 140259.3, 131810.99299999996
10, 140259.3, 132880.529
1, 154666.45, 119777.48633333333
2, 154666.45, 130527.82266666665
3, 154666.45, 137683.16199999998
4, 158280.45, 142054.3093333333
5, 158280.45, 145207.93600000002
6, 158280.45, 148110.2736666667
7, 159086.87, 150821.12500000003
8, 159086.87, 152341.30700000003
9, 159086.87, 153602.18366666668
1, 150492.2, 113686.12233333332
2, 150745.73, 124061.22266666667
3, 150745.73, 129526.69600000001
4, 150745.73, 135227.35133333332
5, 150745.73, 138670.04833333337
6, 150745.73, 141746.21100000004
7, 150745.73, 145570.04233333337
8, 150745.73, 148058.17033333337
9, 151238.04, 148781.39533333338
1, 150359.17, 115778.55600000001
2, 153974.29, 127251.54133333334
3, 153974.29, 134706.7463333333
4, 153974.29, 141431.87399999995
5, 153974.29, 145748.97166666665
6, 153974.29, 147748.70966666663
7, 153974.29, 149657.184
8, 153974.29, 151140.69100000002
9, 153974.29, 151798.09133333334
1, 148194.15, 120719.01666666665
2, 148194.15, 126944.72333333333
3, 148194.15, 132760.02166666667
4, 149699.85, 136503.34799999997
5, 149803.23, 138824.99933333334
6, 149803.23, 140602.52533333332
7, 149803.23, 142375.53366666666
8, 149803.23, 143834.707
9, 149803.23, 145410.646
10, 151298.31, 146543.55899999998
11, 151298.31, 146971.86433333333
