generation, best_individual, average_fitness
1, 60233.73, 34942.93383333333
2, 60233.73, 39658.069
3, 61533.49, 45912.883666666676
4, 61616.45, 53678.88633333333
5, 62169.51, 58147.11966666666
6, 62169.51, 59484.185000000005
7, 62245.97, 60557.084
8, 62606.87, 61123.06033333333
9, 63010.07, 61744.890999999996
1, 41762.25, 26129.272
2, 52629.09, 30427.107166666665
3, 58502.0, 33470.885
4, 58502.0, 36363.699666666675
5, 58502.0, 38092.81533333333
6, 58502.0, 39107.63266666666
7, 58502.0, 43375.658333333326
8, 58502.0, 47655.276666666665
9, 58502.0, 50250.079
10, 58502.0, 52470.76966666666
11, 59175.92, 55284.040333333316
12, 59314.37, 56456.81666666666
13, 59464.56, 57578.839666666674
14, 59464.56, 58084.37733333335
15, 59560.68, 58409.531
1, 55491.98, 32910.18199999999
2, 62236.87, 40927.59583333333
3, 62236.87, 50101.41783333334
4, 62236.87, 54675.03900000001
5, 62236.87, 56447.19300000001
6, 62236.87, 57638.70566666667
7, 62236.87, 58543.277666666676
8, 62236.87, 59171.037000000004
9, 62236.87, 59698.82233333333
10, 62236.87, 60025.824666666675
1, 63841.56, 31012.900166666663
2, 63841.56, 36649.87266666666
3, 63841.56, 40971.04233333333
4, 64484.41, 45868.38799999999
5, 65330.59, 52178.21116666666
6, 65330.59, 58181.23999999999
7, 65330.59, 61759.117999999995
8, 65330.59, 63638.60899999998
9, 65330.59, 64111.88366666667
10, 65330.59, 64441.67800000002
1, 48897.85, 29715.38416666667
2, 55979.37, 37154.17766666667
3, 59081.69, 42612.8215
4, 60508.44, 48565.04366666667
5, 60508.44, 52924.737666666675
6, 60508.44, 55170.36400000001
7, 60508.44, 57076.37166666666
8, 60508.44, 57727.25033333334
9, 60508.44, 58310.72566666665
10, 60508.44, 58845.84499999999
11, 60508.44, 59309.91566666666
