generation, best_individual, average_fitness
1, 59770.68, 28364.63166666666
2, 59770.68, 32365.606499999994
3, 59770.68, 34275.20766666667
4, 59770.68, 38283.257666666665
5, 59770.68, 40811.99216666666
6, 59770.68, 43566.26666666667
7, 59770.68, 44532.42766666666
8, 59770.68, 46635.073333333334
9, 59770.68, 48924.402
10, 59770.68, 50155.729
11, 59770.68, 52791.78699999999
12, 59770.68, 53700.139666666655
13, 59770.68, 54289.645
14, 59770.68, 55221.29733333333
15, 59770.68, 55583.59533333333
16, 59770.68, 55700.959666666655
1, 53110.65, 30858.6895
2, 53110.65, 35141.18433333332
3, 53110.65, 37786.633
4, 53110.65, 39559.077666666664
5, 56403.89, 43702.422000000006
6, 56403.89, 45697.23433333333
7, 56403.89, 46453.56133333333
8, 56403.89, 47410.85666666666
9, 56403.89, 48598.50466666666
10, 56403.89, 48906.97333333332
11, 56403.89, 49755.91866666665
12, 57582.34, 50666.29133333333
13, 57582.34, 51490.244999999995
14, 57582.34, 52677.763
15, 57582.34, 52908.683000000005
1, 44166.9, 26592.446833333335
2, 53471.14, 31020.328500000003
3, 53471.14, 33269.68950000001
4, 58403.78, 35633.576333333345
5, 58403.78, 37236.57666666667
6, 60154.29, 40304.977
7, 60154.29, 42372.30816666666
8, 63439.01, 45649.11816666666
9, 63439.01, 46918.961666666655
10, 63439.01, 47245.20266666666
11, 63439.01, 47933.56833333332
12, 63439.01, 49697.35866666666
13, 63439.01, 50733.139333333325
14, 63439.01, 51460.36499999999
15, 63439.01, 52536.69566666666
16, 63439.01, 53697.85633333333
17, 63439.01, 54059.322
1, 46597.58, 24084.2095
2, 52169.68, 28360.0035
3, 52169.68, 30441.37516666667
4, 52169.68, 31492.205166666663
5, 52169.68, 31781.780166666664
6, 53067.38, 33128.725666666665
7, 53067.38, 34000.83533333333
8, 53067.38, 34307.80666666666
1, 51140.56, 28961.748666666674
2, 51140.56, 33416.41550000001
3, 53817.79, 36659.19033333334
4, 53817.79, 38256.342166666676
5, 53817.79, 39460.64616666667
6, 53817.79, 41601.63033333334
7, 53817.79, 43061.60166666668
8, 53817.79, 44603.186666666676
9, 53817.79, 45045.876000000004
10, 53817.79, 45806.12933333334
11, 53817.79, 46066.66133333334
