generation, best_individual, average_fitness
1, 51076.91, 27627.469333333334
2, 51076.91, 30735.131500000007
3, 53136.27, 32844.068333333336
4, 53136.27, 33536.187000000005
5, 53136.27, 35209.47350000001
6, 53136.27, 37191.663166666665
7, 53136.27, 38963.74466666667
8, 53136.27, 41383.20166666667
9, 53413.27, 42735.11633333334
10, 53413.27, 43509.460666666666
11, 53413.27, 44629.756333333346
12, 56691.83, 45691.114000000016
13, 59398.64, 46981.787000000004
14, 59398.64, 47760.762
15, 59398.64, 48277.78366666667
16, 59398.64, 49670.12033333334
17, 59398.64, 50477.877
18, 59398.64, 51220.98566666667
19, 59398.64, 52303.82366666666
20, 59398.64, 53361.04833333333
1, 58171.66, 24934.9775
2, 58171.66, 31346.47266666667
3, 58171.66, 34331.65383333333
4, 58171.66, 36399.823333333334
5, 58171.66, 39569.91766666667
6, 58171.66, 40716.634333333335
7, 58171.66, 43162.74333333333
8, 63525.65, 45389.895000000004
9, 63525.65, 47900.36233333334
10, 63525.65, 48665.83866666667
11, 63525.65, 49775.670999999995
12, 63525.65, 50140.90533333333
13, 63525.65, 51106.834
14, 63525.65, 51407.72033333333
1, 54243.5, 27427.63266666667
2, 59682.07, 33204.64383333333
3, 59682.07, 36300.39966666666
4, 59682.07, 39252.431
5, 59682.07, 40700.378
6, 59682.07, 42655.47666666666
7, 59682.07, 45126.75866666666
8, 59682.07, 46207.23166666666
9, 59682.07, 48163.272666666664
10, 59682.07, 49216.53466666666
11, 59682.07, 50032.50166666667
12, 59682.07, 51279.952000000005
13, 59682.07, 51556.71666666667
14, 59682.07, 51973.97666666668
1, 55813.8, 32165.985500000003
2, 55813.8, 33952.97416666667
3, 55813.8, 36580.53666666666
4, 55813.8, 36726.82083333333
5, 55813.8, 37529.19350000001
6, 55813.8, 39793.401333333335
7, 55813.8, 39943.204333333335
1, 52824.59, 27284.260000000006
2, 52824.59, 31296.86383333334
3, 52824.59, 33507.19633333333
4, 52824.59, 34048.33933333334
5, 52824.59, 35128.27866666667
6, 52824.59, 37838.393500000006
7, 56199.61, 40149.009833333344
8, 59282.93, 41840.57383333334
9, 59282.93, 43957.26233333334
10, 59282.93, 45231.593666666675
11, 59282.93, 47472.635
12, 59999.44, 49508.540666666675
13, 59999.44, 51430.41466666667
14, 59999.44, 53344.03466666667
15, 59999.44, 54104.831
16, 59999.44, 54616.94933333332
17, 59999.44, 55009.309333333316
