generation, best_individual, average_fitness
1, 215782.51, 163348.55349999998
2, 222694.02, 187732.50020000004
3, 222694.02, 196641.50220000008
4, 227518.17, 203546.5293
5, 227518.17, 207518.35510000002
6, 227518.17, 211242.98229999997
7, 227518.17, 213615.40399999992
8, 227518.17, 216459.07940000002
9, 227518.17, 218596.89309999996
10, 229266.03, 219985.90830000007
11, 229266.03, 221735.80939999997
12, 229266.03, 222790.4410999999
13, 229266.03, 223677.47749999992
14, 229266.03, 224705.27309999996
15, 230622.85, 225554.25620000006
16, 231542.94, 226562.02869999997
17, 231542.94, 227484.6846000001
18, 233739.34, 228408.0919000001
19, 234664.08, 229222.14420000007
20, 235578.34, 229914.21930000003
21, 235578.34, 230647.4036999999
22, 235627.35, 231639.78379999992
23, 236931.97, 232559.5235000001
24, 236931.97, 233086.08190000005
25, 236931.97, 233684.53340000004
26, 236931.97, 234275.63359999994
27, 237359.84, 234768.8486
28, 237359.84, 235122.7813
29, 237639.77, 235494.9458
30, 238332.54, 235867.26210000002
31, 238332.54, 236140.50530000002
32, 238332.54, 236408.90869999997
33, 238569.51, 236689.02090000012
34, 238569.51, 237045.9018000001
35, 239187.81, 237274.95400000017
36, 239403.36, 237552.26630000013
37, 240267.65, 237784.81160000002
38, 240267.65, 237980.1672
39, 240267.65, 238122.87250000003
40, 240267.65, 238316.0165
41, 240267.65, 238473.3835999999
42, 240267.65, 238594.5765999999
43, 240267.65, 238707.05539999995
44, 240267.65, 238787.98959999997
45, 240267.65, 238850.26380000002
46, 240267.65, 238926.45679999993
1, 212260.12, 137815.45370000007
2, 224790.1, 170122.04460000008
3, 224790.1, 183199.6552000001
4, 224790.1, 193797.82510000002
5, 226349.21, 201989.1417
6, 226349.21, 206454.27260000005
7, 230101.29, 210118.71770000004
8, 230101.29, 213707.0488999999
9, 230101.29, 216284.4715
10, 230101.29, 218341.4211
11, 230101.29, 220997.1227
12, 231287.67, 223270.3142
13, 231287.67, 225214.6856
14, 231698.43, 226876.84399999995
15, 233224.57, 228215.3755
16, 233285.96, 229690.77329999994
17, 234162.04, 230703.00789999997
18, 235123.51, 231604.49339999995
19, 235123.51, 232210.30549999996
20, 237316.41, 232909.65280000004
21, 237316.41, 233530.74910000004
22, 237316.41, 233964.62820000006
23, 238085.17, 234430.81310000006
24, 238085.17, 234785.73939999996
25, 238085.17, 235200.99199999997
26, 238275.13, 235561.1989999999
27, 238275.13, 235830.20119999984
28, 238275.13, 236058.20189999993
29, 238275.13, 236226.3980999999
30, 238343.29, 236446.13800000004
31, 238439.96, 236653.19259999995
32, 238500.15, 236824.0467
33, 238500.15, 236955.1073
1, 220295.79, 47451.708099999996
2, 226473.07, 134524.77649999995
3, 226612.09, 169403.91279999993
4, 226612.09, 181709.74989999994
5, 226612.09, 193773.609
6, 226612.09, 203942.51310000007
7, 227487.66, 210688.6802
8, 227554.62, 216443.93170000002
9, 227554.62, 220386.0941
10, 229532.92, 223365.72150000007
11, 229532.92, 225178.03399999999
12, 231662.71, 226220.17210000005
13, 233146.98, 227061.56640000004
14, 233146.98, 227868.96880000003
15, 233146.98, 228644.18299999996
16, 233146.98, 229291.53549999997
17, 234456.96, 230010.89239999998
18, 234456.96, 230603.06850000005
19, 237083.14, 231276.3141000001
20, 237083.14, 232000.1752
21, 237826.72, 232726.65750000003
22, 237826.72, 233419.40339999995
23, 239130.06, 234164.89190000008
24, 239130.06, 234747.92080000005
25, 239763.77, 235434.93259999997
26, 239763.77, 235929.42209999994
27, 239791.43, 236502.45319999993
28, 239791.43, 237015.39229999992
29, 240450.46, 237378.44379999995
30, 240450.46, 237746.83039999998
31, 240450.46, 238048.99730000002
32, 240450.46, 238371.25030000007
33, 240450.46, 238595.42840000006
34, 240450.46, 238815.67660000004
35, 240450.46, 238985.94750000004
36, 241772.75, 239120.79520000002
37, 241772.75, 239198.59960000002
38, 241772.75, 239399.55890000003
39, 241772.75, 239450.43280000004
40, 241772.75, 239537.59049999993
41, 241772.75, 239612.08779999998
42, 241772.75, 239733.168
43, 241772.75, 239827.66470000002
44, 241772.75, 239900.85590000008
45, 241772.75, 239939.00640000004
46, 241772.75, 239989.51320000007
47, 241772.75, 240095.83060000013
48, 241772.75, 240157.23500000007
49, 241772.75, 240182.59140000003
50, 241772.75, 240203.2312000001
1, 204939.19, 45575.94370000001
2, 223463.61, 133430.9558
3, 223463.61, 172295.10320000004
4, 223463.61, 183185.27560000002
5, 223463.61, 192638.1236
6, 224208.23, 199144.59380000006
7, 224208.23, 202983.50140000004
8, 224208.23, 208512.81290000002
9, 224208.23, 212752.9014000001
10, 225048.25, 217092.1993000001
11, 227539.29, 219949.86150000003
12, 228642.25, 222276.1413999999
13, 229982.14, 223755.38219999996
14, 230042.89, 224664.71369999993
15, 230822.33, 225541.22339999993
16, 230930.99, 226154.46039999998
17, 232589.67, 226940.56669999997
18, 234248.66, 227770.16739999995
19, 235303.35, 228681.17979999995
20, 235848.34, 229714.77919999993
21, 236667.92, 230662.47489999997
22, 237810.75, 231772.0481
23, 238405.85, 232707.31799999997
24, 238539.54, 233493.48870000007
25, 238539.54, 234159.29640000017
26, 238539.54, 234940.45299999992
27, 240206.18, 235454.79489999998
28, 240206.18, 235932.89569999996
29, 240206.18, 236257.72160000008
30, 240272.51, 236629.06360000008
31, 240272.51, 236918.16449999998
32, 240272.51, 237088.49409999992
33, 240272.51, 237252.65389999998
34, 240272.51, 237444.6066000001
35, 240272.51, 237577.72950000007
36, 240272.51, 237685.84380000003
37, 240272.51, 237784.12060000002
38, 240272.51, 237868.2136
39, 240272.51, 237970.4074999999
40, 240272.51, 238078.9808
41, 240272.51, 238215.73269999996
42, 240272.51, 238270.30679999993
43, 240272.51, 238406.32129999995
44, 240272.51, 238511.89569999996
45, 240272.51, 238580.05989999993
46, 240272.51, 238627.5180999999
47, 240272.51, 238714.54569999984
48, 240272.51, 238805.76489999992
49, 240272.51, 238836.14639999994
50, 240272.51, 238897.05429999996
