generation, best_individual, average_fitness
1, 182895.78, 57789.8701
2, 200051.88, 133670.56710000001
3, 202410.94, 161277.2813
4, 208695.72, 175779.1272
5, 208695.72, 183476.85169999997
6, 208695.72, 188755.49590000004
7, 219085.3, 193828.81740000003
8, 220395.54, 198361.35599999997
9, 220395.54, 200980.9993
10, 222822.43, 204169.76010000004
11, 222822.43, 206138.6189
12, 222884.19, 208164.439
13, 222884.19, 209969.5675
14, 223416.03, 212610.5860000001
15, 223416.03, 214263.5791000001
16, 223416.03, 215935.90670000005
17, 226209.72, 217562.3748
18, 226209.72, 218833.90090000007
19, 227071.56, 220050.49280000004
20, 228745.39, 220943.07420000006
21, 228745.39, 221674.8875
22, 228810.61, 222623.22589999993
23, 228810.61, 223384.83220000003
24, 228810.61, 223865.5582000001
25, 228811.15, 224434.11680000005
26, 230514.03, 225406.79010000004
27, 230514.03, 226168.57929999998
28, 233037.54, 226943.4056
29, 233397.11, 227574.0568
30, 233397.11, 228277.98679999998
31, 234706.29, 228899.7998
32, 234706.29, 229497.3457999999
33, 234918.55, 230155.64199999996
34, 237071.35, 230947.35549999998
35, 238636.89, 231852.21690000006
36, 238636.89, 232796.0873
37, 238636.89, 233606.8359
38, 238636.89, 234119.87600000002
39, 238636.89, 234616.1512000001
40, 238636.89, 235136.85070000016
41, 238914.07, 235521.0095000001
42, 238914.07, 235912.83200000002
43, 238914.07, 236143.4229
44, 239431.65, 236518.03140000004
45, 239431.65, 236786.44800000003
46, 241374.36, 237012.61640000012
47, 241374.36, 237389.88250000007
48, 241374.36, 237620.14440000002
49, 241374.36, 237848.08029999994
50, 241374.36, 238008.95109999992
51, 243415.28, 238197.81379999995
52, 243415.28, 238419.3482
53, 243415.28, 238677.05540000004
54, 243415.28, 238926.79559999995
55, 243415.28, 239086.52319999994
56, 243415.28, 239464.7319
57, 243415.28, 239843.51139999993
58, 243415.28, 240263.6818
59, 243415.28, 240548.69569999995
60, 243415.28, 240880.09319999992
61, 243415.28, 241157.13559999995
62, 243456.91, 241382.15699999995
63, 244225.95, 241624.74759999994
64, 244225.95, 241944.40920000002
65, 244382.62, 242211.5602000001
66, 244382.62, 242402.97600000014
67, 244382.62, 242606.2440000001
68, 245152.76, 242849.64530000006
69, 245152.76, 243103.0153
70, 245152.76, 243262.7863000001
71, 245152.76, 243410.0743
72, 245152.76, 243566.39469999998
73, 245295.59, 243779.49450000003
74, 245295.59, 243905.1493
75, 245700.48, 244020.11970000004
76, 245700.48, 244114.1993
77, 245758.19, 244273.5452000001
1, 194472.19, 53658.239000000016
2, 204493.07, 120734.41029999999
3, 204493.07, 151247.2158
4, 204493.07, 171493.10130000007
5, 204493.07, 180257.1745
6, 209921.47, 187351.2989
7, 212647.09, 191912.73279999997
8, 212647.09, 195079.78999999995
9, 222901.18, 198133.61880000003
10, 222901.18, 201569.5524
11, 222901.18, 204531.6616
12, 226146.15, 206683.47389999998
13, 226146.15, 209180.65869999994
14, 226146.15, 211390.4625
15, 226146.15, 213416.76700000008
16, 226146.15, 215681.6797000001
17, 226146.15, 217473.02410000004
18, 226146.15, 219471.6446000001
19, 227444.88, 221087.12730000005
20, 233865.46, 222470.50490000003
21, 233865.46, 223611.74119999996
22, 233865.46, 224379.48029999994
23, 233865.46, 225715.2395
24, 233865.46, 226414.2927000001
25, 233865.46, 227334.99799999996
26, 233865.46, 227966.58939999997
27, 233865.46, 228982.7108000001
28, 234863.6, 229716.69400000002
29, 235615.35, 230371.81180000014
30, 237032.21, 231128.7766000002
31, 238274.45, 231866.90770000019
32, 238274.45, 232924.11870000002
33, 238676.81, 233854.71639999998
34, 242001.28, 234542.35029999993
35, 242002.84, 235290.77399999998
36, 242002.84, 236045.78249999997
37, 242002.84, 236811.89839999995
38, 242002.84, 237261.9827
39, 244568.83, 237789.78079999995
40, 244568.83, 238425.90809999988
41, 244568.83, 238739.3879999999
42, 244568.83, 239196.76779999997
43, 244568.83, 239744.31279999999
44, 244568.83, 240437.64760000003
45, 245026.92, 241039.61140000008
46, 245026.92, 241476.69139999998
47, 245026.92, 241913.53449999992
48, 245077.24, 242218.38610000003
49, 245203.58, 242485.44999999995
50, 247545.7, 242934.20389999985
51, 247545.7, 243171.6325999999
52, 247545.7, 243497.92500000005
53, 247545.7, 243756.58630000002
54, 247545.7, 243997.81490000003
55, 247545.7, 244226.86660000012
56, 247545.7, 244407.95670000007
57, 247545.7, 244616.3815
58, 247545.7, 244846.73479999992
59, 247545.7, 245106.09049999993
60, 247545.7, 245174.99089999998
61, 247545.7, 245351.80579999991
62, 247545.7, 245488.47369999994
63, 247545.7, 245619.00219999996
64, 247545.7, 245716.06979999994
65, 248554.45, 245933.5614
66, 248554.45, 246077.99670000005
67, 248681.67, 246188.0308000001
68, 248681.67, 246202.2114000001
69, 248681.67, 246283.56040000007
70, 248681.67, 246357.63280000002
71, 248681.67, 246418.38139999995
72, 248681.67, 246468.2731
73, 248681.67, 246489.0418
74, 248681.67, 246564.6997000001
75, 248681.67, 246597.60320000007
76, 248681.67, 246620.11930000008
77, 248681.67, 246696.01450000008
78, 248681.67, 246703.25490000006
79, 248681.67, 246745.07460000005
80, 248681.67, 246809.85610000006
81, 248681.67, 246897.31280000013
1, 187171.21, 70977.5361
2, 201942.46, 142639.85520000008
3, 232155.03, 168397.04270000002
4, 232155.03, 182668.12980000005
5, 232633.86, 189935.27190000002
6, 232633.86, 196129.471
7, 233162.25, 200055.24749999997
8, 234478.61, 204451.1211
9, 234478.61, 207501.4868000001
10, 234670.65, 211198.34039999996
11, 234670.65, 216473.88589999988
12, 235532.89, 221215.68549999996
13, 237444.59, 226810.03
14, 237444.59, 229766.45369999993
15, 237444.59, 231653.33849999998
