generation, best_individual, average_fitness
1, 114393.33, 36595.93179999999
2, 131583.53, 76340.93600000003
3, 131583.53, 97090.24110000004
4, 131812.17, 105550.7856
5, 131812.17, 113047.20379999997
6, 132727.21, 118262.2856
7, 138875.04, 122776.73590000001
8, 138875.04, 125390.19890000002
9, 138875.04, 128140.14790000003
10, 138875.04, 130058.22149999994
11, 138875.04, 131770.37290000002
12, 141439.36, 133005.86909999998
13, 142901.88, 134253.25020000004
14, 145898.2, 135341.17570000002
15, 145898.2, 136616.5469999999
16, 145898.2, 137922.05349999995
17, 145898.2, 138585.3378
18, 147183.72, 139644.3706
19, 147183.72, 140826.79169999994
20, 147183.72, 142027.86849999998
21, 147183.72, 142919.4244
22, 148235.17, 144239.525
23, 148235.17, 145039.7551
24, 149150.44, 145998.5213
25, 149210.11, 146667.0971
26, 149573.83, 147194.83310000002
27, 150746.79, 147663.4015
28, 150746.79, 148002.65529999998
29, 150746.79, 148267.43540000002
30, 150746.79, 148462.38030000002
31, 150746.79, 148659.6509
32, 150746.79, 148808.6323
33, 150746.79, 148912.6681
34, 150746.79, 149049.3881
35, 150746.79, 149126.22030000002
36, 150746.79, 149240.5021
37, 150746.79, 149293.6863
38, 152069.34, 149412.1852
39, 152069.34, 149462.0852
40, 152069.34, 149530.8264
41, 152069.34, 149554.5323
42, 152069.34, 149570.62929999997
43, 152069.34, 149649.75249999994
44, 152069.34, 149712.42489999993
45, 152069.34, 149741.3129999999
46, 152069.34, 149789.89119999993
47, 152069.34, 149822.16539999994
48, 152069.34, 149837.21609999993
49, 152069.34, 149874.21459999995
50, 152069.34, 149928.80219999998
51, 152069.34, 149986.5746
52, 152069.34, 150007.9485
53, 152069.34, 150081.50069999998
54, 152069.34, 150106.6459
55, 152069.34, 150163.9485
56, 152069.34, 150239.45159999997
57, 152069.34, 150297.89779999998
58, 152069.34, 150337.2426
59, 152069.34, 150452.79979999998
60, 152085.5, 150533.21529999995
61, 152085.5, 150562.06479999993
62, 152085.5, 150630.58889999994
63, 152085.5, 150697.45519999994
64, 152085.5, 150759.51019999996
65, 152085.5, 150804.81729999994
66, 152085.5, 150883.09029999998
67, 152085.5, 150923.65459999995
68, 152085.5, 150997.2696
69, 152085.5, 151017.3368
70, 152085.5, 151059.30969999998
71, 152085.5, 151111.19819999998
72, 152085.5, 151131.3424
73, 152085.5, 151143.24960000004
74, 152237.12, 151211.54190000004
75, 152237.12, 151270.50670000003
1, 114044.05, 32041.98769999999
2, 129818.71, 83237.90469999996
3, 129818.71, 98473.78729999997
4, 132937.93, 107972.72699999996
5, 143571.3, 114757.07749999996
6, 143571.3, 121605.55369999999
7, 143571.3, 125577.7724
8, 143571.3, 127753.04590000007
9, 143571.3, 129675.11750000002
10, 143571.3, 131550.20950000003
11, 143571.3, 133248.84760000004
12, 143571.3, 134140.8425
13, 143571.3, 135425.81200000003
14, 143867.53, 136709.12920000002
15, 143896.68, 137763.98460000005
16, 147746.49, 138885.95470000003
17, 147746.49, 140057.42229999998
18, 147746.49, 141206.51339999997
19, 148771.91, 141992.75890000002
20, 148771.91, 142555.1799
21, 148771.91, 143183.8762
22, 148771.91, 143942.23589999997
23, 148771.91, 144633.89829999997
24, 148771.91, 145120.23499999996
25, 148869.1, 145714.0555
26, 149308.98, 146075.54540000003
27, 149308.98, 146562.6383
28, 149308.98, 146917.66100000008
29, 149825.63, 147203.54380000004
30, 149825.63, 147491.79290000006
31, 150798.97, 147840.33860000005
32, 150798.97, 148007.3625
33, 150798.97, 148261.38410000002
34, 150798.97, 148434.62740000003
35, 150798.97, 148598.83020000005
36, 150798.97, 148775.90650000007
37, 150798.97, 148949.79140000007
38, 151469.73, 149091.21240000005
39, 151914.34, 149201.16780000002
40, 151914.34, 149286.54440000004
41, 151914.34, 149373.16520000008
42, 151914.34, 149473.41700000007
43, 152095.27, 149595.70750000005
44, 152095.27, 149776.0586
45, 152795.58, 149961.8642
46, 152795.58, 150085.00580000004
47, 152795.58, 150219.11860000005
48, 152795.58, 150443.99920000005
49, 152795.58, 150723.84620000006
50, 152795.58, 150890.5505
51, 152795.58, 150973.86289999998
52, 152795.58, 151086.73789999998
53, 152936.74, 151273.2905
54, 152936.74, 151372.4245
55, 152936.74, 151426.3432
56, 152936.74, 151515.42000000004
57, 152936.74, 151591.81699999998
58, 153276.89, 151688.6491
59, 153276.89, 151738.62310000006
60, 153276.89, 151777.9363
61, 153276.89, 151820.6614
62, 153276.89, 151891.07680000004
63, 153276.89, 151935.96600000004
64, 153276.89, 151956.29720000006
65, 153276.89, 151972.34170000008
66, 153276.89, 152006.41510000007
67, 153276.89, 152050.77880000003
68, 153276.89, 152070.53880000004
69, 153276.89, 152110.4589
70, 153276.89, 152120.05599999998
71, 153276.89, 152152.9195
72, 153276.89, 152169.78559999997
73, 153276.89, 152179.299
74, 153276.89, 152191.67080000002
75, 153276.89, 152217.57559999998
