generation, best_individual, average_fitness
1, 130132.53, 44355.249
2, 170050.15, 102118.46260000003
3, 170202.52, 127635.40020000002
4, 180893.63, 139437.2712
5, 180893.63, 146757.19080000004
6, 180893.63, 150913.15830000004
7, 183576.09, 156176.67570000002
8, 183576.09, 160239.10450000002
9, 183576.09, 163415.53889999996
10, 186899.33, 167616.78420000002
11, 186899.33, 171951.85170000003
12, 186899.33, 174731.17049999998
13, 187515.03, 177758.04080000002
14, 188840.1, 180329.2293
15, 188840.1, 182261.6696999999
16, 188840.1, 183542.575
17, 189480.49, 184586.16889999993
18, 190912.51, 185421.09589999993
19, 190912.51, 186061.71579999995
20, 191471.93, 186920.81159999996
21, 193547.72, 187903.51200000002
22, 193547.72, 188734.46679999997
23, 195670.87, 189334.61169999995
24, 195670.87, 189879.05080000003
25, 195670.87, 190302.16910000003
26, 195670.87, 190813.80070000005
27, 195670.87, 191167.82930000004
28, 195670.87, 191533.13200000004
29, 195670.87, 191782.62069999997
30, 195670.87, 192127.82959999994
31, 195670.87, 192496.6389999999
32, 198725.91, 193123.08820000003
33, 200793.0, 193671.71650000007
34, 200793.0, 194012.69560000006
35, 200793.0, 194436.3123
36, 200793.0, 194726.92230000003
37, 200793.0, 195149.56880000004
38, 200793.0, 195378.55870000002
39, 200793.0, 195730.72500000003
40, 200793.0, 196079.056
41, 200793.0, 196552.50079999998
42, 200793.0, 196969.9454
43, 200793.0, 197383.57669999998
44, 200793.0, 197714.1377
45, 200793.0, 198112.97689999998
46, 201691.36, 198575.83250000008
47, 201691.36, 198879.44860000006
48, 203556.17, 199274.10210000002
49, 203982.2, 199680.7012
50, 203982.2, 200000.7493
51, 203982.2, 200172.17040000003
52, 203982.2, 200583.28530000005
53, 204143.88, 200764.6099
54, 205616.89, 201068.69869999998
55, 206936.11, 201638.82489999995
56, 206936.11, 201933.21509999997
57, 206936.11, 202281.44479999994
58, 206936.11, 202685.85689999993
59, 206936.11, 202885.48089999988
60, 206936.11, 203116.15209999995
61, 206936.11, 203391.76309999992
62, 206936.11, 203659.4127999999
63, 206936.11, 203787.6090999999
64, 206936.11, 203901.7194999999
65, 206936.11, 203976.0113999999
66, 206936.11, 204111.88949999993
67, 206936.11, 204207.25389999992
68, 206936.11, 204312.42889999994
69, 208439.65, 204526.8627999999
70, 208439.65, 204619.7205999999
71, 208439.65, 204753.88319999992
72, 208439.65, 204859.78549999994
73, 208439.65, 204992.5901999999
74, 208439.65, 205117.4600999999
75, 208439.65, 205219.13099999988
76, 208439.65, 205331.08589999992
77, 208439.65, 205409.59959999996
78, 208439.65, 205508.6404
79, 208439.65, 205581.84159999996
80, 208439.65, 205692.41239999997
81, 208439.65, 205751.701
82, 208439.65, 205862.93790000002
83, 208439.65, 205923.2189
84, 208439.65, 205995.08340000003
85, 208439.65, 206095.36389999997
86, 208439.65, 206133.3709
87, 208439.65, 206184.40279999998
88, 208439.65, 206241.24679999996
89, 208439.65, 206275.0753999999
90, 208439.65, 206342.28679999989
91, 208439.65, 206380.40629999992
92, 208439.65, 206410.48159999994
93, 208439.65, 206438.0391999999
94, 208439.65, 206467.4680999999
95, 208439.65, 206494.6498999999
96, 208439.65, 206518.8795999999
97, 208439.65, 206540.9898999999
98, 208439.65, 206571.13499999992
99, 208439.65, 206586.81759999995
100, 208439.65, 206624.27609999996
