generation, best_individual, average_fitness
1, 48910.99, 20524.048350000005
2, 50493.48, 33001.59134999998
3, 51920.15, 39084.19374999999
4, 51920.15, 43148.1188
5, 55319.92, 46248.8275
6, 55319.92, 47994.32700000001
7, 55361.53, 49477.0165
8, 59617.64, 50800.3108
9, 59617.64, 51953.43160000001
10, 59617.64, 52606.9638
11, 59617.64, 53459.973800000014
12, 59617.64, 54151.52960000003
13, 59617.64, 54759.67960000001
14, 59617.64, 55280.58589999998
15, 59617.64, 55932.33940000001
16, 59617.64, 56338.79340000002
17, 60404.39, 56783.914499999984
18, 60404.39, 57155.382199999985
19, 60404.39, 57503.640799999965
20, 60404.39, 57752.5119
21, 60404.39, 58042.2908
22, 60404.39, 58409.6398
23, 60404.39, 58650.7807
24, 60404.39, 58837.81130000001
25, 60404.39, 59105.1294
26, 60765.15, 59311.051799999994
27, 60765.15, 59496.18049999999
28, 60765.15, 59620.49309999999
29, 60765.15, 59736.303899999984
30, 61094.68, 59846.08160000001
31, 61094.68, 59929.5076
32, 61094.68, 59982.18039999999
33, 61094.68, 60009.27869999998
34, 61094.68, 60046.41939999999
35, 61094.68, 60083.528399999996
36, 61094.68, 60125.200099999995
37, 61094.68, 60175.928400000026
38, 61094.68, 60225.32180000001
39, 61094.68, 60260.09490000001
40, 61094.68, 60292.22080000002
41, 61094.68, 60322.939900000005
42, 61310.88, 60349.4022
43, 61310.88, 60386.17560000002
44, 61310.88, 60405.33729999999
45, 61310.88, 60433.79500000001
46, 61310.88, 60456.371300000006
47, 61310.88, 60470.74600000002
48, 61310.88, 60479.159600000035
49, 61310.88, 60502.78520000002
50, 61310.88, 60534.338800000005
51, 61343.26, 60568.7833
52, 61343.26, 60586.82679999999
53, 61343.26, 60591.008599999994
54, 61343.26, 60600.8639
55, 61343.26, 60621.08319999999
56, 61343.26, 60637.831
57, 61343.26, 60647.862400000005
58, 61683.38, 60670.503899999996
59, 61683.38, 60687.9633
60, 61683.38, 60703.5738
61, 61683.38, 60723.19299999998
62, 61683.38, 60747.79279999998
63, 61683.38, 60774.4975
64, 61683.38, 60788.90079999999
65, 61683.38, 60807.580399999984
66, 61683.38, 60829.926399999975
67, 61683.38, 60844.234
68, 61683.38, 60853.62359999999
69, 61683.38, 60864.94569999998
70, 61683.38, 60875.21839999999
71, 61683.38, 60890.98189999999
72, 61683.38, 60903.695900000006
73, 61958.0, 60944.95970000001
74, 61958.0, 60956.50129999999
75, 61958.0, 60974.47720000001
76, 61958.0, 60996.5621
77, 61958.0, 61007.571599999996
78, 61958.0, 61016.6864
79, 61958.0, 61047.4725
80, 61973.67, 61100.1128
81, 61973.67, 61110.59339999999
