generation, best_individual, average_fitness
1, 91486.24, 28846.16985000001
2, 108050.2, 59074.795999999995
3, 110180.29, 77757.69200000002
4, 110180.29, 85223.33879999997
5, 113689.79, 91234.88989999998
6, 115291.73, 95251.08320000001
7, 116459.41, 98210.24230000003
8, 116459.41, 102316.08210000004
9, 116459.41, 104966.99950000003
10, 117357.19, 107318.93920000002
11, 117357.19, 109939.36800000003
12, 117357.19, 111445.02790000004
13, 121438.59, 113148.08030000003
14, 121570.1, 114477.63209999996
15, 121681.96, 115509.07059999995
16, 122092.9, 116368.45709999999
17, 122092.9, 117268.7879
18, 122344.0, 117765.74289999995
19, 122344.0, 118262.08639999996
20, 122344.0, 118766.0098
21, 123407.56, 119363.44749999998
22, 123407.56, 119832.75449999995
23, 123984.6, 120376.87629999997
24, 123984.6, 120894.77279999998
25, 123984.6, 121243.83189999993
26, 124279.82, 121624.08999999994
27, 126034.88, 121967.87029999998
28, 126034.88, 122168.97849999998
29, 126034.88, 122401.614
30, 126535.92, 122558.9324
31, 126535.92, 122776.03749999998
32, 126535.92, 122985.39339999994
33, 126535.92, 123170.00179999995
34, 126535.92, 123367.09399999997
35, 126535.92, 123517.48940000002
36, 126535.92, 123789.05110000001
37, 126535.92, 123978.56500000003
38, 126535.92, 124289.32220000002
39, 126535.92, 124478.2939
40, 126535.92, 124719.45730000002
41, 126535.92, 124854.72550000003
42, 126647.18, 125072.27280000004
43, 126687.59, 125233.92930000008
44, 126687.59, 125402.53870000005
45, 126687.59, 125599.53580000001
46, 126687.59, 125770.89240000003
47, 126952.48, 125919.80950000003
48, 127331.81, 126023.60790000003
49, 127505.08, 126139.42310000003
50, 127505.08, 126211.84150000001
51, 127505.08, 126277.2654
52, 127505.08, 126345.55839999998
53, 127505.08, 126416.87969999999
54, 127505.08, 126483.78569999996
55, 127505.08, 126512.42039999997
56, 127505.08, 126546.69909999998
57, 127730.44, 126595.25599999996
58, 127730.44, 126651.56599999999
59, 127730.44, 126701.20389999996
60, 127730.44, 126746.65749999996
61, 127758.37, 126796.05189999996
62, 127758.37, 126826.27099999994
63, 128550.14, 126886.44159999996
64, 128550.14, 126962.69749999997
65, 128550.14, 127011.13149999996
66, 128550.14, 127060.17719999999
67, 128550.14, 127114.31129999999
68, 128550.14, 127152.20139999999
69, 128550.14, 127191.11839999996
70, 128550.14, 127213.41279999993
71, 128550.14, 127260.41709999993
72, 128550.14, 127299.77659999992
73, 128550.14, 127318.70029999994
74, 128550.14, 127332.47939999994
75, 128550.14, 127357.81379999993
76, 128550.14, 127381.58889999994
77, 128550.14, 127396.28119999994
78, 128550.14, 127441.10549999998
79, 128550.14, 127468.27649999996
80, 128550.14, 127505.36829999996
81, 128550.14, 127522.27349999995
82, 128550.14, 127532.31459999995
83, 128550.14, 127570.01949999998
84, 128550.14, 127592.49129999995
85, 128550.14, 127602.94579999996
86, 128550.14, 127631.73680000001
87, 128550.14, 127653.1725
88, 128550.14, 127687.4124
1, 102531.17, 33479.763049999994
2, 110026.61, 72795.49349999998
3, 110026.61, 87430.97819999998
4, 111016.74, 94436.71009999998
5, 111016.74, 98435.37369999997
6, 116141.98, 100753.99129999997
7, 116141.98, 103131.70799999997
8, 117035.67, 105008.32599999996
9, 117035.67, 107091.32500000001
10, 117035.67, 108707.9479000001
11, 117035.67, 110190.94550000005
12, 117313.77, 111788.73190000009
13, 118254.16, 113054.5091
14, 118451.65, 114270.8772
15, 118451.65, 115143.1692
16, 118451.65, 115734.469
17, 118693.51, 116245.90950000001
18, 119257.61, 116894.0766
19, 120748.65, 117299.4581
20, 120748.65, 117769.26080000002
21, 120939.65, 118148.80040000002
22, 121675.19, 118442.73450000005
23, 121675.19, 118756.75720000005
24, 121823.51, 119065.12140000002
25, 124195.74, 119604.98210000001
26, 124195.74, 119983.0502
27, 124195.74, 120424.54650000003
28, 124195.74, 120751.46
29, 124195.74, 120995.05149999999
30, 124195.74, 121260.86279999992
31, 124195.74, 121556.72059999993
32, 124195.74, 121787.28549999997
33, 124195.74, 121932.8369
34, 124195.74, 122144.48680000006
35, 125767.81, 122308.31170000003
36, 125767.81, 122502.86589999998
37, 125767.81, 122641.79030000004
38, 125767.81, 122902.26890000007
39, 125767.81, 123190.15840000003
40, 125767.81, 123492.82430000005
41, 125767.81, 123763.14650000005
42, 125917.54, 124025.49480000004
43, 126051.09, 124248.05300000004
44, 126291.92, 124441.62670000004
45, 126291.92, 124640.84319999999
46, 126752.06, 124894.43460000005
47, 127420.47, 125157.6608
48, 127420.47, 125362.76870000002
49, 127420.47, 125534.32669999998
50, 127420.47, 125672.22480000001
51, 127420.47, 125759.8145
52, 127420.47, 125864.35309999995
53, 127420.47, 126037.67669999997
54, 127420.47, 126162.63059999997
55, 127420.47, 126248.35229999997
56, 127420.47, 126363.12119999998
57, 127504.01, 126434.90219999995
58, 127504.01, 126538.62159999998
59, 127504.01, 126575.5516
60, 127504.01, 126646.78739999997
61, 127504.01, 126683.06970000001
62, 127504.01, 126710.55719999997
63, 127504.01, 126756.40940000002
64, 127504.01, 126790.06829999998
65, 127504.01, 126801.88819999997
1, 91449.03, 31825.02019999999
2, 112101.84, 66254.42469999997
3, 114837.9, 81748.38539999997
4, 115719.4, 89634.79199999999
5, 116293.5, 95071.7805
6, 116865.4, 98678.45840000003
7, 116865.4, 101970.98930000003
8, 116865.4, 104705.11150000003
9, 116865.4, 106877.44560000002
10, 116865.4, 109196.18440000001
11, 117053.35, 111188.7283
12, 122253.81, 112549.48959999999
13, 122253.81, 113600.42710000003
14, 122253.81, 114584.0732
15, 122253.81, 115492.85629999998
16, 122253.81, 116161.3359
17, 122253.81, 116838.4801
