generation, best_individual, average_fitness
1, 92200.26, 37483.636
2, 108341.03, 64807.74034999999
3, 110660.15, 84096.93009999998
4, 110660.15, 90390.0143
5, 110660.15, 94277.86879999997
6, 110660.15, 97235.63339999995
7, 111511.91, 99736.77559999996
8, 112198.36, 101994.35509999999
9, 120400.9, 104347.93710000002
10, 120400.9, 106815.97590000003
11, 120400.9, 108688.14640000003
12, 120400.9, 110038.21599999997
13, 120696.62, 111406.4108
14, 120696.62, 112968.1676
15, 120696.62, 114046.05839999997
16, 120696.62, 114727.65259999997
17, 120696.62, 115773.325
18, 121026.42, 116864.9927
19, 121168.4, 117658.28689999998
20, 121302.55, 118351.82389999997
21, 122358.75, 119099.41459999996
22, 122358.75, 119775.58589999998
23, 122358.75, 120174.037
24, 122780.27, 120576.12289999999
25, 123336.37, 120911.38249999996
26, 123336.37, 121052.71909999996
27, 123336.37, 121212.97189999997
28, 123674.04, 121474.02359999997
29, 124179.36, 121718.83649999999
30, 124179.36, 121916.23929999996
31, 124179.36, 122078.70219999997
32, 124179.36, 122216.3378
33, 124179.36, 122334.29559999998
34, 124179.36, 122484.75039999999
35, 124179.36, 122638.6703
36, 126603.13, 122855.83780000001
37, 126603.13, 122967.30619999998
38, 126603.13, 123069.68379999997
39, 126603.13, 123168.37489999995
40, 126603.13, 123352.45899999999
41, 126603.13, 123574.52859999998
42, 126603.13, 123722.409
43, 126603.13, 123845.45099999997
44, 126603.13, 123992.85579999998
45, 126603.13, 124114.03419999997
46, 126603.13, 124222.63280000004
47, 127092.84, 124412.62460000001
48, 127092.84, 124659.92940000001
49, 127092.84, 124858.48750000002
50, 127092.84, 125002.52670000002
51, 127241.47, 125188.84820000002
52, 127390.79, 125351.38739999998
53, 127390.79, 125481.09600000002
54, 127390.79, 125605.13019999997
55, 127390.79, 125717.68069999997
56, 127390.79, 125885.03480000001
57, 127390.79, 125949.60850000002
58, 127390.79, 126082.34410000002
59, 127390.79, 126171.4352
60, 127390.79, 126333.1423
61, 127974.32, 126497.4848
62, 127974.32, 126666.39499999996
63, 127974.32, 126727.13519999998
64, 128173.27, 126808.87449999996
65, 128173.27, 126867.22359999994
66, 128261.71, 126905.17639999997
67, 128261.71, 126979.42689999993
68, 128261.71, 127051.32179999995
69, 128261.71, 127095.20099999997
70, 128261.71, 127149.77810000003
71, 128261.71, 127197.11010000002
72, 128261.71, 127243.80410000001
73, 128261.71, 127280.95779999999
74, 128261.71, 127324.7543
75, 128261.71, 127339.0304
76, 128261.71, 127371.5702
77, 128261.71, 127401.817
78, 128261.71, 127427.9378
79, 128718.99, 127454.4835
80, 128718.99, 127476.52840000001
81, 128718.99, 127537.03919999998
82, 128718.99, 127549.26059999998
83, 128718.99, 127571.6114
84, 128718.99, 127583.6943
85, 128718.99, 127595.43319999998
86, 128718.99, 127613.8526
87, 128718.99, 127633.04430000004
88, 128718.99, 127645.58920000003
1, 98053.93, 33637.3278
2, 108306.23, 66319.82545000002
3, 108778.16, 85096.16550000003
4, 114175.43, 92027.04700000004
5, 119043.56, 97351.97830000003
6, 119043.56, 101802.5795
7, 119043.56, 104110.07720000003
8, 119043.56, 105519.5518
9, 119043.56, 107012.00120000003
10, 119043.56, 108952.94539999997
11, 119043.56, 110379.83959999995
12, 119043.56, 112263.46410000003
13, 119043.56, 113604.17620000002
14, 119043.56, 114630.8584
15, 120184.24, 115641.64000000004
16, 122074.46, 116370.23590000006
17, 122482.08, 117137.1048
18, 122482.08, 117627.24300000005
