generation, best_individual, average_fitness
1, 200814.9, 51703.33440000002
2, 215400.38, 135010.48969999998
3, 217640.47, 168404.03969999996
4, 222827.57, 184868.17829999994
5, 223245.43, 194348.6892
6, 223245.43, 203221.59430000003
7, 223245.43, 206296.76480000003
8, 223245.43, 210309.1683
9, 223245.43, 212964.8711
10, 223245.43, 215404.67620000013
11, 224365.85, 217654.18839999998
12, 230201.25, 219277.99299999996
13, 230201.25, 220628.86259999993
14, 230201.25, 221985.78979999997
15, 230201.25, 222829.9953
16, 231522.47, 224387.0651
17, 233216.09, 225610.4511
18, 233216.09, 227017.36139999997
19, 233216.09, 227828.81909999996
20, 233535.97, 228678.39349999986
21, 233535.97, 229183.33749999988
22, 234049.03, 229983.66899999985
23, 236244.53, 230457.6291
24, 236244.53, 231069.55600000004
25, 236244.53, 231601.52400000012
26, 236244.53, 232200.25890000004
27, 236421.35, 232779.57369999995
28, 236421.35, 233408.22809999998
29, 236421.35, 233880.50800000003
30, 236605.86, 234350.3345
31, 236881.97, 234878.23020000002
32, 236976.43, 235278.14380000002
33, 237142.13, 235662.75830000013
34, 237142.13, 235888.16560000012
35, 237662.91, 236146.92650000006
36, 238522.19, 236389.56179999988
37, 238522.19, 236575.1764999999
38, 239069.08, 236713.58189999982
39, 239069.08, 236869.5277999999
40, 239069.08, 237029.35699999993
41, 239069.08, 237136.4531
42, 239069.08, 237309.12159999995
43, 239069.08, 237432.54180000006
44, 239069.08, 237533.95110000006
1, 215171.03, 47576.159000000014
2, 228299.02, 116283.93720000004
3, 229421.61, 159369.02610000008
4, 229421.61, 174290.11490000002
5, 229421.61, 188336.9824
6, 229421.61, 196642.11980000004
7, 229421.61, 204089.65320000003
8, 229421.61, 208020.928
9, 229421.61, 211384.28969999996
10, 230805.32, 214651.25249999997
11, 231677.19, 218508.44299999997
12, 231989.1, 220983.77920000002
13, 231989.1, 222854.91069999998
14, 231989.1, 224359.11520000003
15, 233008.8, 225796.39399999997
16, 233008.8, 226934.97440000006
17, 233153.09, 227993.22379999995
18, 233304.32, 228843.93810000003
19, 236197.86, 229700.8760999999
20, 236197.86, 230567.18530000004
21, 236197.86, 231315.0173999999
22, 236197.86, 231970.6643
23, 236350.79, 232773.8827
24, 237036.87, 233320.9712
25, 237036.87, 233765.17359999998
26, 237370.93, 234252.83449999997
27, 237370.93, 234737.80029999994
28, 237370.93, 235053.10249999992
29, 237882.81, 235479.62979999997
30, 237882.81, 235804.41219999985
31, 237882.81, 236043.02919999987
32, 237882.81, 236259.5837999999
33, 238223.46, 236511.8318999999
34, 238223.46, 236594.72979999997
35, 238223.46, 236723.48809999987
36, 238814.05, 236838.71649999992
37, 238814.05, 236943.20369999987
38, 238814.05, 237026.56579999995
39, 238814.05, 237118.1784
40, 238845.89, 237219.5542
1, 202270.03, 31683.817599999995
2, 216381.56, 103886.20959999999
3, 216381.56, 161268.13689999998
4, 216381.56, 183260.44019999998
5, 218699.42, 194952.22170000002
6, 219987.82, 202944.91299999997
7, 224108.65, 209098.79359999992
8, 224325.34, 212454.07180000003
9, 224325.34, 213922.95030000005
10, 224325.34, 215855.21110000004
11, 224325.34, 217434.2696000001
12, 230919.94, 219445.0105
13, 230919.94, 221212.00779999993
14, 230919.94, 222610.63269999993
15, 230919.94, 223966.57699999993
16, 230927.28, 224970.611
17, 230938.87, 225858.68950000004
18, 233780.45, 226820.62269999995
19, 234450.99, 227825.42529999994
20, 234450.99, 228850.21309999994
21, 234517.81, 229835.13479999994
22, 234643.6, 230595.85009999995
23, 234643.6, 231397.26979999998
24, 235754.77, 232150.36029999994
25, 235754.77, 232664.64900000003
26, 235754.77, 233141.51149999988
27, 236566.01, 233612.90849999993
28, 236566.01, 233851.7033
29, 236566.01, 234170.3386
30, 236750.75, 234617.59900000002
31, 236750.75, 234896.4351000001
32, 236750.75, 235173.53639999998
33, 237188.41, 235453.2665
34, 237188.41, 235709.64120000004
35, 237980.9, 236008.90319999997
36, 237980.9, 236142.2839
37, 237980.9, 236251.29619999998
38, 237980.9, 236403.44889999996
39, 238119.65, 236556.96440000003
40, 238567.31, 236698.68020000006
41, 238640.98, 236883.79049999997
42, 238966.78, 237061.23799999998
43, 239346.66, 237221.6878999999
44, 239346.66, 237388.31209999998
45, 239346.66, 237466.95679999996
46, 239346.66, 237556.78560000003
47, 239346.66, 237666.4273
48, 239888.31, 237761.8512
49, 239888.31, 237845.62759999998
50, 239888.31, 237898.45870000002
51, 239888.31, 238023.70730000004
52, 239888.31, 238083.37780000002
