generation, best_individual, average_fitness
1, 49930.55, 19579.458199999997
2, 52484.61, 29848.552050000006
3, 57257.03, 35576.803150000014
4, 60377.9, 43269.42685000002
5, 60377.9, 46200.60320000001
6, 60377.9, 48686.8542
7, 60377.9, 50556.238999999994
8, 60377.9, 51766.30370000001
9, 60377.9, 52857.62230000002
10, 60377.9, 53766.54680000002
11, 60377.9, 54840.14139999999
12, 60377.9, 55567.34750000001
13, 60377.9, 56185.67890000001
14, 60377.9, 56721.4992
15, 60377.9, 57070.132900000026
16, 60377.9, 57507.930700000004
17, 60380.94, 57910.21699999999
18, 60380.94, 58263.2592
19, 60413.65, 58618.90450000001
20, 60413.65, 58934.04529999998
21, 60560.73, 59137.7462
22, 60560.73, 59324.5607
23, 60742.95, 59481.29439999999
24, 61067.33, 59616.0644
25, 61067.33, 59746.362
26, 61067.33, 59877.271100000005
27, 61067.33, 59978.730699999986
28, 61067.33, 60064.573799999984
29, 61067.33, 60104.62289999999
30, 61067.33, 60151.0782
31, 61067.33, 60195.09650000002
32, 61067.33, 60235.71430000001
33, 61154.6, 60301.8938
34, 61247.2, 60348.345
35, 61247.2, 60393.308199999985
36, 62174.74, 60482.786399999975
37, 62174.74, 60504.055999999975
38, 62174.74, 60517.718999999975
39, 62174.74, 60547.328499999974
40, 62174.74, 60569.92839999998
41, 62174.74, 60617.4935
42, 62174.74, 60638.717399999994
43, 62174.74, 60686.680499999995
44, 62174.74, 60701.499200000006
45, 62174.74, 60731.89010000002
46, 62174.74, 60762.12730000002
47, 62174.74, 60776.761400000025
48, 62174.74, 60806.21840000002
49, 62174.74, 60829.26500000002
50, 62174.74, 60846.81140000001
51, 62174.74, 60870.99570000002
52, 62174.74, 60890.57480000002
53, 62174.74, 60925.665199999996
54, 62174.74, 60971.666900000004
55, 62174.74, 60991.8985
56, 62174.74, 61027.1167
57, 62174.74, 61057.67300000001
58, 62174.74, 61067.8679
59, 62174.74, 61113.627300000015
60, 62174.74, 61134.21460000001
61, 62174.74, 61164.37560000002
62, 62174.74, 61169.11080000003
63, 62174.74, 61170.84200000003
64, 62272.83, 61199.975500000044
65, 62272.83, 61251.70740000002
66, 62272.83, 61267.752200000024
67, 62383.77, 61292.981600000014
68, 62383.77, 61326.92109999999
69, 62383.77, 61351.496699999996
70, 62383.77, 61366.045099999996
71, 62383.77, 61385.347299999994
72, 62383.77, 61409.641399999986
73, 62383.77, 61415.5707
74, 62383.77, 61425.86869999999
75, 62383.77, 61446.35399999999
76, 62383.77, 61478.86240000001
77, 62383.77, 61487.14440000001
78, 62383.77, 61511.2388
79, 62383.77, 61521.12570000001
80, 62383.77, 61529.9453
81, 62383.77, 61559.77330000002
82, 62399.75, 61620.5609
83, 62415.15, 61657.9412
84, 62415.15, 61670.77830000001
85, 62415.15, 61698.51670000003
86, 62415.15, 61715.57510000004
87, 62415.15, 61725.90920000004
88, 62415.15, 61758.08430000002
89, 62415.15, 61763.526800000014
90, 62415.15, 61774.26790000002
91, 62415.15, 61785.82330000002
92, 62415.15, 61792.51370000001
93, 62434.79, 61805.80970000001
94, 62434.79, 61830.54240000003
95, 62434.79, 61840.06780000002
96, 62434.79, 61853.982300000025
97, 62434.79, 61875.31070000001
98, 62434.79, 61894.54370000002
99, 62434.79, 61910.60630000001
100, 62434.79, 61926.33330000001
101, 62518.07, 61935.59950000001
102, 62518.07, 61936.14450000001
103, 62518.07, 61958.357700000015
104, 62518.07, 61975.0484
105, 62518.07, 61979.747400000015
1, 50064.56, 19703.6529
2, 53600.2, 32975.1442
3, 53600.2, 41607.0652
4, 53708.27, 46140.8743
5, 54278.63, 47778.663000000015
6, 55645.21, 49260.25610000001
7, 57137.45, 51064.7192
8, 57137.45, 51975.77859999999
9, 60369.27, 52965.076500000025
10, 60369.27, 53824.911700000026
11, 60369.27, 54435.68530000001
12, 60369.27, 55041.871699999996
13, 60369.27, 55656.8477
14, 60638.8, 56334.11230000001
15, 60638.8, 56762.528499999986
16, 60989.22, 57259.098999999966
17, 60989.22, 57707.39299999996
18, 60989.22, 58060.13759999998
19, 60989.22, 58570.17159999997
20, 60989.22, 58856.499499999976
21, 60989.22, 59101.52239999997
22, 60989.22, 59313.37419999999
23, 60989.22, 59495.49559999998
24, 60989.22, 59672.799099999975
25, 61247.18, 59866.54269999996
26, 61247.18, 59931.50579999997
27, 61247.18, 60034.48189999998
28, 61247.18, 60088.78219999997
29, 61247.18, 60149.410699999964
30, 61590.9, 60229.53479999999
31, 61590.9, 60303.996199999994
32, 61590.9, 60359.3436
33, 61590.9, 60386.18290000001
34, 61635.79, 60441.93080000002
35, 61804.67, 60502.850000000006
36, 61804.67, 60569.230999999985
37, 62932.48, 60704.1705
38, 62932.48, 60777.21969999999
39, 62932.48, 60830.098199999986
40, 62932.48, 60962.71199999999
41, 62932.48, 61022.84509999998
42, 62932.48, 61142.5245
43, 62932.48, 61226.676900000006
44, 62932.48, 61325.85010000001
45, 62932.48, 61428.83979999999
46, 62932.48, 61526.1083
47, 63079.23, 61643.58269999998
48, 63079.23, 61712.82679999999
49, 63353.79, 61841.20809999999
50, 63353.79, 61954.203299999994
51, 63353.79, 62014.34740000001
52, 63353.79, 62036.34540000001
53, 63353.79, 62102.17470000002
54, 63503.05, 62161.72500000002
55, 63503.05, 62171.22880000002
56, 63503.05, 62200.95930000002
57, 63503.05, 62227.9966
58, 63503.05, 62259.41230000001
59, 63503.05, 62294.375600000014
60, 63503.05, 62319.1112
61, 63503.05, 62372.25090000001
62, 63503.05, 62406.68250000002
63, 63503.05, 62430.300600000024
64, 63503.05, 62476.502600000014
65, 63503.05, 62494.782400000004
66, 63503.05, 62524.36910000001
67, 63503.05, 62544.84840000002
68, 63644.02, 62573.00360000001
69, 63644.02, 62587.81650000002
70, 63644.02, 62601.237100000006
71, 63644.02, 62615.507800000014
72, 63644.02, 62659.265200000016
73, 63644.02, 62681.70030000002
74, 63675.92, 62712.250800000016
75, 63675.92, 62726.37990000002
76, 63675.92, 62748.14700000001
77, 63750.28, 62777.703000000016
78, 63750.28, 62788.17970000001
79, 63750.28, 62804.02230000001
80, 63750.28, 62812.733600000014
81, 63750.28, 62826.08500000002
82, 63750.28, 62839.341500000024
83, 63750.28, 62845.66440000002
84, 63750.28, 62848.93200000002
85, 63750.28, 62858.08680000002
86, 63750.28, 62863.82020000002
87, 63750.28, 62867.001700000015
88, 63750.28, 62894.796
89, 63750.28, 62908.92450000001
90, 63750.28, 62920.29160000002
91, 63750.28, 62929.4553
92, 63750.28, 62938.830900000015
93, 63750.28, 62940.95920000002
94, 63750.28, 62942.16970000001
95, 63750.28, 62944.30800000002
1, 54943.35, 20350.17415
2, 54943.35, 35185.09520000002
3, 54964.03, 41676.12625
4, 57099.74, 45217.815099999985
5, 57099.74, 47581.2771
6, 57099.74, 49149.5893
7, 57107.83, 50346.11059999999
8, 57254.74, 51429.70470000001
9, 58385.82, 52352.84790000001
10, 60090.56, 53410.02349999999
11, 60090.56, 54490.6464
12, 60090.56, 55369.84100000004
13, 60297.43, 56001.30250000002
14, 60297.43, 56668.2525
15, 60297.43, 57150.7759
16, 60297.43, 57706.20219999998
17, 62443.61, 58058.36429999998
18, 62443.61, 58517.84289999995
19, 62443.61, 58835.677599999966
20, 62443.61, 59129.26879999998
21, 62443.61, 59358.83709999998
22, 62443.61, 59550.53209999996
23, 62443.61, 59725.95839999999
24, 62443.61, 59899.79009999998
25, 62443.61, 60054.24019999999
26, 62443.61, 60147.94819999999
27, 62443.61, 60217.13009999999
28, 62443.61, 60298.55670000001
