generation, best_individual, average_fitness
1, 89290.33, 28755.076299999993
2, 99099.02, 59047.173049999976
3, 113512.05, 82959.60499999997
4, 115625.7, 90497.63579999993
5, 115625.7, 95799.14999999998
6, 117739.78, 100323.93809999997
7, 117739.78, 104082.17699999997
8, 118073.21, 107774.67430000001
9, 118073.21, 109914.80230000001
10, 119669.87, 111645.51859999998
11, 119669.87, 113414.36389999995
12, 119819.23, 115021.47759999998
13, 121388.07, 116473.84989999999
14, 121388.07, 117596.6717
15, 121388.07, 118327.06959999997
16, 122385.82, 119109.82119999998
17, 123745.13, 119839.0845
18, 123745.13, 120423.24339999999
19, 124222.18, 120836.53620000003
20, 124222.18, 121175.11980000003
21, 124222.18, 121468.89299999998
22, 124222.18, 121764.58620000003
23, 124222.18, 122052.19050000001
24, 124222.18, 122211.34710000001
25, 124354.94, 122482.25929999999
26, 125786.91, 122778.48810000002
27, 125786.91, 123050.17979999998
28, 125786.91, 123211.05500000002
29, 125786.91, 123309.95800000003
30, 125786.91, 123507.42190000002
31, 125786.91, 123650.1553
32, 125786.91, 123760.75099999999
33, 125786.91, 123922.15399999992
34, 127078.95, 124129.18089999992
35, 127078.95, 124216.28389999991
36, 127078.95, 124267.77019999993
37, 127078.95, 124456.13369999993
38, 127078.95, 124591.81639999997
39, 127078.95, 124700.16380000001
40, 127078.95, 124891.17950000001
41, 127417.38, 125045.32329999999
42, 127417.38, 125172.96830000001
43, 127417.38, 125308.21400000004
44, 127417.38, 125380.16549999999
45, 127447.57, 125548.30840000004
46, 127447.57, 125701.58069999995
47, 127447.57, 125844.23759999998
48, 127447.57, 125952.1341
49, 127447.57, 126105.97630000002
50, 127447.57, 126172.04370000002
51, 127447.57, 126258.33570000004
52, 127447.57, 126280.07750000004
53, 128163.55, 126353.26480000002
54, 128368.24, 126469.10530000002
55, 128368.24, 126539.12600000003
56, 128368.24, 126699.82419999997
57, 128429.14, 126819.85119999998
58, 128429.14, 126948.7025
59, 128429.14, 127005.2007
60, 128847.02, 127088.5768
61, 128847.02, 127145.8266
62, 128847.02, 127189.3092
63, 128847.02, 127239.47010000002
64, 128847.02, 127282.28690000004
65, 128847.02, 127327.33150000004
66, 128847.02, 127364.17
67, 128847.02, 127428.11350000002
68, 128847.02, 127469.78080000001
69, 128847.02, 127494.1478
70, 128847.02, 127554.22730000004
71, 128847.02, 127600.33370000006
72, 128847.02, 127645.42330000004
73, 128847.02, 127670.70900000002
74, 128847.02, 127699.25550000001
75, 128847.02, 127735.37210000001
76, 128847.02, 127777.96020000002
77, 128847.02, 127824.48199999999
78, 128847.02, 127895.286
79, 129033.77, 127931.06909999998
80, 129033.77, 127962.99659999997
81, 129498.79, 127992.91649999996
82, 129498.79, 128028.15549999995
83, 129498.79, 128041.01289999996
84, 129498.79, 128090.13019999996
85, 129498.79, 128108.38299999996
86, 129498.79, 128141.36939999994
87, 129498.79, 128185.97339999994
88, 129498.79, 128200.24339999992
89, 129498.79, 128232.04619999994
90, 129498.79, 128255.44039999992
91, 129498.79, 128278.81259999995
92, 129498.79, 128293.11729999993
93, 129498.79, 128308.50669999994
94, 129498.79, 128327.53249999994
95, 129498.79, 128356.39879999997
96, 129498.79, 128371.41009999998
97, 129498.79, 128379.01039999997
98, 129498.79, 128415.39139999996
99, 129498.79, 128427.42549999997
100, 129498.79, 128443.12729999996
101, 129498.79, 128457.10979999999
102, 129498.79, 128474.68969999997
103, 129498.79, 128484.24959999997
104, 129498.79, 128489.3773
105, 129498.79, 128500.28210000001
106, 129498.79, 128510.7867
1, 95572.03, 29940.481349999995
2, 106915.7, 65896.7637
3, 106915.7, 83175.05059999999
4, 106915.7, 90999.69160000002
5, 106915.7, 95951.41960000002
6, 106915.7, 99178.0703
7, 113453.52, 100991.6432
8, 114859.11, 103338.9789
9, 115465.13, 104996.18469999998
10, 116364.77, 107044.75899999999
11, 118879.26, 108884.60809999998
12, 118879.26, 110390.38250000004
13, 118879.26, 111827.3052
14, 120430.25, 113078.14509999998
15, 120430.25, 114149.14829999994
16, 120430.25, 115247.13899999997
17, 120430.25, 115971.19069999998
18, 120430.25, 116525.67540000002
19, 120430.25, 117392.25910000002
20, 121197.5, 117868.77669999999
21, 122513.69, 118329.97709999997
22, 123365.24, 118805.3824
23, 123365.24, 119301.68110000002
24, 123365.24, 119863.14770000003
25, 123365.24, 120472.77890000006
26, 123779.38, 121033.98160000001
27, 124654.91, 121422.2576
28, 124855.87, 121857.7991
29, 124855.87, 122277.17210000004
30, 125571.95, 122699.54210000005
31, 125571.95, 123029.9238
32, 125571.95, 123370.64070000002
33, 125571.95, 123522.91509999998
34, 125571.95, 123768.12429999992
35, 126021.03, 124124.63609999997
36, 126557.11, 124470.02589999996
37, 126557.11, 124603.35229999998
38, 126557.11, 124737.66999999997
39, 126725.57, 124880.10090000005
40, 127009.76, 125062.44060000006
41, 127009.76, 125213.02150000002
42, 127009.76, 125405.24390000003
43, 127009.76, 125562.65660000005
44, 127009.76, 125664.34860000001
45, 127554.21, 125833.705
46, 127554.21, 125974.92269999998
47, 127554.21, 126080.49839999998
48, 127554.21, 126218.6973
49, 127554.21, 126317.08509999998
50, 127554.21, 126429.47319999996
51, 127795.51, 126508.08659999995
52, 127795.51, 126577.75320000002
53, 127795.51, 126628.59620000001
54, 127795.51, 126681.6787
55, 127795.51, 126749.0699
56, 127795.51, 126791.1367
57, 127795.51, 126836.77320000003
58, 127795.51, 126861.11200000002
59, 127795.51, 126890.27680000004
60, 127795.51, 126914.33810000004
61, 127795.51, 126958.62890000003
62, 127795.51, 126990.61740000005
63, 127859.72, 127012.58960000005
1, 92917.66, 27448.382999999994
2, 114768.67, 61410.54885000001
3, 114768.67, 79450.41580000002
4, 114768.67, 86975.36439999999
5, 114768.67, 94634.5002
6, 116531.62, 98396.7717
7, 116531.62, 101710.9877
8, 116531.62, 104212.79609999998
9, 117827.95, 107492.24829999995
10, 117827.95, 110242.39769999997
11, 118240.18, 112372.45430000001
12, 118240.18, 113916.57899999998
13, 119299.89, 115110.63809999998
14, 120456.6, 116090.42459999997
15, 120456.6, 116972.32109999996
16, 120847.31, 117680.70530000002
17, 122286.81, 118233.05060000002
18, 122714.42, 118750.91050000006
19, 123638.6, 119258.57350000001
20, 123638.6, 119784.34530000003
21, 123779.86, 120548.68959999997
22, 123779.86, 120804.21649999998
23, 124841.03, 121329.37839999999
24, 124841.03, 121842.78919999996
25, 125665.54, 122239.12619999996
26, 126351.67, 122662.44299999997
27, 126351.67, 123078.54959999994
28, 126351.67, 123389.9098999999
29, 126351.67, 123567.4973999999
30, 126915.38, 123806.44519999997
31, 127065.89, 124146.99220000001
32, 127065.89, 124352.25699999995
33, 127065.89, 124582.16380000001
34, 127065.89, 124837.66539999997
35, 127065.89, 125058.6433
36, 127245.92, 125219.52669999999
37, 127326.46, 125492.10920000004
38, 127326.46, 125686.27040000001
39, 127326.46, 125797.4687
40, 128605.82, 126037.86680000008
41, 128605.82, 126144.8317000001
42, 128605.82, 126257.16480000009
43, 128605.82, 126340.00370000006
44, 128605.82, 126450.60390000006
45, 128605.82, 126526.60290000009
46, 128605.82, 126603.58210000004
47, 128605.82, 126664.97410000004
48, 128605.82, 126713.71420000003
49, 128605.82, 126754.01860000005
50, 128605.82, 126811.55690000003
51, 128605.82, 126867.82980000002
52, 128605.82, 126903.89490000004
53, 128605.82, 126958.44420000004
54, 128605.82, 126981.00790000003
55, 128605.82, 127022.6333
56, 128941.93, 127073.52350000001
57, 128941.93, 127114.70610000001
58, 128941.93, 127155.06579999997
59, 128941.93, 127172.1284
60, 128941.93, 127196.11340000002
61, 128941.93, 127236.18089999999
62, 128941.93, 127252.754
63, 128941.93, 127295.55450000001
64, 128941.93, 127316.78590000003
65, 128941.93, 127322.33160000002
66, 128941.93, 127346.51460000002
67, 128941.93, 127410.06419999998
68, 128941.93, 127428.16239999997
69, 128941.93, 127481.21089999998
70, 128941.93, 127524.99449999997
71, 128941.93, 127551.61949999996
72, 128941.93, 127565.94789999996
73, 128941.93, 127591.87539999993
74, 128941.93, 127623.60739999992
75, 128941.93, 127654.3201999999
76, 128941.93, 127682.57629999991
77, 128941.93, 127706.20259999992
78, 128941.93, 127719.54199999994
79, 128941.93, 127741.06879999994
80, 128941.93, 127787.35759999994
81, 128941.93, 127826.00249999994
82, 128941.93, 127867.74209999997
83, 128941.93, 127882.47119999996
84, 128941.93, 127902.44689999998
85, 128941.93, 127924.39929999998
86, 128941.93, 127942.08789999998
87, 128941.93, 127968.7497
88, 128941.93, 127978.5618
89, 128941.93, 127986.30229999998
90, 128941.93, 127991.60779999997
91, 128941.93, 128023.29629999999
92, 128941.93, 128036.4294
1, 103363.69, 29361.71025
1, 95005.23, 28624.409599999995
2, 104692.41, 52975.2367
3, 105130.62, 75293.0684
4, 107952.67, 89901.71699999999
5, 117150.8, 94853.5748
6, 117150.8, 99191.35029999999
7, 117150.8, 102038.80499999996
8, 117150.8, 105196.55729999994
9, 117150.8, 107066.10800000001
10, 117150.8, 108892.1551
11, 119121.91, 110477.32399999996
12, 121138.61, 112120.24809999998
13, 121138.61, 113237.38940000001
14, 121138.61, 114282.22480000004
15, 121138.61, 115247.89170000005
16, 122184.77, 116077.25980000003
17, 122184.77, 116797.94300000003
18, 122184.77, 117636.7191
19, 122705.73, 118504.53530000003
20, 123442.44, 118975.66130000002
21, 123442.44, 119425.31729999998
22, 123442.44, 120228.98479999995
23, 123442.44, 120718.66560000001
24, 124583.38, 121193.07450000003
25, 124583.38, 121575.41490000003
26, 125729.05, 121905.65230000006
27, 125729.05, 122310.78480000002
28, 125729.05, 122603.61390000004
29, 126689.52, 123133.29889999994
30, 126689.52, 123299.9651999999
31, 126689.52, 123593.23109999992
32, 126689.52, 123863.8037
33, 126689.52, 124152.45720000008
34, 126700.66, 124395.50260000002
35, 127074.98, 124606.87590000001
36, 127074.98, 124735.7392
37, 127074.98, 124931.95130000002
