generation, best_individual, average_fitness
1, 108825.79, 31979.303900000006
2, 110095.06, 66838.46590000002
3, 110703.06, 86511.50540000002
4, 111994.26, 94501.4755
5, 111994.26, 99381.82630000002
6, 118698.01, 102828.17840000002
7, 119039.38, 106778.11859999999
8, 120319.4, 108842.53619999996
9, 121768.68, 110536.12449999992
10, 121768.68, 112244.62739999997
11, 122517.91, 114160.08549999999
12, 123196.88, 115597.94520000002
13, 124186.21, 117161.65930000003
14, 124186.21, 118041.04370000001
15, 124186.21, 118991.01920000004
16, 124186.21, 119983.28560000005
17, 124186.21, 120737.32640000002
18, 124186.21, 121267.98030000001
19, 124593.43, 121675.90850000005
20, 124593.43, 121983.76240000004
21, 125286.61, 122283.24760000006
22, 125286.61, 122576.59830000006
23, 125424.77, 122839.26260000003
24, 125975.38, 123041.61250000003
25, 125975.38, 123331.04649999998
26, 125975.38, 123564.66579999999
27, 125975.38, 123930.76889999997
28, 126494.93, 124170.00489999999
29, 126494.93, 124393.32489999993
30, 126494.93, 124638.4483999999
31, 126803.22, 124871.54570000002
32, 126803.22, 125055.72430000002
33, 126803.22, 125213.28290000003
34, 126803.22, 125367.29480000005
35, 126962.39, 125520.22220000006
36, 126962.39, 125609.31080000004
37, 126962.39, 125734.52850000001
38, 126962.39, 125792.66189999999
39, 126962.39, 125848.74389999997
40, 126962.39, 125975.79620000003
41, 127083.59, 126100.69209999997
42, 127217.67, 126184.82789999999
43, 127217.67, 126260.91700000002
44, 127217.67, 126318.1537
45, 127217.67, 126391.67620000003
46, 127422.43, 126475.2207
47, 127422.43, 126566.9993
48, 127422.43, 126627.01310000001
49, 127422.43, 126674.03069999999
50, 127422.43, 126736.38340000002
51, 127422.43, 126785.37850000004
52, 127422.43, 126815.90240000004
1, 106934.29, 28974.44035
2, 109145.04, 60175.58764999999
3, 109480.34, 82267.2058
4, 109480.34, 91819.2224
5, 110466.82, 96986.6281
6, 111348.23, 100482.75030000001
7, 112410.44, 103003.8921
8, 113169.98, 105783.9829
9, 115599.77, 107974.56769999996
10, 116226.76, 109521.31639999994
11, 118978.01, 110835.01449999996
12, 118978.01, 112042.05799999999
13, 118978.01, 112973.96559999997
14, 118978.01, 113794.60859999993
15, 118978.01, 114411.50089999993
16, 118978.01, 115016.51339999992
17, 122426.15, 115686.34809999994
18, 122426.15, 116370.71569999993
19, 122426.15, 116982.45349999995
20, 122426.15, 117895.78700000001
21, 122426.15, 118590.21049999999
22, 123237.25, 119334.69090000002
23, 124207.7, 119909.78489999998
24, 124207.7, 120427.92919999996
25, 124905.85, 120932.27419999994
26, 124905.85, 121297.85529999995
27, 124905.85, 121635.3867
28, 124905.85, 122047.13940000003
29, 125304.15, 122379.46010000004
30, 125304.15, 122715.87230000006
31, 125304.15, 122949.33490000005
32, 125304.15, 123190.16110000006
33, 125304.15, 123395.07440000006
34, 125304.15, 123662.93200000002
35, 125304.15, 123819.16989999998
36, 126006.07, 123996.67119999997
37, 126424.71, 124240.26929999999
38, 126424.71, 124459.02649999995
39, 126424.71, 124650.27100000001
40, 126755.08, 124853.35659999998
41, 126755.08, 124987.16299999997
42, 126755.08, 125071.52909999999
43, 126878.56, 125216.9586
44, 126878.56, 125314.4681
45, 126878.56, 125451.7346
46, 126878.56, 125595.68140000004
47, 126878.56, 125683.67530000003
48, 126878.56, 125763.0349
49, 126970.09, 125831.57550000002
50, 126970.09, 125868.22750000002
51, 126970.09, 125990.7316
52, 127416.4, 126060.22390000001
53, 127416.4, 126156.2335
54, 127487.33, 126276.70650000003
55, 127487.33, 126365.07479999997
56, 127487.33, 126415.2429
57, 127487.33, 126444.57070000003
58, 127487.33, 126487.82860000004
59, 127487.33, 126535.81760000005
60, 127487.33, 126572.48380000003
61, 127487.33, 126635.12150000004
62, 127937.09, 126689.91330000006
63, 127937.09, 126731.77980000005
64, 127937.09, 126784.49260000004
65, 127937.09, 126813.08380000005
66, 127937.09, 126837.62610000005
67, 127937.09, 126856.77940000003
68, 127937.09, 126915.1469
69, 127937.09, 126925.64340000002
70, 127937.09, 126938.76960000001
71, 128146.83, 126994.45920000001
72, 128192.87, 127034.88690000001
73, 128192.87, 127082.4227
74, 128192.87, 127096.30559999999
75, 128192.87, 127117.96799999996
76, 128192.87, 127140.46209999998
77, 128192.87, 127157.95069999999
78, 128192.87, 127183.9783
79, 128192.87, 127224.32539999999
80, 128192.87, 127249.94669999999
81, 128192.87, 127264.09859999997
82, 128192.87, 127281.7321
83, 128192.87, 127296.88449999999
1, 86193.66, 28614.69865
2, 116104.34, 60336.42375
3, 116104.34, 80947.0273
4, 117466.5, 93518.06740000001
5, 117466.5, 98416.48250000001
6, 117466.5, 102929.99630000001
7, 117944.59, 106409.28820000004
8, 119144.13, 109901.65960000007
9, 121455.82, 112068.85090000003
10, 121455.82, 114117.32289999998
11, 121844.44, 115693.67409999999
12, 121844.44, 116687.70180000001
13, 121844.44, 117542.8714
14, 122996.62, 118641.23210000001
15, 123991.68, 119512.05989999993
16, 124125.48, 120217.52249999996
17, 124125.48, 120979.62649999998
18, 124500.87, 121610.47639999999
19, 124500.87, 122089.28319999996
20, 125300.1, 122604.92189999996
21, 125300.1, 123027.56699999995
22, 125300.1, 123327.46679999997
