generation, best_individual, average_fitness
1, 102435.14, 32544.88685000001
2, 106556.05, 61505.805
3, 109689.06, 85711.76150000001
4, 109689.06, 91077.65780000003
5, 109911.06, 94735.33520000003
6, 113282.06, 98101.20060000003
7, 113282.06, 102339.86929999999
8, 113282.06, 105047.70410000003
9, 116166.43, 107542.51470000003
10, 117205.19, 109629.39670000001
11, 118198.0, 111035.58059999997
12, 118397.85, 112111.25819999992
13, 119030.83, 113174.69589999996
14, 119030.83, 114397.22710000003
15, 119214.06, 115337.13489999999
16, 120924.29, 116146.01509999996
17, 122499.23, 116854.34140000002
18, 122499.23, 117531.29379999996
19, 122499.23, 118425.53139999996
20, 122499.23, 119064.4144
21, 124199.11, 119548.34210000002
22, 124199.11, 119886.76120000001
23, 124344.15, 120419.0714
24, 124344.15, 120833.5684
25, 124344.15, 121063.50020000001
26, 124730.88, 121485.10210000005
27, 124730.88, 121785.94690000005
28, 126496.15, 122145.56930000009
29, 126496.15, 122497.40170000006
30, 126733.39, 123001.66120000005
31, 126733.39, 123480.38130000005
32, 126868.83, 123976.83490000005
33, 126868.83, 124538.99459999999
34, 126868.83, 125019.5383
35, 126868.83, 125498.35230000004
36, 126899.34, 125716.9446
37, 127419.41, 125907.96899999998
38, 127419.41, 126078.5327
39, 127419.41, 126223.47140000001
40, 127419.41, 126323.66709999999
41, 127419.41, 126412.37950000005
42, 127419.41, 126479.1204000001
43, 127419.41, 126540.17940000007
44, 127419.41, 126596.13730000007
45, 127419.41, 126612.19900000007
46, 127419.41, 126648.26820000003
47, 127419.41, 126680.56860000003
48, 127419.41, 126691.14930000003
1, 94894.74, 32611.463099999997
2, 105239.32, 60383.2595
3, 105239.32, 76538.8108
4, 114262.14, 86984.61760000001
5, 114262.14, 94288.69620000005
6, 114262.14, 98437.49099999998
7, 114262.14, 102038.1376
8, 114262.14, 103788.2879
9, 115091.45, 105604.19860000009
10, 115091.45, 107198.52370000003
11, 117447.77, 109257.62129999998
12, 117447.77, 110773.49659999998
13, 118513.52, 112075.20809999995
14, 121536.05, 113461.3243
15, 124907.77, 114484.06060000001
16, 125319.04, 115317.19099999998
17, 125319.04, 115950.04699999998
18, 125319.04, 116652.0668
19, 125319.04, 117468.60240000002
20, 125319.04, 118280.13979999999
21, 125364.64, 119019.39789999997
22, 125364.64, 119924.86030000001
23, 126471.01, 120979.34249999997
24, 126471.01, 121998.37819999995
25, 127022.36, 122780.72359999994
26, 127022.36, 123582.77399999996
27, 127022.36, 124479.46690000003
28, 127022.36, 124951.20680000001
29, 127173.65, 125305.46340000002
30, 127180.58, 125676.77140000001
31, 127180.58, 125883.94490000005
32, 127180.58, 125981.70940000005
33, 127180.58, 126210.20200000003
34, 127180.58, 126280.93510000003
35, 127180.58, 126386.44100000004
36, 127180.58, 126477.78930000003
37, 127180.58, 126548.54610000007
38, 127180.58, 126606.49900000008
39, 127359.08, 126675.58990000006
40, 127359.08, 126720.38610000006
41, 127407.05, 126766.33740000002
1, 95089.27, 29985.910549999993
2, 105075.62, 62745.35255000001
3, 115369.97, 85333.28289999999
4, 116479.53, 95589.40789999999
5, 116479.53, 102314.1813
6, 117377.27, 106582.72799999999
7, 119622.25, 109196.17689999999
8, 119622.25, 111708.97780000004
9, 119622.25, 113161.77940000006
10, 119622.25, 114126.50120000007
11, 123076.32, 115363.9519
12, 123076.32, 116166.63719999998
13, 123076.32, 117170.85060000002
14, 123076.32, 117937.87359999999
15, 123076.32, 118556.74359999996
16, 123076.32, 119225.03219999997
17, 123157.16, 119752.56039999996
18, 123157.32, 120368.5395
19, 123157.32, 120799.16150000002
20, 123755.24, 121212.94020000006
21, 124315.26, 121546.05730000003
22, 124498.67, 121874.63330000002
23, 124498.67, 122086.00029999997
24, 124498.67, 122342.3675
25, 124614.5, 122612.03940000005
26, 124614.5, 122794.69570000003
27, 124804.23, 122990.49870000003
28, 124804.23, 123192.64419999998
29, 124804.23, 123354.10190000001
30, 125102.46, 123488.51830000004
31, 125102.46, 123668.80430000003
32, 125350.73, 123816.44060000005
33, 125350.73, 123919.58840000007
34, 125553.46, 124077.14870000005
35, 125553.46, 124171.76989999998
36, 126233.15, 124357.57909999996
37, 126233.15, 124503.7274
38, 126533.55, 124683.76250000004
39, 126533.55, 124866.74540000003
40, 126533.55, 125016.41910000007
41, 126533.55, 125150.08780000005
42, 126533.55, 125290.17210000003
43, 126533.55, 125369.19710000005
44, 126533.55, 125448.06800000003
45, 127170.51, 125540.1789
46, 127170.51, 125630.75079999997
47, 127382.85, 125745.3492
48, 127382.85, 125853.04640000002
49, 127382.85, 125907.60910000002
50, 127382.85, 126033.92349999998
51, 127382.85, 126138.78759999997
52, 127382.85, 126195.49899999995
53, 127382.85, 126241.79369999994
54, 127382.85, 126294.66789999996
55, 127382.85, 126332.32429999996
56, 127382.85, 126395.15119999995
57, 127382.85, 126431.58939999994
58, 127382.85, 126480.85689999993
59, 127529.6, 126542.21009999994
60, 127529.6, 126593.85219999995
61, 127529.6, 126644.03699999997
62, 127529.6, 126674.01760000002
63, 127529.6, 126689.805
64, 127529.6, 126729.89770000002
65, 127529.6, 126762.98619999998
66, 127529.6, 126803.99200000003
