generation, best_individual, average_fitness
1, 221109.05, 51561.537599999996
2, 221109.05, 129874.51249999997
3, 221632.59, 171924.01729999992
4, 221632.59, 184955.3172
5, 225232.82, 192384.13889999993
6, 225232.82, 198666.486
7, 225232.82, 204112.40370000008
8, 226020.99, 207732.1265
9, 226647.93, 210630.1316
10, 226647.93, 213099.71959999998
11, 234556.55, 215674.01749999996
12, 235261.49, 218355.79239999992
13, 235261.49, 220962.6904999999
14, 235508.89, 223416.05259999994
15, 235508.89, 225773.87540000008
16, 235508.89, 227233.62960000004
17, 235508.89, 228899.52560000014
18, 235508.89, 230534.60880000007
19, 235508.89, 231903.70979999995
20, 236762.61, 233042.6856
21, 236762.61, 233785.42669999995
22, 236762.61, 234408.3563999999
23, 237178.76, 234866.60769999985
24, 238234.31, 235314.32100000003
25, 238234.31, 235660.99949999995
26, 239285.95, 235995.8551
27, 239285.95, 236258.76069999987
28, 239285.95, 236467.53799999988
29, 239285.95, 236679.97629999992
30, 239285.95, 236904.1782
31, 239285.95, 237067.57360000003
32, 239285.95, 237343.80870000002
33, 239681.56, 237549.64389999994
34, 239742.0, 237729.79830000005
35, 239742.0, 237815.8202
36, 239749.8, 237949.72270000004
37, 239749.8, 238140.35880000002
38, 239749.8, 238239.69879999998
39, 239919.29, 238377.84670000005
40, 240365.61, 238519.61950000006
41, 240365.61, 238683.8107
42, 240365.61, 238798.13099999994
43, 241422.65, 238895.62909999993
44, 241422.65, 238967.36029999994
45, 241422.65, 239012.71659999984
46, 241422.65, 239087.56089999984
47, 241422.65, 239118.44759999987
48, 241422.65, 239204.87519999992
49, 241422.65, 239296.07199999993
50, 241422.65, 239370.3173999999
51, 241422.65, 239389.9484999999
1, 218421.9, 44629.04990000001
2, 219517.01, 132091.33160000006
3, 222407.66, 171663.8668
4, 222407.66, 185297.05190000005
5, 222407.66, 195699.6131
6, 222407.66, 203569.9165
7, 223400.36, 208158.37119999994
8, 223615.41, 212440.11109999992
9, 229661.06, 216687.5475999999
10, 229661.06, 218498.51929999993
11, 229661.06, 220181.96689999994
12, 231208.14, 221738.44049999997
13, 232393.33, 223529.64889999994
14, 232393.33, 224950.58319999994
15, 232393.33, 226424.3754
16, 232393.33, 227803.66409999994
17, 232393.33, 228915.77330000006
18, 232819.03, 229968.207
19, 233241.25, 230912.47550000006
20, 233241.25, 231539.12079999995
21, 235377.37, 232004.94720000002
22, 235377.37, 232404.89269999997
23, 235377.37, 232755.6856
24, 235911.42, 233043.2728
25, 235911.42, 233273.53359999997
26, 235911.42, 233634.8171999999
27, 235911.42, 233956.1297
28, 236125.79, 234201.00639999995
29, 236125.79, 234393.1669
30, 236125.79, 234598.39990000005
31, 236370.64, 234781.96420000002
32, 237201.01, 234935.9001000001
33, 237201.01, 235104.1801000001
34, 237355.87, 235266.17660000004
35, 237408.22, 235443.47499999998
36, 237473.92, 235616.08470000006
37, 237917.43, 235735.9191
38, 237917.43, 235843.3219
39, 237917.43, 235928.34280000004
40, 237917.43, 236042.0571000001
41, 237917.43, 236135.95200000002
42, 237917.43, 236244.2169
43, 238611.8, 236422.96470000013
44, 238611.8, 236557.34060000005
45, 238611.8, 236722.7276
46, 238611.8, 236816.6041
47, 238708.37, 236930.7608000001
48, 238708.37, 237090.86960000003
49, 238708.37, 237173.69620000003
50, 238889.03, 237426.09420000005
1, 217518.99, 51617.570300000014
2, 218456.34, 126217.26629999999
3, 224420.17, 171622.1846
4, 224420.17, 186840.7058
5, 224420.17, 193436.10989999998
6, 224420.17, 199829.40439999994
7, 224420.17, 204272.1361
8, 224909.39, 208974.71049999996
9, 226350.36, 212594.47830000002
10, 226350.36, 215024.8703
11, 227521.08, 217771.72699999993
12, 229610.05, 219817.04969999992
13, 229610.05, 221516.2199999999
14, 231110.37, 223180.61399999994
15, 233063.88, 225051.45439999987
16, 234197.04, 226593.07169999997
17, 234197.04, 227751.28740000006
18, 234197.04, 228724.3803999999
19, 234197.04, 229557.70550000007
20, 234676.15, 230359.96300000005
21, 235630.96, 231324.0926000001
22, 237954.3, 231903.7599000001
23, 237954.3, 232581.94050000006
24, 237954.3, 233252.69669999994
25, 237954.3, 233931.48139999993
26, 238426.17, 234435.2645999999
27, 238426.17, 235019.62829999995
28, 238426.17, 235460.76319999996
29, 238426.17, 235874.2333
30, 238426.17, 236180.88360000003
31, 238589.89, 236409.39049999998
32, 239623.98, 236699.63850000006
33, 239623.98, 236918.4531
34, 239623.98, 237186.80400000006
35, 239623.98, 237397.18780000007
36, 240020.6, 237607.76870000004
37, 240020.6, 237737.6802
38, 240020.6, 237882.81829999996
39, 240020.6, 237944.80649999986
40, 240020.6, 238065.7303999999
41, 240020.6, 238161.14689999996
42, 240020.6, 238271.12119999997
43, 240538.39, 238436.80619999988
44, 240538.39, 238569.33399999992
45, 240538.39, 238662.52539999995
46, 240538.39, 238783.51419999995
47, 241132.62, 238965.7749
48, 241132.62, 239097.40370000002
49, 241132.62, 239154.93340000004
50, 241132.62, 239173.88560000004
51, 241132.62, 239271.33450000006
52, 241132.62, 239342.66430000006
53, 241132.62, 239429.8067
54, 241132.62, 239471.24819999997
55, 241132.62, 239515.79019999996
