generation, best_individual, average_fitness
1, 103840.32, 71579.17984999999
2, 110316.4, 88393.09770000001
3, 110316.4, 94394.49120000003
4, 110611.19, 98801.34109999999
5, 113494.99, 102250.13629999997
6, 114748.06, 104749.6626
7, 115745.1, 107023.88200000001
8, 115745.1, 108457.3636
9, 117193.06, 110137.55020000003
10, 117597.42, 111677.50760000001
11, 118691.18, 113087.10940000002
12, 118691.18, 113968.16230000003
13, 119145.64, 114876.6064
14, 120850.89, 115733.49570000004
15, 120850.89, 116634.15280000005
16, 123190.53, 117459.15370000001
17, 123190.53, 118374.00170000002
18, 123190.53, 118815.3266
19, 123190.53, 119334.71500000003
20, 123190.53, 119895.54430000001
21, 123279.49, 120504.48490000002
22, 123279.49, 120944.85720000003
23, 124396.18, 121418.3121
24, 124396.18, 121769.9012
25, 124635.48, 122052.06229999999
26, 124635.48, 122377.79789999995
27, 124635.48, 122663.42939999994
28, 125483.55, 122964.40749999999
29, 125562.79, 123313.16879999998
30, 126195.1, 123664.48719999999
31, 127932.31, 124058.02639999994
32, 127932.31, 124381.36829999999
33, 127932.31, 124693.80419999998
34, 127932.31, 124933.40309999998
35, 127932.31, 125149.08179999999
36, 127932.31, 125360.71279999998
37, 127932.31, 125556.95770000001
38, 127932.31, 125694.65600000002
39, 127932.31, 125861.8219
40, 127932.31, 126008.79940000003
41, 127932.31, 126195.87170000002
42, 127932.31, 126329.18299999999
43, 127932.31, 126411.78069999996
44, 128004.68, 126581.79210000002
45, 128131.14, 126710.53870000003
46, 128131.14, 126795.7376
47, 128131.14, 126884.66519999997
48, 128131.14, 126927.06859999997
49, 128131.14, 126985.75929999998
50, 128131.14, 127020.60679999998
51, 128131.14, 127080.48389999995
52, 128403.54, 127169.72179999996
53, 128403.54, 127232.49989999995
54, 128403.54, 127312.62989999994
55, 128403.54, 127377.00279999996
56, 128403.54, 127414.25809999996
57, 128403.54, 127444.08039999999
58, 128403.54, 127462.3455
59, 128403.54, 127489.16639999997
60, 128415.11, 127513.62019999996
61, 128415.11, 127556.67679999997
62, 128415.11, 127569.28579999998
63, 128415.11, 127578.79469999998
64, 128415.11, 127595.55389999998
1, 114103.81, 74674.8446
2, 115563.82, 90125.8744
3, 115563.82, 96522.9482
4, 115563.82, 100350.3661000001
5, 115563.82, 103976.51150000004
6, 115563.82, 106357.62400000001
7, 115658.47, 108790.85650000001
8, 116323.13, 110576.73999999998
9, 117259.13, 112202.7067
10, 118233.52, 113802.37620000004
11, 123011.79, 115130.3846
12, 123011.79, 116074.6416
13, 123011.79, 116920.48889999997
14, 124448.17, 117805.14699999994
15, 124448.17, 118630.67699999995
16, 124448.17, 119254.33029999996
17, 124898.92, 119890.15199999994
18, 126345.66, 120488.57799999996
19, 126345.66, 121093.67179999994
20, 126345.66, 121577.96699999996
21, 126345.66, 122039.82959999997
22, 126345.66, 122707.83010000004
23, 126345.66, 123175.8576
24, 126345.66, 123557.24600000001
25, 126450.09, 124127.12840000002
26, 126872.78, 124685.23619999997
27, 127370.79, 125116.10319999997
28, 127370.79, 125452.793
29, 127370.79, 125654.75029999997
30, 127370.79, 125895.77409999998
31, 127370.79, 126108.1943
32, 127370.79, 126283.07339999998
33, 127370.79, 126337.18929999998
34, 127480.52, 126457.66269999997
35, 127480.52, 126547.7126
36, 127480.52, 126610.43169999999
37, 127480.52, 126668.00529999993
38, 127480.52, 126708.82769999998
39, 127480.52, 126750.29319999999
40, 127480.52, 126764.57219999997
41, 127480.52, 126795.73159999998
1, 92432.06, 35668.58624999999
2, 118691.87, 71368.6998
3, 118691.87, 87257.8679
4, 119954.58, 94081.27989999998
5, 119954.58, 99779.15409999997
6, 119954.58, 104354.00379999999
7, 120059.48, 106820.57639999999
8, 120059.48, 109270.47119999999
9, 120059.48, 111067.67950000003
10, 120384.75, 112799.09670000002
11, 123111.61, 114746.89050000001
12, 123111.61, 116352.78519999995
13, 123111.61, 117513.66210000002
14, 124275.42, 118704.81700000002
15, 124547.95, 119219.04360000003
16, 124547.95, 119873.2355
17, 124547.95, 120189.63159999998
18, 124547.95, 120647.23059999997
19, 125583.21, 121074.69169999997
20, 125583.21, 121582.35789999996
21, 125583.21, 121886.63789999996
22, 125583.21, 122419.89899999993
23, 125583.21, 122863.41800000002
24, 126081.17, 123261.41869999998
25, 126081.17, 123535.28229999999
26, 126081.17, 123724.57379999998
27, 126081.17, 123894.09560000003
28, 126081.17, 124100.64530000002
29, 126081.17, 124285.444
30, 126081.17, 124435.5675
31, 126624.57, 124650.06539999998
32, 126624.57, 124850.33920000002
33, 126624.57, 124949.14900000003
34, 126624.57, 125069.2673
35, 126624.57, 125204.2928
36, 126624.57, 125311.1477
37, 126780.35, 125458.32699999998
38, 126780.35, 125541.54449999999
39, 126780.35, 125698.4339
40, 126780.35, 125732.0341
41, 126780.35, 125812.95239999998
42, 126780.35, 125883.37959999999
43, 126780.35, 125936.32399999998
44, 126780.35, 125999.1976
45, 126780.35, 126043.87470000003
46, 127016.82, 126126.31899999999
47, 127052.82, 126178.0554
48, 127312.87, 126262.29549999996
49, 127312.87, 126337.2374
50, 127312.87, 126399.63999999996
51, 127377.42, 126445.22579999994
52, 127377.42, 126522.51309999992
53, 127377.42, 126546.27379999995
1, 84082.46, 29707.112950000002
2, 112441.7, 62165.122200000005
3, 116181.55, 81524.9791
4, 116181.55, 90441.04890000001
5, 116181.55, 96592.49329999999
6, 116259.11, 101887.71680000004
7, 116259.11, 105051.13070000001
8, 116259.11, 107543.30480000004
9, 116259.11, 108977.18980000002
10, 117093.37, 110755.338
11, 117980.55, 112435.45889999997
12, 117980.55, 113537.84589999999
13, 119801.11, 114868.30329999997
14, 119913.15, 115568.23109999998
15, 119913.15, 116052.3959
16, 121477.31, 116796.26550000004
17, 124740.98, 117286.85630000004
18, 124740.98, 117641.70690000005
19, 124740.98, 118003.44850000007
20, 124740.98, 118452.59820000001
21, 124740.98, 119019.88680000007
22, 124740.98, 119586.82180000005
23, 124740.98, 119984.90560000006
24, 124740.98, 120389.14790000003
25, 124740.98, 120797.68780000001
26, 124740.98, 121170.0592
27, 124740.98, 121568.6949
28, 124842.46, 122006.82660000006
29, 124842.46, 122412.24840000001
30, 124842.46, 122784.1283
31, 124842.46, 123064.76710000004
32, 125500.54, 123316.289
33, 125500.54, 123494.52759999996
34, 126352.02, 123753.9055
35, 126451.74, 123932.55330000001
36, 126468.04, 124224.2358
37, 126470.2, 124421.23869999993
38, 127823.26, 124589.02669999993
39, 127823.26, 124815.52699999996
40, 127823.26, 125049.76729999996
41, 127823.26, 125213.46359999996
42, 127823.26, 125310.93769999995
43, 127823.26, 125437.82549999998
44, 127823.26, 125553.88889999996
45, 127823.26, 125748.07149999996
46, 127823.26, 125849.50100000002
47, 127823.26, 125889.24389999999
48, 127823.26, 125951.87989999997
49, 127823.26, 126047.41309999996
50, 127823.26, 126094.86019999998
51, 127823.26, 126211.50689999998
52, 127823.26, 126284.12550000001
53, 127823.26, 126379.57610000003
54, 127823.26, 126476.91490000003
55, 127823.26, 126499.89790000003
56, 127823.26, 126571.3358
57, 127823.26, 126638.34930000002
58, 127963.58, 126710.12180000002
59, 127963.58, 126751.78450000001
60, 127963.58, 126823.8745
61, 127963.58, 126873.96960000003
62, 127963.58, 126919.09440000005
63, 127963.58, 126972.09829999998
64, 127963.58, 126989.87599999999
65, 127963.58, 127009.78429999998
66, 128030.53, 127049.04139999999
67, 128030.53, 127105.96309999996
68, 128030.53, 127151.15359999998
69, 128030.53, 127173.05499999996
70, 128030.53, 127189.33549999997
71, 128030.53, 127228.40869999994
72, 128030.53, 127260.36639999991
73, 128030.53, 127297.02229999991
1, 106812.44, 31891.177450000003
2, 107806.64, 62827.454350000015
3, 112288.33, 88337.42310000004
4, 112288.33, 96821.08129999999
5, 112288.33, 100594.9228
6, 112288.33, 103814.6068
7, 118021.44, 107185.16180000003
8, 118713.25, 108794.97190000002
