generation, best_individual, average_fitness
1, 216190.4, 156814.0903
2, 216190.4, 176705.1278
3, 219946.36, 184977.94639999993
4, 222447.96, 193487.0998
5, 222447.96, 200378.50970000002
6, 223747.59, 205550.4698
7, 223747.59, 208966.58359999998
8, 223747.59, 212000.43269999995
9, 225012.43, 215386.0001999999
10, 225012.43, 217487.00270000004
11, 232523.58, 219616.37339999995
12, 233531.74, 221549.76679999995
13, 233531.74, 223549.32339999985
14, 235558.48, 224957.1097
15, 235558.48, 226406.9723
16, 236068.36, 228037.8429
17, 237245.15, 229260.23020000002
18, 237245.15, 230710.89180000004
19, 237245.15, 231811.48459999997
20, 237245.15, 232995.6662
21, 237245.15, 233784.4941
22, 238056.23, 234573.40089999995
23, 238056.23, 235152.73419999986
24, 238056.23, 235553.67639999994
25, 238056.23, 235925.21220000004
26, 238354.31, 236415.85799999992
27, 238798.3, 236745.18340000004
28, 238798.3, 236993.3241
29, 238868.88, 237321.32799999992
30, 240155.58, 237510.49519999992
31, 240155.58, 237673.1378999999
32, 240155.58, 237859.0802999999
33, 240155.58, 237978.5653999999
34, 240155.58, 238081.53949999998
35, 240155.58, 238173.13470000002
36, 240155.58, 238270.64059999998
37, 240155.58, 238337.45810000002
38, 240482.6, 238431.70000000004
39, 240573.4, 238629.80960000004
40, 240573.4, 238692.70170000006
41, 240573.4, 238797.6749000001
42, 240723.95, 238867.43490000002
43, 240723.95, 238954.01470000006
44, 240723.95, 239016.0257
45, 240738.25, 239101.7506
1, 201435.11, 51492.0043
2, 214056.65, 136956.65579999998
3, 224452.97, 172076.1743999999
4, 224521.17, 187375.02279999995
5, 225026.14, 197412.89379999987
6, 225026.14, 203687.54890000005
7, 225026.14, 207988.61649999997
8, 225026.14, 210457.1291999999
9, 227442.86, 212933.64289999998
10, 227442.86, 216415.6904
11, 227442.86, 218893.08359999998
12, 227442.86, 220634.599
13, 227480.49, 222019.9925
14, 227480.49, 223705.5153000001
15, 229693.48, 224983.96080000006
16, 230886.91, 225721.41939999998
17, 230886.91, 226589.43960000007
18, 232279.88, 227203.55170000007
19, 232886.48, 227937.59230000008
20, 235218.7, 228424.88640000008
21, 235218.7, 229343.8758
22, 235426.12, 230200.80469999992
23, 235426.12, 231070.32399999994
24, 235426.12, 231792.40709999998
25, 235426.12, 232374.3526
26, 237185.83, 233103.31040000007
27, 237185.83, 233602.30510000006
28, 239422.8, 234211.15749999988
29, 239422.8, 234638.5584999999
30, 239422.8, 235058.46909999996
31, 239422.8, 235433.5441
32, 239650.75, 235778.30690000005
33, 240500.28, 236127.37020000012
34, 240500.28, 236479.10960000005
35, 240500.28, 236907.63059999995
36, 240583.97, 237282.84329999998
37, 240583.97, 237573.20100000006
38, 241020.61, 237922.49800000005
39, 241020.61, 238291.48030000002
40, 241020.61, 238641.54430000004
41, 241020.61, 239015.76610000007
42, 241020.61, 239344.88759999993
43, 241341.98, 239572.59229999996
44, 241341.98, 239723.2598
45, 241341.98, 239909.9527
46, 242076.98, 240080.08180000007
47, 242076.98, 240245.2052
48, 242076.98, 240393.04770000008
49, 242076.98, 240489.39000000007
50, 242511.9, 240583.3683000001
51, 242511.9, 240733.82439999998
52, 242511.9, 240825.0607
1, 209603.89, 35775.632000000005
2, 209603.89, 114804.41720000003
3, 218728.34, 155323.5591
4, 220222.95, 174198.27370000005
5, 220222.95, 190146.82979999998
6, 220694.47, 199844.82889999996
7, 220694.47, 207290.12809999997
8, 221382.67, 210246.7205
9, 224829.52, 213148.30680000002
10, 224829.52, 214766.6402
11, 224829.52, 216530.7579
12, 224829.52, 217606.7077
13, 225843.64, 219132.39040000006
14, 229112.74, 220677.4055
15, 229112.74, 221888.2752
16, 229846.99, 223154.9845
17, 229846.99, 224211.38929999984
18, 232007.86, 225509.41239999994
19, 233510.75, 226552.1746
20, 233641.14, 227635.30540000004
21, 234220.45, 228520.5729999999
22, 235932.14, 229398.94499999992
23, 235932.14, 230250.98289999994
24, 235932.14, 230914.5653999999
25, 235932.14, 231557.33969999995
26, 235932.14, 232161.50409999993
27, 235932.14, 232515.9318999999
28, 235932.14, 232969.1105
29, 235932.14, 233457.74910000007
30, 236876.65, 233938.0597000001
31, 236876.65, 234344.6301000001
32, 236876.65, 234613.13280000005
33, 238188.39, 234999.1604
34, 238188.39, 235253.68599999993
35, 238188.39, 235506.1104
36, 238188.39, 235642.92409999992
37, 238296.21, 235866.26099999985
38, 238296.21, 235992.83349999986
39, 238296.21, 236161.63229999994
40, 238296.21, 236335.90219999998
41, 238847.41, 236535.44670000003
42, 238847.41, 236680.5019
43, 238847.41, 236738.17510000005
44, 238847.41, 236865.39210000008
45, 238847.41, 236930.4299000001
46, 238847.41, 237048.56260000006
47, 239542.42, 237138.71620000005
48, 239542.42, 237230.82990000007
49, 239542.42, 237287.1453
50, 239542.42, 237331.1315
