generation, best_individual, average_fitness
1, 54023.44, 30788.290175000006
2, 54023.44, 36088.132850000016
3, 55942.77, 42669.55040000001
4, 55942.77, 46583.344249999995
5, 55942.77, 49204.49499999997
6, 55942.77, 50967.20504999997
7, 58043.16, 52150.41009999996
8, 59717.22, 52913.227049999994
9, 59717.22, 53621.7895
10, 59717.22, 54365.62415
11, 59717.22, 54890.46540000001
12, 59717.22, 55418.0046
13, 59717.22, 55955.94664999999
14, 59717.22, 56464.05604999999
15, 59717.22, 56827.71309999999
16, 60124.33, 57350.159049999995
17, 60124.33, 57856.313650000004
18, 60752.78, 58118.08580000002
19, 60752.78, 58415.69605000004
20, 60752.78, 58691.285650000034
21, 60806.0, 58965.52120000005
22, 60806.0, 59235.31935000005
23, 61130.18, 59384.46620000005
24, 61130.18, 59513.15405000002
25, 61130.18, 59638.93195000001
26, 61513.22, 59750.11840000001
27, 61513.22, 59863.23120000001
28, 61513.22, 59974.51075000003
29, 62036.07, 60086.35945000003
30, 62036.07, 60155.019750000014
31, 62036.07, 60212.4441
32, 62036.07, 60284.07195000001
33, 62036.07, 60380.397250000016
34, 62380.67, 60474.07560000001
35, 62380.67, 60561.74620000002
36, 62380.67, 60638.81460000001
37, 62578.79, 60714.80454999998
38, 62578.79, 60822.3414
39, 62636.27, 60939.69119999998
40, 62636.27, 61029.37064999998
41, 62636.27, 61148.2219
42, 62636.27, 61217.08015000001
43, 62636.27, 61280.25945000002
44, 62636.27, 61337.62265000003
45, 62636.27, 61396.227450000035
46, 62636.27, 61451.29215000001
47, 62636.27, 61529.14800000001
48, 62636.27, 61599.47025000002
49, 62636.27, 61642.77325000001
50, 62636.27, 61688.766049999984
51, 62636.27, 61721.3648
52, 62949.69, 61756.69835000002
53, 62949.69, 61776.87580000001
54, 62949.69, 61809.4907
55, 62949.69, 61847.58035000004
56, 62949.69, 61883.76685000004
57, 62949.69, 61917.171200000055
58, 62949.69, 61954.24160000004
59, 62952.17, 61978.54125000004
60, 62952.17, 61994.48050000003
61, 63332.25, 62018.50935000004
62, 63332.25, 62035.42790000004
63, 63332.25, 62057.237250000035
64, 63332.25, 62082.75440000001
65, 63332.25, 62103.970250000006
66, 63332.25, 62121.30324999999
67, 63332.25, 62154.11664999999
68, 63332.25, 62160.079099999995
69, 63332.25, 62180.21779999999
70, 63332.25, 62198.8474
71, 63381.85, 62225.54135
72, 63381.85, 62237.77349999999
73, 63381.85, 62249.75169999998
74, 63381.85, 62265.62619999999
75, 63381.85, 62274.70934999999
76, 63381.85, 62293.330299999994
77, 63381.85, 62317.7824
78, 63381.85, 62334.49954999999
79, 63381.85, 62347.24050000001
80, 63381.85, 62360.51244999998
81, 63381.85, 62371.009049999986
82, 63381.85, 62376.23534999997
83, 63381.85, 62380.84304999998
84, 63381.85, 62398.31214999998
85, 63381.85, 62411.20119999999
86, 63381.85, 62425.8703
87, 63381.85, 62437.76275
88, 63381.85, 62446.84680000001
89, 63381.85, 62464.408849999985
90, 63574.7, 62490.02644999998
91, 63574.7, 62506.234599999996
92, 63574.7, 62519.33679999999
93, 63574.7, 62525.719399999994
94, 63574.7, 62537.97404999999
95, 63574.7, 62548.91529999999
96, 63574.7, 62562.48594999999
97, 63574.7, 62566.43664999999
98, 63574.7, 62571.97529999999
99, 63574.7, 62575.731
