generation, best_individual, average_fitness
1, 224474.46, 127167.10749999988
2, 227039.45, 166281.3648999999
3, 227039.45, 179675.07919999998
4, 227039.45, 188715.44600000005
5, 227039.45, 197703.5533500001
6, 227573.95, 204056.63375000004
7, 227573.95, 208982.32014999996
8, 227573.95, 213744.09960000005
9, 228325.74, 218250.43815000006
10, 228325.74, 221408.57925000004
11, 229107.12, 223714.35495
12, 229597.52, 224839.3515
13, 232146.24, 225876.10065000004
14, 233511.76, 227036.99265
15, 233677.05, 227881.25230000017
16, 233677.05, 228732.64229999986
17, 235373.86, 229346.5331999999
18, 235373.86, 230135.46794999993
19, 236707.31, 230724.7481
20, 236707.31, 231257.30939999997
21, 236707.31, 231858.69644999993
22, 236707.31, 232419.88360000003
23, 239018.86, 233137.13334999996
24, 239018.86, 233798.69449999998
25, 239018.86, 234305.95274999994
26, 239018.86, 234797.61999999997
27, 239853.76, 235332.71985000002
28, 240209.03, 235741.74825
29, 240209.03, 236185.3143
30, 240209.03, 236560.10350000008
31, 240209.03, 236899.4729
32, 240209.03, 237281.5488
33, 240485.21, 237636.16639999993
