generation, best_individual, average_fitness
1, 50174.78, 20859.754449999997
2, 51602.74, 31104.43595000001
3, 55511.68, 38263.01890000002
4, 55511.68, 44130.299699999996
5, 55897.41, 47720.0458
6, 56005.28, 49901.5819
7, 56831.47, 50962.07799999999
8, 56831.47, 51742.93889999999
9, 57115.42, 52499.01509999998
10, 57115.42, 53057.674899999976
11, 57935.28, 53787.667999999976
12, 59732.79, 54659.79699999999
13, 59732.79, 55425.2848
14, 59732.79, 56027.46639999997
15, 60221.31, 56443.59889999997
16, 60221.31, 56844.97869999997
17, 60221.31, 57185.90799999999
18, 60221.31, 57537.27229999998
19, 60221.31, 57792.18529999998
20, 60227.86, 58100.088500000005
21, 60540.05, 58500.477399999974
22, 60540.05, 58743.14159999998
23, 60540.05, 58890.62289999997
24, 60540.05, 59189.40579999998
25, 60573.79, 59389.51389999999
26, 60573.79, 59512.657099999975
27, 60573.79, 59564.87009999997
28, 60794.03, 59688.113600000004
29, 60794.03, 59756.3936
30, 61009.04, 59823.7692
31, 61009.04, 59942.73829999999
32, 61009.04, 59996.35269999999
33, 61009.04, 60054.105899999995
34, 61009.04, 60130.65199999997
35, 61009.04, 60154.82249999997
36, 61009.04, 60201.30289999997
37, 61009.04, 60212.01489999997
38, 61009.04, 60231.33509999998
39, 61169.4, 60262.08469999998
40, 61169.4, 60340.42319999999
41, 61169.4, 60378.11719999998
42, 61217.16, 60420.988699999994
43, 61217.16, 60452.966799999995
44, 61217.16, 60465.091199999995
45, 61217.16, 60488.0408
46, 61217.16, 60500.6955
47, 61217.16, 60537.90819999998
48, 61332.55, 60580.80679999998
49, 61332.55, 60593.53559999999
50, 61332.55, 60615.554099999994
51, 61332.55, 60633.67300000002
52, 61332.55, 60659.14370000002
53, 61332.55, 60695.01210000002
54, 61332.55, 60709.92550000002
55, 61332.55, 60729.33700000002
56, 61332.55, 60741.13730000002
57, 61332.55, 60781.75570000001
58, 61332.55, 60799.029600000016
59, 61471.51, 60812.42300000001
60, 61471.51, 60817.29710000001
61, 61471.51, 60828.98339999999
62, 61471.51, 60834.212499999994
63, 61471.51, 60842.33649999998
64, 61471.51, 60845.88279999999
65, 61471.51, 60855.00909999998
66, 61471.51, 60865.93999999999
67, 61471.51, 60868.27999999999
68, 61471.51, 60873.94229999999
69, 61471.51, 60879.014399999985
1, 48997.55, 19480.0452
