generation, best_individual, average_fitness
1, 47056.87, 19225.1186
2, 55296.95, 31407.471199999993
3, 59257.32, 37476.3462
4, 59257.32, 44795.55260000002
5, 59257.32, 49458.40240000001
6, 59257.32, 52264.83940000001
7, 59257.32, 53577.86020000002
8, 59257.32, 54419.411300000014
9, 59257.32, 55212.12140000002
10, 61339.26, 56017.7708
11, 61339.26, 56601.4823
12, 61339.26, 57277.84860000001
13, 61339.26, 57871.90080000001
14, 61339.26, 58290.3249
15, 61339.26, 58743.76550000004
16, 61611.15, 59059.64710000004
17, 61611.15, 59259.268000000025
18, 61611.15, 59496.19470000002
19, 61611.15, 59661.16040000002
20, 61611.15, 59824.79870000002
21, 61611.15, 60075.06400000001
22, 61877.87, 60239.00680000002
23, 61877.87, 60440.39139999999
24, 61877.87, 60520.52
25, 61877.87, 60599.89629999999
26, 61877.87, 60686.89690000001
27, 61891.94, 60768.783200000005
28, 62107.1, 60873.78370000003
29, 62107.1, 60929.85820000001
30, 62107.1, 61054.82130000002
31, 62107.1, 61124.0311
32, 62147.21, 61177.68340000001
33, 62147.21, 61225.75290000001
34, 62147.21, 61265.4246
35, 62147.21, 61298.942
36, 62147.21, 61352.4313
37, 62147.21, 61379.36319999999
38, 62147.21, 61411.4526
39, 62288.86, 61464.1923
40, 62288.86, 61514.6902
41, 62288.86, 61552.486799999984
42, 62288.86, 61570.043199999986
43, 62288.86, 61598.266099999986
44, 62632.48, 61636.13129999999
45, 62632.48, 61642.50089999999
46, 62632.48, 61682.785699999986
47, 62632.48, 61710.86389999999
48, 62702.31, 61748.267899999984
49, 62702.31, 61759.98029999998
50, 62702.31, 61770.081799999985
51, 62702.31, 61780.887699999985
52, 62702.31, 61792.73509999999
53, 62702.31, 61800.9597
54, 62702.31, 61835.260200000004
55, 62702.31, 61867.7818
56, 62702.31, 61903.9205
57, 62702.31, 61922.1359
58, 62702.31, 61932.090500000006
59, 62702.31, 61936.1366
60, 62702.31, 61968.77920000001
61, 63281.09, 61984.687300000005
62, 63281.09, 62010.34199999999
63, 63281.09, 62031.10119999999
64, 63281.09, 62049.99129999998
65, 63281.09, 62071.34199999998
66, 63281.09, 62094.2621
67, 63281.09, 62106.9801
68, 63281.09, 62119.2559
69, 63281.09, 62126.484800000006
70, 63281.09, 62155.20079999999
71, 63281.09, 62181.66879999998
72, 63281.09, 62188.53319999998
73, 63281.09, 62217.09279999998
74, 63281.09, 62246.95389999997
75, 63281.09, 62260.97009999995
76, 63281.09, 62261.89219999995
77, 63281.09, 62269.71459999994
