generation, best_individual, average_fitness
1, 94708.73, 30747.98685
2, 110987.09, 65039.2575
3, 112607.54, 82325.8879
4, 113921.54, 89491.87569999999
5, 114777.5, 96280.1251
6, 114777.5, 100892.49960000001
7, 114777.5, 104709.64620000002
8, 114777.5, 106995.9218
9, 114777.5, 109047.10310000001
10, 114777.5, 110485.24600000003
11, 116238.35, 111610.32199999997
12, 116238.35, 112649.5829
13, 116238.35, 113202.85719999995
14, 118905.69, 113836.58009999995
15, 119520.01, 114438.57349999998
16, 119520.01, 115233.23139999999
17, 119561.94, 116012.10429999999
18, 119561.94, 116510.7791
19, 120765.98, 117229.55469999996
20, 120765.98, 117766.75299999997
21, 121481.83, 118117.47649999996
22, 121481.83, 118542.50219999999
23, 121481.83, 118872.8291
24, 121711.72, 119256.02970000003
25, 121711.72, 119478.06800000003
26, 121723.28, 119679.53920000004
27, 122211.59, 120092.9119
28, 123043.5, 120346.40470000006
29, 123043.5, 120504.49580000006
30, 123043.5, 120705.28050000002
31, 124831.16, 120908.73290000006
32, 124831.16, 121130.36210000004
33, 124831.16, 121217.42390000002
34, 125790.15, 121424.33279999999
35, 125790.15, 121600.97049999997
36, 125790.15, 121888.67999999998
37, 125790.15, 122083.09689999997
38, 126267.76, 122305.27840000001
39, 126585.91, 122522.92729999998
40, 126585.91, 122710.54460000001
41, 126585.91, 123043.6452
42, 127074.97, 123311.79099999998
43, 127074.97, 123656.17639999995
44, 127154.6, 124015.17469999999
45, 127232.66, 124559.75450000002
46, 127232.66, 124897.54910000008
47, 127232.66, 125230.89880000002
48, 127267.15, 125460.03840000008
49, 127579.65, 125699.13430000002
50, 128515.37, 125935.272
51, 128515.37, 126176.7965
52, 128515.37, 126338.47750000002
53, 128515.37, 126401.96940000002
54, 128515.37, 126550.29160000006
55, 128515.37, 126604.18580000008
56, 128515.37, 126767.93190000008
57, 128515.37, 126844.32370000008
58, 128515.37, 126937.70250000004
59, 128515.37, 127001.28820000001
60, 128783.36, 127126.24049999999
61, 128783.36, 127196.26599999996
62, 128783.36, 127226.12399999997
63, 128783.36, 127289.54499999994
64, 128783.36, 127360.41600000001
65, 128783.36, 127391.38059999999
66, 128783.36, 127414.91910000001
67, 128783.36, 127443.79139999999
68, 128783.36, 127467.5859
69, 128783.36, 127489.2365
70, 128783.36, 127529.43199999999
71, 128783.36, 127561.09049999998
72, 128783.36, 127564.99779999997
73, 128783.36, 127578.50289999998
74, 128783.36, 127596.3504
75, 128783.36, 127618.27770000002
76, 128783.36, 127639.30619999998
77, 128783.36, 127654.40879999999
78, 128783.36, 127659.77829999998
79, 128783.36, 127685.05450000001
80, 128783.36, 127701.49430000002
81, 128783.36, 127708.74630000001
82, 128783.36, 127715.95000000001
83, 128783.36, 127734.20079999998
84, 128783.36, 127758.79729999996
85, 128783.36, 127787.66369999996
86, 128783.36, 127795.97259999996
87, 128783.36, 127805.11889999997
1, 101500.71, 34135.18355
2, 105265.65, 61581.78664999998
3, 105265.65, 80343.6102
4, 106582.28, 88592.72110000001
5, 109019.03, 94202.24309999999
6, 109019.03, 98308.1541
7, 110698.9, 101636.7856
8, 118670.06, 104346.47460000003
